label,nodeType,order,path,price,description,link,imageLink,Zomato
Paan,ProductClass,1,"Inventory,Food,Paan Shop,",,,https://drive.google.com/file/d/1NMV4uXqyDTM1lXsCA_WgxCe4d9TkBvuF/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/grocery122021/Paan.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Paan Shop,Paan,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,3,"Inventory,Food,Paan Shop,Paan,",,,,,
Malai Kulfi Paan,ProductType,4,"Inventory,Food,Paan Shop,Paan,Vegeterian,",40,,,,
Black Current Paan,ProductType,5,"Inventory,Food,Paan Shop,Paan,Vegeterian,",40,,https://drive.google.com/file/d/1Ls__pYooiWn36jku2kENlxmFO_xW6Qj8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/BlackCurrentPaan.jpg,
Pista Paan,ProductType,6,"Inventory,Food,Paan Shop,Paan,Vegeterian,",40,,,,
Mango Paan,ProductType,7,"Inventory,Food,Paan Shop,Paan,Vegeterian,",40,,https://drive.google.com/file/d/162-d53L4zbChUyIti29nhRO0gr3NSFlR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/MangoPaan.jpg,
Vanila Paan,ProductType,8,"Inventory,Food,Paan Shop,Paan,Vegeterian,",40,,,,
Strawberry Paan,ProductType,9,"Inventory,Food,Paan Shop,Paan,Vegeterian,",40,,,,
Blueberry Paan,ProductType,10,"Inventory,Food,Paan Shop,Paan,Vegeterian,",40,,https://drive.google.com/file/d/1oqWBlWDgWCOlK-Vo5l4SPA8eskwLaGXr/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/BlueberryPaan.jpg,
Chocolate Paan,ProductType,11,"Inventory,Food,Paan Shop,Paan,Vegeterian,",40,,https://drive.google.com/file/d/1rrltJ3TfvenHZVumUv0PlXnmRrHCY3yM/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Paan/ChocolatePaan.jpg,
Butterscotch Paan,ProductType,12,"Inventory,Food,Paan Shop,Paan,Vegeterian,",40,,https://drive.google.com/file/d/1qVBeErfeDJ38rKfC8gjlUHxouvfh0KYu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/ButterscotchPaan.jpg,
Pineapple Paan,ProductType,13,"Inventory,Food,Paan Shop,Paan,Vegeterian,",40,,https://drive.google.com/file/d/1ijYGhgT_jRg5OytD93ka_Zp-fSfFXna3/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/PineapplePaan.jpg,
Navratan Special Paan,ProductType,14,"Inventory,Food,Paan Shop,Paan,Vegeterian,",40,,,,
Meenakshi Special Paan,ProductType,15,"Inventory,Food,Paan Shop,Paan,Vegeterian,",40,,https://drive.google.com/file/d/1t_SSsMkJrU2pCBr69aigORmlZmZQPzPr/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/MeenakshiSpecialPaan.jpg,
Sadhna Special Paan,ProductType,16,"Inventory,Food,Paan Shop,Paan,Vegeterian,",40,,,,
Kesar Special Paan,ProductType,17,"Inventory,Food,Paan Shop,Paan,Vegeterian,",40,,https://drive.google.com/file/d/1UQB9Yuc1h8iBHVCVY0U6K_LVNh2Qg37d/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/KesarSpecialPaan.jpg,
Dilbar Special Paan,ProductType,18,"Inventory,Food,Paan Shop,Paan,Vegeterian,",40,,https://drive.google.com/file/d/1vLOtc7MUDf0mE_h8DWdDJmrjehBILVcG/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/DilbarSpecialPaan.jpg,
Sada Pulchand Paan,ProductType,19,"Inventory,Food,Paan Shop,Paan,Vegeterian,",25,,https://drive.google.com/file/d/1vfu9SUWLvJQ1VpWdjAM1KSVXZ8LbtpbL/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/SadaPulchandPaan.jpg,
Shahi Masala Paan,ProductType,20,"Inventory,Food,Paan Shop,Paan,Vegeterian,",40,,https://drive.google.com/file/d/1C2ItrvMMqRZwKfXLiEbGzwb6rCYqa8E4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/ShahiMasalaPaan.jpg,
Royal Badshahi Paan,ProductType,21,"Inventory,Food,Paan Shop,Paan,Vegeterian,",40,,https://drive.google.com/file/d/1YoNSmxmijGoRnPtZPWiKcRmX-q_DjXTR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/RoyalBadshahiPaan.jpg,
Ekta Paan,ProductType,22,"Inventory,Food,Paan Shop,Paan,Vegeterian,",40,,https://drive.google.com/file/d/1V6eGzgN5FFQNNCk2mOS58Xn-Tr4ujJbb/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/EktaPaan.jpg,
Special Masala Paan,ProductType,23,"Inventory,Food,Paan Shop,Paan,Vegeterian,",40,,https://drive.google.com/file/d/1gp8D6dc3KMFc6O6Vie5tRmxvqkmFNpXN/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Paan/SpecialMasalaPan.jpg,
Dry Fruits Special Paan,ProductType,24,"Inventory,Food,Paan Shop,Paan,Vegeterian,",50,,https://drive.google.com/file/d/1fjb7pgKHHuPVF2sqlVKAa7Mbyv7laf08/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/DryFruitsSpecialPaan.jpeg,
