label,nodeType,order,path,price,ingredients,link,imageLink,description
Rice,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Rice.jpg,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Rice,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,
Vegeterian,ProductLine ,3,"Inventory,Food,Restaurant,Rice,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
Chicken Biryani,ProductType,4,"Inventory,Food,Restaurant,Rice,NonVegeterian,",100,"chopped chicken, boiled basmati rice, garam masala powder, ghee, water, beaten yoghurt , gm ginger paste, gm garlic paste,salt as required, coriander leaves,7 gm red chilli powder,Etc",https://drive.google.com/file/d/1t_vJcJvBj1doCQPhohH0pwo72xfAG-wI/view?usp=sharing,,
Chicken Biryani Plate,ProductUnit,5,"Inventory,Food,Restaurant,Rice,NonVegeterian,Chicken Biryani,",100,"chopped chicken, boiled basmati rice, garam masala powder, ghee, water, beaten yoghurt , gm ginger paste, gm garlic paste,salt as required, coriander leaves,7 gm red chilli powder,Etc",https://drive.google.com/file/d/1GxLzUIfRRgFPRu7eBhc0muqUDWLX_AeG/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/ChickenBiryaniPlate.jpg,
Mutton Biryani,ProductType,6,"Inventory,Food,Restaurant,Rice,NonVegeterian,",180,"chopped Mutton, boiled basmati rice, garam masala powder, ghee, water, beaten yoghurt , gm ginger paste, gm garlic paste,salt as required, coriander leaves,7 gm red chilli powder,Etc",https://drive.google.com/file/d/1LoNGcmv8OAlfx8Ryh7Fqaz3YxRdO0wAS/view?usp=sharing,,
Mutton Biryani Plate,ProductUnit,7,"Inventory,Food,Restaurant,Rice,NonVegeterian,Mutton Biryani,",180,"chopped Mutton, boiled basmati rice, garam masala powder, ghee, water, beaten yoghurt , gm ginger paste, gm garlic paste,salt as required, coriander leaves,7 gm red chilli powder,Etc",https://drive.google.com/file/d/1TEGxDq6iBNt0LAFpA1whMTVJ7SRqFc6P/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/MuttonBiryaniPlate.jpg,
Schezwan Rice,ProductType,8,"Inventory,Food,Restaurant,Rice,NonVegeterian,",60," chopped chicken meat, egg,s cooked white rice,Schezwan Chutney,  Black pepper, soy sauce,  ground black pepper, vegetable oil,",https://drive.google.com/file/d/1GKO3YVjZ7d_a-_WJkiE7mWyZFQFK7k-u/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Schezwan-Rice.jpg,
Singapore Rice,ProductType,9,"Inventory,Food,Restaurant,Rice,NonVegeterian,",70," whole chicken, cloves garlic, green onions, cloves garlic, minced, cucumber, thinly sliced,s long grain rice, rinsed and drained,etc",https://drive.google.com/file/d/1aszAvTSoaE60cCLyBi4cZRMjvnf-XLFE/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/SingaporeRice.jpg,
Fried Rice,ProductType,10,"Inventory,Food,Restaurant,Rice,NonVegeterian,",50," chopped chicken meat, egg, cooked white rice,  Black pepper, soy sauce,  ground black pepper, vegetable oil,etc",https://drive.google.com/file/d/1DIwrqLBQA06tZTNutwX-gYSolgANQhBp/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/FriedRice.jpg,
