label,nodeType,order,path,price,description,link,imageLink
Candies,ProductClass,1,"Inventory,Ice Cream,",,, ,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food122021/Candies.jpg
Vegeterian ,ProductLine,2,"Inventory,Ice Cream,Candies,",,,,
NonVegeterian,ProductLine,3,"Inventory,Ice Cream,Candies,",,,,
Dairy Day Limboos Candie 55ml,ProductUnit,4,"Inventory,Ice Cream,Candies,Vegeterian,",10,,https://drive.google.com/file/d/1djY6n4sviLNwId0Pz18F3gpLxz0ShuVu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream/DairyDayLimboosCandie55ml.jpg
Dairy Day Mango Candie 55ml,ProductUnit,5,"Inventory,Ice Cream,Candies,Vegeterian,",10,,https://drive.google.com/file/d/136mQIHR0K4Rc3-vATJ9WXJGJTBjyi8vf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream/DairyDayMangoCandie55ml.png
Dairy Day Strawberry Candie 55ml,ProductUnit,6,"Inventory,Ice Cream,Candies,Vegeterian,",10,,https://drive.google.com/file/d/1qejBNpDwQSy50F_0VTZAxixI3yo5N-Fh/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream/DairyDayStrawberryCandie55ml.jpg
Dairy Day Orange Candie 55ml,ProductUnit,7,"Inventory,Ice Cream,Candies,Vegeterian,",10,,https://drive.google.com/file/d/1uGUhcCOlUMa9KwSWi2BNOnuFTgoXyU9r/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream/DairyDayOrangeCandie55ml.png
Dairy Day Grape Candie 55ml,ProductUnit,8,"Inventory,Ice Cream,Candies,Vegeterian,",10,,https://drive.google.com/file/d/1Bzc0cz3mqWR-SEVWWAxRWSDELg-kAwJ2/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream/DairyDayGrapeCandie55ml.png
Dairy Day Pineapple Candie 55ml,ProductUnit,9,"Inventory,Ice Cream,Candies,Vegeterian,",10,,https://drive.google.com/file/d/1ICfGjH5V0P62EYWwinjRD1vIxdVmApsZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream/DairyDayPineappleCandie55ml.jpg
Dairy Day Orenge Candy 35ml,ProductUnit,10,"Inventory,Ice Cream,Candies,Vegeterian,",5,,https://drive.google.com/file/d/1zoT1sIaqL5zin5-Pul0MMSMIguYfeNHH/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream/DairyDayOrengeCandy35ml.png
Sundaes,ProductClass,1,"Inventory,Ice Cream,",,, ,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DoubleChocolateSundae.jpg
Vegeterian ,ProductLine,2,"Inventory,Ice Cream,Sundaes,",,,,
NonVegeterian,ProductLine,3,"Inventory,Ice Cream,Sundaes,",,,,
Dairy Day Chocolatey Sundae 500ml,ProductUnit,4,"Inventory,Ice Cream,Sundaes,Vegeterian,",120,,https://drive.google.com/file/d/1avWEHTbwdrCOW-36v5aImv4iSJIflh8V/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream/DairyDayChocolateySundae500ml.jpg
Dairy Day Chocolatey Sundae 100ml,ProductUnit,5,"Inventory,Ice Cream,Sundaes,Vegeterian,",35,,https://drive.google.com/file/d/14WMs7ccNnFQIqB4YpLQ_ArJwL_bP2V6X/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream/DairyDayChocolateySundae100ml.png
Dairy Day Mango Sundae 500ml,ProductUnit,6,"Inventory,Ice Cream,Sundaes,Vegeterian,",120,, ,
Dairy Day Mango Sundae 100ml,ProductUnit,7,"Inventory,Ice Cream,Sundaes,Vegeterian,",35,, ,
Dairy Day Strawberry Sundae 500ml,ProductUnit,8,"Inventory,Ice Cream,Sundaes,Vegeterian,",120,,https://drive.google.com/file/d/1S607WqofxuL6HDzR69RH4QiPmoGLn_Wq/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream/DairyDayStrawberrySundae500ml.jpg
Dairy Day Strawberry Sundae 100ml,ProductUnit,9,"Inventory,Ice Cream,Sundaes,Vegeterian,",35,,https://drive.google.com/file/d/1eSkSv41GXHqfSnIa9uW7kEH-4deYF2S-/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream/DairyDayStrawberrySundae100ml.png
Dairy Day Blackcurrant Sundae 500ml,ProductUnit,10,"Inventory,Ice Cream,Sundaes,Vegeterian,",120,,https://drive.google.com/file/d/1yw0fSIIqJBdJy1EiOs8Mombteh7B1dku/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream/DairyDayBlackcurrantSundae500ml.png
Dairy Day Blackcurrant Sundae 100ml,ProductUnit,11,"Inventory,Ice Cream,Sundaes,Vegeterian,",35,,https://drive.google.com/file/d/1jSG1hiBWWcuKV2GlkWA7QDIQyZHDQs76/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream/DairyDayBlackcurrantSundae100ml.png
Dairy Day Fruit Punch Sundae 500ml,ProductUnit,12,"Inventory,Ice Cream,Sundaes,Vegeterian,",140,,https://drive.google.com/file/d/1TDR33TFAHRsLcnYGjUG4rtCxTCuno2mP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream/DairyDayFruitPunchSundae500ml.png
Dairy Day Fruit Punch Sundae 100ml,ProductUnit,13,"Inventory,Ice Cream,Sundaes,Vegeterian,",40,,https://drive.google.com/file/d/1LuOgD_SxA4wqtU0uU4XD3CSYGB4Rhmsp/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream/DairyDayFruitPunchSundae100ml.png
Ice Cream Sandwich,ProductClass,1,"Inventory,Ice Cream,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/IceCreamSandwich.jpg
Vegeterian ,ProductLine,2,"Inventory,Ice Cream,Ice Cream Sandwich,",,,,
NonVegeterian,ProductLine,3,"Inventory,Ice Cream,Ice Cream Sandwich,",,,,
Dairy Day Chocolate Ice Cream Sandwich,ProductUnit,4,"Inventory,Ice Cream,Ice Cream Sandwich,Vegeterian,",30,,https://drive.google.com/file/d/14lHbX4PhX1swDquSwFC57SyNdJJCZXMO/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream/DairyDayChocolateIceCreamSandwich.jpg
Dairy Day Vanila Ice Cream Sandwich,ProductUnit,5,"Inventory,Ice Cream,Ice Cream Sandwich,Vegeterian,",30,,https://drive.google.com/file/d/149lUHdziilIklgVTjOaJme58WRrlleO-/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream/DairyDayVanilaIceCreamSandwich.jpg
Cones,ProductClass,1,"Inventory,Ice Cream,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/grocery122021/Cones.jpg
Vegeterian ,ProductLine,2,"Inventory,Ice Cream,Cones,",,,,
NonVegeterian,ProductLine,3,"Inventory,Ice Cream,Cones,",,,,
Dairy Day Senoir Vanila Cone 120ml,ProductUnit,4,"Inventory,Ice Cream,Cones,Vegeterian,",30,,https://drive.google.com/file/d/1gymxeraIlXpWW2a9n0qk1uEnm5OBYajA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream/DairyDaySenoirVanilaCone120ml.png
Dairy Day Mango Vanila Cone 120ml,ProductUnit,5,"Inventory,Ice Cream,Cones,Vegeterian,",30,,https://drive.google.com/file/d/1HoO4J-KrfPPBEqbbeuocbJ7f2g4KGyH_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream/DairyDayMangoVanilaCone120ml.jpg
Dairy Day Strawberry Cone 120ml,ProductUnit,6,"Inventory,Ice Cream,Cones,Vegeterian,",30,,https://drive.google.com/file/d/1MNdIX7FUtISW4WxeJXIr-uusfXar1Dm8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream/DairyDayStrawberryCone120ml.jpg
Dairy Day Blackcurrant Cone 120ml,ProductUnit,7,"Inventory,Ice Cream,Cones,Vegeterian,",35,,https://drive.google.com/file/d/13KtBfpiag752Okse4my3AaSkalMBkUc8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream/DairyDayBlackcurrantCone120ml.png
Dairy Day Senior Choco Cone 120ml,ProductUnit,8,"Inventory,Ice Cream,Cones,Vegeterian,",35,,https://drive.google.com/file/d/1YAQ60IPSTNB3cS45Fif7EsNka0lp27F0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream/DairyDaySeniorChocoCone120ml.png
Dairy Day Senior Butterscotch Cone 120ml,ProductUnit,9,"Inventory,Ice Cream,Cones,Vegeterian,",35,,https://drive.google.com/file/d/1ZzpA683JY--k9u-AksKziwL24hgcPiVM/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream/DairyDaySeniorButterscotchCone120ml.png
Dairy Day Belgian Chocolate Cone 120ml,ProductUnit,10,"Inventory,Ice Cream,Cones,Vegeterian,",40,,https://drive.google.com/file/d/1xvkvPBworIsmXsR7smWd150oKQ_sI60v/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream/DairyDayBelgianChocolateCone120ml.jpg
Dairy Day Cookie Magic Cone 120ml,ProductUnit,11,"Inventory,Ice Cream,Cones,Vegeterian,",50,,https://drive.google.com/file/d/1PpRGw5_zMlvU8caX9qceONYJkEpboP3s/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream/DairyDayCookieMagicCone120ml.png
Dairy Day Junior Vanila Cone 65ml,ProductUnit,12,"Inventory,Ice Cream,Cones,Vegeterian,",15,,https://drive.google.com/file/d/1o2PRmy6aMRwPmQr1pGtth2RRC_RmTJgm/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream/DairyDayJuniorVanilaCone65ml.png
Dairy Day Daily Magic Cone 65ml,ProductUnit,13,"Inventory,Ice Cream,Cones,Vegeterian,",15,,,
Dairy Day Arabian Fantasy Cone 65ml,ProductUnit,14,"Inventory,Ice Cream,Cones,Vegeterian,",20,,https://drive.google.com/file/d/17ydZcoH6HqcfvhS4xrt6wCma2QPoEvfq/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream/DairyDayArabianFantasyCone65ml.png
Dairy Day Junior Choco Cone 65ml,ProductUnit,15,"Inventory,Ice Cream,Cones,Vegeterian,",25,,https://drive.google.com/file/d/1tP-pmWLp8tZnzNjYdxfB4yYsxfs2qcsR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream/DairyDayJuniorChocoCone65ml.jpg
Dairy Day Pista Choco Cone 65ml,ProductUnit,16,"Inventory,Ice Cream,Cones,Vegeterian,",25,,https://drive.google.com/file/d/1x3z4OKT1YU64RPH8D8H0UJcNYjI84i-9/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream/DairyDayPistaChocoCone65ml.png
Dairy Day Junior Butterscotch Cone 65ml,ProductUnit,17,"Inventory,Ice Cream,Cones,Vegeterian,",25,,https://drive.google.com/file/d/1iFIU12-bL5x0U8iKxxYrUosEWn1amInJ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream/DairyDayJuniorButterscotchCone65ml.png
Buy1 Get 1 700ml+700ml,ProductClass,1,"Inventory,Ice Cream,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/grocery122021/buy1get1700ml700ml.png
Vegeterian ,ProductLine,2,"Inventory,Ice Cream,Buy1 Get 1 700ml+700ml,",,,,
NonVegeterian,ProductLine,3,"Inventory,Ice Cream,Buy1 Get 1 700ml+700ml,",,,,
Dairy Day Vanila + Vanila Ice Cream,ProductUnit,4,"Inventory,Ice Cream,Buy1 Get 1 700ml+700ml,Vegeterian,",180,,https://drive.google.com/file/d/147C9f1TNvICRWc-Hf9kmiNrZaFBGWvPs/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream/DairyDayVanilaVanilaIceCream.jpg
Dairy Day Butterscotch + Butterscotch Ice Cream,ProductUnit,5,"Inventory,Ice Cream,Buy1 Get 1 700ml+700ml,Vegeterian,",240,,https://drive.google.com/file/d/1-0p9Wp8X0YuF5isdRkXNdFzl2dSAJTX4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream/DairyDayButterscotchButterscotchIceCream.jpg
