label,nodeType,order,path,price,link,imageLink,description
Breakfast,ProductClass,1,"Inventory,Food,Restaurant,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Breakfast.jpg,
Vegetarian ,ProductLine,2,"Inventory,Food,Restaurant,Breakfast,",,,,
NonVegetarian,ProductLine,3,"Inventory,Food,Restaurant,Breakfast,",,,,
Shev Bhaji,ProductType,4,"Inventory,Food,Restaurant,Breakfast,Vegetarian,",90,https://drive.google.com/file/d/1-Iprfeqrb2krX2hW7Gw6pEN_1vSRJ4yX/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Shev-Bhaji.jpg,
Shev Bhaji Full,ProductUnit,5,"Inventory,Food,Restaurant,Breakfast,Vegetarian,Shev Bhaji,",90,https://drive.google.com/file/d/1Dm8GgqO_0KzG14OfJYR15cM7NuqYLjT6/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Shev-Bhaji.jpg,
Shev Bhaji Half,ProductUnit,6,"Inventory,Food,Restaurant,Breakfast,Vegetarian,Shev Bhaji,",70,https://drive.google.com/file/d/1Dm8GgqO_0KzG14OfJYR15cM7NuqYLjT6/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Shev-Bhaji.jpg,
Dal Khichdi,ProductType,7,"Inventory,Food,Restaurant,Breakfast,Vegetarian,",130,https://drive.google.com/file/d/1eYgIjQw-U3ZGT8GEPhcg9KZJWnc7BvLu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DalKhichdi.jpg,
Dal Khichdi Full,ProductUnit,8,"Inventory,Food,Restaurant,Breakfast,Vegetarian,Dal Khichdi,",130,https://drive.google.com/file/d/1KxeH_hBCV7t5D_NtUfHG7ZR2-OneGhbG/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DalKhichdiFull.jpg,
Dal Khichdi Half,ProductUnit,9,"Inventory,Food,Restaurant,Breakfast,Vegetarian,Dal Khichdi,",90,https://drive.google.com/file/d/1dcRyTfaUeQsEtPDd_LDwcBUoFOMNSleE/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DalKhichdiHalf.jpg,
Entree,ProductClass,1,"Inventory,Food,Restaurant,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/Entree.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Entree,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
Non Vegeterian,ProductLine,3,"Inventory,Food,Restaurant,Entree,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,
Mattha,ProductType,4,"Inventory,Food,Restaurant,Entree,Vegeterian,",60,,,
Mattha Full,ProductUnit,5,"Inventory,Food,Restaurant,Entree,Vegeterian,Mattha,",60,https://drive.google.com/file/d/1NxZ7nbbO0aRkMv_FCgH5N0XXm7trNT2z/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Mattha.jpg,
Mattha Half,ProductUnit,6,"Inventory,Food,Restaurant,Entree,Vegeterian,Mattha,",40,https://drive.google.com/file/d/1NxZ7nbbO0aRkMv_FCgH5N0XXm7trNT2z/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Mattha.jpg,
Lasoon Tadka,ProductType,7,"Inventory,Food,Restaurant,Entree,Vegeterian,",30,https://drive.google.com/file/d/1vN2aXpnZNHF8DCEcK05XEV_KKv1hjI32/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/lasoontadka.jpg,
Lasoon Tadka Full,ProductUnit,8,"Inventory,Food,Restaurant,Entree,Vegeterian,Lasoon Tadka,",30,https://drive.google.com/file/d/1vN2aXpnZNHF8DCEcK05XEV_KKv1hjI32/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/lasoontadka.jpg,
Lasoon Fry,ProductType,9,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,https://drive.google.com/file/d/1d74gru4fRIbb9ormLzmCuGkmvCocbZU3/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/LasoonFry.jpg,
Lasoon Fry Full,ProductUnit,10,"Inventory,Food,Restaurant,Entree,Vegeterian,Lasoon Fry,",100,https://drive.google.com/file/d/1Cq2C-v-YAT-JlVSUd75lnZ0aBLKSEfox/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/LasoonFry.jpg,
Lasoon Fry Half,ProductUnit,11,"Inventory,Food,Restaurant,Entree,Vegeterian,Lasoon Fry,",70,https://drive.google.com/file/d/1Cq2C-v-YAT-JlVSUd75lnZ0aBLKSEfox/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/LasoonFry.jpg,
Dal Fry,ProductType,12,"Inventory,Food,Restaurant,Entree,Vegeterian,",80,https://drive.google.com/file/d/1K8tvnEHHFvnC05dq2Qx-p-dJ1RZDhOaK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/DalFry.jpg,
Dal Fry Full,ProductUnit,13,"Inventory,Food,Restaurant,Entree,Vegeterian,Dal Fry,",80,https://drive.google.com/file/d/1CPtId61MSSoiWEMCPDfwjoJVYtjuNGyj/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/DalFry.jpg,
Dal Fry Half,ProductUnit,14,"Inventory,Food,Restaurant,Entree,Vegeterian,Dal Fry,",60,https://drive.google.com/file/d/1CPtId61MSSoiWEMCPDfwjoJVYtjuNGyj/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/DalFry.jpg,
Dal Tadka,ProductType,15,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,https://drive.google.com/file/d/14RUwq8nVglapT24psGzGu5oLTx-UOZB7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/DalTadka.jpg,
Dal Tadka Full,ProductUnit,16,"Inventory,Food,Restaurant,Entree,Vegeterian,Dal Tadka,",100,https://drive.google.com/file/d/1hcOgGuXPjzY5EG_3XWpeZv-sj5rEAe3o/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/DalTadka.jpg,
Dal Tadka Half,ProductUnit,17,"Inventory,Food,Restaurant,Entree,Vegeterian,Dal Tadka,",70,https://drive.google.com/file/d/1hcOgGuXPjzY5EG_3XWpeZv-sj5rEAe3o/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/DalTadka.jpg,
Dal Makhani,ProductType,18,"Inventory,Food,Restaurant,Entree,Vegeterian,",130,https://drive.google.com/file/d/1bx4zFB3n5TKpwLaxvoc2JGDgMQI_4sWj/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DalMakhani.jpg,
Dal Makhani Full,ProductUnit,19,"Inventory,Food,Restaurant,Entree,Vegeterian,Dal Makhani,",130,https://drive.google.com/file/d/1V9SCS6Q35rYwJh9-UNIge5mBfsiJ6gti/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DalMakhani.jpg,
Dal Makhani Half,ProductUnit,20,"Inventory,Food,Restaurant,Entree,Vegeterian,Dal Makhani,",90,https://drive.google.com/file/d/1V9SCS6Q35rYwJh9-UNIge5mBfsiJ6gti/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DalMakhani.jpg,
Girawi (Rassa),ProductType,21,"Inventory,Food,Restaurant,Entree,Vegeterian,",110,,,
Girawi (Rassa) Full,ProductUnit,22,"Inventory,Food,Restaurant,Entree,Vegeterian,Girawi (Rassa),",110,,,
Girawi (Rassa) Half,ProductUnit,23,"Inventory,Food,Restaurant,Entree,Vegeterian,Girawi (Rassa),",80,,,
