label,nodeType,order,path,price,description,link,imageLink,Swiggy ,Zomato
Pastries,ProductClass,1,"Inventory,Food,Bekery,",,,https://drive.google.com/file/d/16r-rORxsrt3Aq0G31_WyH0GgPvRzM1I-/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/Pastries.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Bekery,Pastries,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Bekery,Pastries,",,,,,,
Black Forest Pastry,ProductType,4,"Inventory,Food,Bekery,Pastries,Vegeterian,",50,,https://drive.google.com/file/d/1mitukICa8Locfv52xlWbDSc-CocXi0gi/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/BlackForestPastry.jpg,,
Dutch Chocolate Pastry,ProductType,5,"Inventory,Food,Bekery,Pastries,Vegeterian,",50,,https://drive.google.com/file/d/1p1mYUApfFaVzq7cLoPCy1_8Jvy134LAs/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/DutchChocolatePastry.jpg,,40
Butter Scotch Pastry,ProductType,6,"Inventory,Food,Bekery,Pastries,Vegeterian,",50,,https://drive.google.com/file/d/12VccGCf4-gu5DenayK9JsfjMcTcelFOx/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/ButterscotchPastry.jpg,,
Pinapple Pastry,ProductType,7,"Inventory,Food,Bekery,Pastries,Vegeterian,",50,,https://drive.google.com/file/d/1rqQI8JbnOaK29FFUHXsWs0DpWV7QI418/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/PineaaplePastry.jpg,,
Rose Gulkand Pastry,ProductType,8,"Inventory,Food,Bekery,Pastries,Vegeterian,",50,,,,,
Red Velvet Pastry,ProductType,9,"Inventory,Food,Bekery,Pastries,Vegeterian,",50,,https://drive.google.com/file/d/1rbtv6di1X3uEHLrn-QyrMpnQmv_YWNmj/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/RedVelvetPastry.jpg,,40
Rasmalai Pastry,ProductType,10,"Inventory,Food,Bekery,Pastries,Vegeterian,",50,,https://drive.google.com/file/d/1jJlRUDZw6yXmyWnt5HDa3TRzxZmkvtKu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/RasmalaiPastry.jpg,,
German Forest Pastry,ProductType,11,"Inventory,Food,Bekery,Pastries,Vegeterian,",50,,https://drive.google.com/file/d/1RHyOO2JLzS1tr7RjpdNpgeFaXDKrVoIf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/GermanForestPastry.jpg,,40
Dessert,ProductClass,1,"Inventory,Food,Bekery,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Desserts.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Bekery,Dessert,",,,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Bekery,Dessert,",,,,,,
Chocolate,ProductType,4,"Inventory,Food,Bekery,Dessert,Vegeterian,",30,,https://drive.google.com/file/d/1vbhRpgGOEXu0lFsV4zyilBdw7b0WEMlg/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Chocolate.jpg,,
Pineapple,ProductType,5,"Inventory,Food,Bekery,Dessert,Vegeterian,",30,, ,,,40
