label,nodeType,order,path,price,description,link,imageLink
Poultry,ProductClass,1,"Inventory,Food,Meat,",,,https://drive.google.com/file/d/1fnmZFNAVgeq5-1Yec0UaR7A4OdRdT9Co/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/Poultry.jpg
NonVegeterian,ProductLine,2,"Inventory,Food,Meat,Poultry,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg
Vegeterian,ProductLine,3,"Inventory,Food,Meat,Poultry,",,,,
Chicken Curry Cuts 1Kg,ProductType,4,"Inventory,Food,Meat,Poultry,NonVegeterian,",200,,https://drive.google.com/file/d/1V829tqZohoP0BLvb0tcJYxjRi7jez1N4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food020922/ChickenCurryCuts1Kg.jpeg
Boneless Chicken 1Kg,ProductType,5,"Inventory,Food,Meat,Poultry,NonVegeterian,",300,,https://drive.google.com/file/d/1DHOtYclnQLBmhyJHoRRFINSE-88bljeB/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food020922/BonelessChicken1Kg.jpeg
Boneless Kheema 1Kg,ProductType,6,"Inventory,Food,Meat,Poultry,NonVegeterian,",300,,https://drive.google.com/file/d/1KKoVUYblDOBDyqJQKR1LQM6UEK776IQ9/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food020922/BonelessKheema1Kg.jpeg
Lollipop 1Kg,ProductType,7,"Inventory,Food,Meat,Poultry,NonVegeterian,",220,,https://drive.google.com/file/d/1ekLYOTer6QTcxqwZtj9hhLQqPa7Ha61n/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food020922/Lollipop1Kg.jpg
Qalmi Drumsticks 1Kg,ProductType,8,"Inventory,Food,Meat,Poultry,NonVegeterian,",220,,https://drive.google.com/file/d/1Q7VWQuxSB7C1m_LjJzNz45ew8NKQG_iw/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food020922/QalmiDrumsticks1Kg.jpeg
Legs Complete 1Kg,ProductType,9,"Inventory,Food,Meat,Poultry,NonVegeterian,",220,,https://drive.google.com/file/d/1QeVWcxghvgHTtEWyFO51GvsRNrJTAAmo/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food020922/LegsComplete1Kg.jpeg
Liver Gizzard 1Kg,ProductType,10,"Inventory,Food,Meat,Poultry,NonVegeterian,",80,,https://drive.google.com/file/d/1C_B6eoxSXRcOHK7phHNzLXmloCjpj8Qi/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food020922/LiverGizzard1Kg.jpg
Eggs 6Pcs,ProductType,11,"Inventory,Food,Meat,Poultry,NonVegeterian,",45,,https://drive.google.com/file/d/1qzAP2H2BtIiOjIfDthi-ySzO_S4eQc1m/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food020922/Eggs6Pcs.jpg
Dog Food Feet 3Kg,ProductType,12,"Inventory,Food,Meat,Poultry,NonVegeterian,",50,,https://drive.google.com/file/d/1GXVazJV6mawUKOV31R-K9D1a0-gpbfYk/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food020922/DogFoodFeet3Kg.jpg
