label,nodeType,order,path,price,ingredients,link,imageLink,Swiggy ,Zomato ,description
Entree,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/Entree.jpg,,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Entree,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Entree,",,,,,,,
Dal Fry,ProductType,3,"Inventory,Food,Restaurant,Entree,Vegeterian,",130,"moong dal,masoor dal,dry red chilies
garlic,garlic,bay leaf,onion,mustard seeds,cumin seeds,hing,coriander leaves,red chili powder,garam masala powder,salt,water,olive oil,butter,ghee",https://drive.google.com/file/d/1K8tvnEHHFvnC05dq2Qx-p-dJ1RZDhOaK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/DalFry.jpg,,170,
Dal Tadka,ProductType,4,"Inventory,Food,Restaurant,Entree,Vegeterian,",150,"masoor Dal,arhar Dal,yellow moong Dal,garlic,tomatoes,Green chilies,Dry Red chilies,haldi,jeera,red chili powder",https://drive.google.com/file/d/14RUwq8nVglapT24psGzGu5oLTx-UOZB7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/DalTadka.jpg,,195,
Dal Kolhapuri,ProductType,5,"Inventory,Food,Restaurant,Entree,Vegeterian,",160,,https://drive.google.com/file/d/1xrOq7mnzkFDeljYtoKkbDC4HMKFbZsJH/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DalKolhapuri.jpg,,210,
Dal Makhani,ProductType,6,"Inventory,Food,Restaurant,Entree,Vegeterian,",180,"saboot urad,rajma,chana dal,tomatoes,onion,chopped ginger,green chillies,tea spoon Salt",https://drive.google.com/file/d/1bx4zFB3n5TKpwLaxvoc2JGDgMQI_4sWj/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DalMakhani.jpg,,230,
Jeera Dal,ProductType,7,"Inventory,Food,Restaurant,Entree,Vegeterian,",140,"Masoor Dal,Tuwar Dal,Dry Red Chilli,turmeric powder,Asafoetida,Cumin Seeds,green chilli,Coriander leaves,Garlic chopped",https://drive.google.com/file/d/1EJ7aQXFCzNGyeOGe3YgKlynwaIM20zh1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/JeeraDal.jpg,,180,
Tava Besan,ProductType,8,"Inventory,Food,Restaurant,Entree,Vegeterian,",170,,https://drive.google.com/file/d/1MbSq56dDKdpsOzTy4oox3oHEGOtuULG0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/TavaBesan.jpg,,,
Jeera Aloo,ProductType,9,"Inventory,Food,Restaurant,Entree,Vegeterian,",150,"cumin seeds,jeera,potato cubes,oil,green chilli paste,turmeric powder,haldi,optional,lemon juice,salt,finely chopped coriander,dhania",https://drive.google.com/file/d/1exhdLBCM3W3AL9Csd7Q-euCOXal8kttE/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/JeeraAloo.jpg,,190,
Tomato Chatnee,ProductType,10,"Inventory,Food,Restaurant,Entree,Vegeterian,",140,"Tomato,Onion,Green chili,Chilli powder,Tamarind juice,Coriander leaf and curry leaf,Mustard,Coconut oil",https://drive.google.com/file/d/1rqlmGyLUjYQ9VnWVc2bXqp32wvaLpStT/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Tomato-Chatnee.jpg,,,
Green Peans Masala,ProductType,11,"Inventory,Food,Restaurant,Entree,Vegeterian,",150,,https://drive.google.com/file/d/1PpBjIH96GPNwgy4EUdCjKskT_VF08fuW/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/GreenPeansMasala.jpg,,,
Mushroom Masala,ProductType,12,"Inventory,Food,Restaurant,Entree,Vegeterian,",180,"button mushrooms,onion,tomato,green chilly paste,ginger garlic paste,garam masala powder,turmeric powder,kashmiri red chilly powder",https://drive.google.com/file/d/1lxiJ7KE2cIt_oraf27eM76_VxZCeFywA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/MushroomMasala.jpg,,230,
Aloo Mutter,ProductType,13,"Inventory,Food,Restaurant,Entree,Vegeterian,",150,,https://drive.google.com/file/d/19YNKlvAvT3I_Fai-s4CDdCRupTBvXJTF/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AlooMutter.jpg,,230,
Mix Veg,ProductType,14,"Inventory,Food,Restaurant,Entree,Vegeterian,",150,"Cauliflower,Potatoes,Pointed Grouds,Carrot,Raddish,Campsicum,Brinjal,French Beans",https://drive.google.com/file/d/1ck00uoIiKEXjtfN1K8Zx7xfA2Dsc5VeU/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/MixVeg.jpg,,190,
Veg Kolhapuri,ProductType,15,"Inventory,Food,Restaurant,Entree,Vegeterian,",170,"dry grated Coconut,onion,Tomatoes,ginger garlic paste,Coriander seeds,garam masala,Cardamom",https://drive.google.com/file/d/1m1uzUXSxt9B7c1QZzLM8f5Xkfl5SnP3e/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegKolhapuri.jpg,,220,
Veg Handi/Kadai,ProductType,16,"Inventory,Food,Restaurant,Entree,Vegeterian,",180,,https://drive.google.com/file/d/1H4bmBiv73YGMtz0L1t-X299EnaREFnea/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Handi-Kadai.jpg,,230,
Lasooni Methi,ProductType,17,"Inventory,Food,Restaurant,Entree,Vegeterian,",170,,https://drive.google.com/file/d/1iSp4FlEs1d2vzirI_q392xM98_bjvzF-/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/LasooniMethi.jpg,,,
Shev Gavran,ProductType,18,"Inventory,Food,Restaurant,Entree,Vegeterian,",160,,,,,,
