label,nodeType,order,path,price,link,imageLink,Swiggy,description
Misal,ProductClass,1,"Inventory,Food,Restaurant,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Misal.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Misal,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Misal,",,,,,
Marathi Misal,ProductType,3,"Inventory,Food,Restaurant,Misal,Vegeterian,",50,https://drive.google.com/file/d/14L46VUXJUUeWXgTCLf9MG-GaaQB8MHJa/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MarathiMisal.jpg,60,
Kolhapuri Misal,ProductType,4,"Inventory,Food,Restaurant,Misal,Vegeterian,",80,https://drive.google.com/file/d/1awxKcGTyPdBEtBYM0QONlTdjzI9pkidG/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/KolhapuriMisal.jpg,90,
Cheese Misal,ProductType,5,"Inventory,Food,Restaurant,Misal,Vegeterian,",,https://drive.google.com/file/d/1q0GLbWK9oyHHlXrabT4vJGIOYKBEiTwJ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/CheeseMisal.jpg,100,
Puneri Misal,ProductType,6,"Inventory,Food,Restaurant,Misal,Vegeterian,",100,https://drive.google.com/file/d/1N5x2ewByyJMw1b1nI2IlzCKzpRcIcp6h/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Puneri-Misal.jpg,115,
Misal Extra,ProductType,7,"Inventory,Food,Restaurant,Misal,Vegeterian,",30,https://drive.google.com/file/d/14fc8oROJBbMgF_n1ZEnE2c6iGYWeU4_h/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MisalExtra.jpg,,
Extra Pav,ProductType,8,"Inventory,Food,Restaurant,Misal,Vegeterian,",5,https://drive.google.com/file/d/1zYqEN7zZK3kGGbNA9YdfHQqIKF7dB0-k/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ExtraPav.jpg,5,
Sweets,ProductClass,1,"Inventory,Food,Restaurant,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/sweet.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Sweets,",,,,,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Sweets,",,,,,
Gulab Jamun,ProductType,3,"Inventory,Food,Restaurant,Sweets,Vegeterian,",10,https://drive.google.com/file/d/1TbtnkGTLMpu0NDPKRVb7_KyhTDD652nr/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/GulabJamun.jpg,10,
Beverages,ProductClass,1,"Inventory,Food,Restaurant,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Beverages.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Beverages,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Beverages,",,,,,
Special Matta,ProductType,3,"Inventory,Food,Restaurant,Beverages,Vegeterian,",20,,,,
Half Matta,ProductType,4,"Inventory,Food,Restaurant,Beverages,Vegeterian,",10,,,,
