label,nodeType,order,path,price,description,Ingredients,link,imageLink
Misal,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://drive.google.com/file/d/1RyjwO6FBYXBixcSbWGrcYRZNgpk5s3i8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Misal.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Misal,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Misal,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg
Sadhi Misal,ProductType,4,"Inventory,Food,Restaurant,Misal,Vegeterian,",90,,"  mixed sprouts, potato boiled, onion, tomato chopped,
  mustard,  oil,  haldi,  red chilli powder,
  garam masala,  mustard",https://drive.google.com/file/d/1GKC7Uoz6EkTrjTGaHEOVinbaIakxXe_l/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/SadhiMisal.jpg
Special Matka Misal,ProductType,5,"Inventory,Food,Restaurant,Misal,Vegeterian,",100,,,https://drive.google.com/file/d/1evPG0evnK26MlTGZaf8wDah2sZWhmpNg/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/SpecialMatkaMisal.jpg
Dahi Misal,ProductType,6,"Inventory,Food,Restaurant,Misal,Vegeterian,",110,,"  mixed sprouts, potato boiled, onion,
 tomato chopped,  mustard,  oil,
  haldi",https://drive.google.com/file/d/1EVOvE6Fgp8fCcDYYUT9HDoZ2t_E44iCR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DahiMisal.jpg
Gupchup Misal,ProductType,7,"Inventory,Food,Restaurant,Misal,Vegeterian,",110,,"  mixed sprouts, potato boiled, onion,
 tomato chopped,  mustard,  oil,  haldi,
  red chilli powder,  garam masala,  mustard",,
Vada Misal,ProductType,8,"Inventory,Food,Restaurant,Misal,Vegeterian,",120,,"  mixed sprouts, potato boiled, onion, tomato chopped,
  mustard,  oil,  haldi,  red chilli powder,
  garam masala",https://drive.google.com/file/d/1V0TzCJ-_xhyfOoTPH3HVOREQdvvoti3t/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/VadaMisal.jpg
Misal Bhakri,ProductType,9,"Inventory,Food,Restaurant,Misal,Vegeterian,",120,,"  mixed sprouts, potato boiled, onion,
 tomato chopped,  mustard,  oil,  haldi,
  red chilli powder,  garam masala,
  mustard",https://drive.google.com/file/d/1RxbbQNFFu4weXEdiBz33vYlNdLPXKixL/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/MisalBhakri.jpg
Namo Special Misal,ProductType,10,"Inventory,Food,Restaurant,Misal,Vegeterian,",140,,"  mixed sprouts, potato boiled, onion,
 tomato chopped,  mustard,  oil,
  haldi,  red chilli powder,  garam masala,  mustard",,
