label,nodeType,order,path,price,description,link,imageLink,Swiggy ,Zomato
Rice,ProductClass,1,"Inventory,Food,Restauarnt,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Rice.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restauarnt,Rice,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegetarian ,ProductLine,3,"Inventory,Food,Restauarnt,Rice,",,,,,,
Steam Rice,ProductType,4,"Inventory,Food,Restauarnt,Rice,Vegeterian,",80,,https://drive.google.com/file/d/1JwfmCVcMa9KTZbWP9pCn79TsIEWL0c1s/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/SteamRice.jpg,,
Plain Rice,ProductType,5,"Inventory,Food,Restauarnt,Rice,Vegeterian,",70,,https://drive.google.com/file/d/18J_mJa06XUs-QW11tFlny9iB4N4MgBaj/view?usp=sharing,,,
Plain Rice Full,ProductUnit,6,"Inventory,Food,Restauarnt,Rice,Vegeterian,Plain Rice,",70,,https://drive.google.com/file/d/1dUIF8EVW5-rM5FBwTvYL7kMpDGgKkHQg/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Plain-Rice.jpg,,
Plain Rice Half,ProductUnit,7,"Inventory,Food,Restauarnt,Rice,Vegeterian,Plain Rice,",40,,https://drive.google.com/file/d/1dUIF8EVW5-rM5FBwTvYL7kMpDGgKkHQg/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Plain-Rice.jpg,,50
Jeera Rice,ProductType,8,"Inventory,Food,Restauarnt,Rice,Vegeterian,",80,,https://drive.google.com/file/d/1-GF04qtXF6mVP48_0ek2Qj07ZNbdnEES/view?usp=sharing,,,
Jeera Rice Full,ProductUnit,9,"Inventory,Food,Restauarnt,Rice,Vegeterian,Jeera Rice,",80,,https://drive.google.com/file/d/1XWi_RFUxoXm7T2NMDEQrUBKa57-mY2EL/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/JeeraRiceFull.gif,,
Jeera Rice Half,ProductUnit,10,"Inventory,Food,Restauarnt,Rice,Vegeterian,Jeera Rice,",50,,https://drive.google.com/file/d/1gab5eRuLll1Ed8DokZQ1FuTko20Esbwa/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/JeeraRiceHalf.jpg,,60
Veg Pulav,ProductType,11,"Inventory,Food,Restauarnt,Rice,Vegeterian,",110,,https://drive.google.com/file/d/1JVN_maOr1Clvt-SlU51QylwBcZng4liR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegPulav.jpg,,
Paneer Pulav,ProductType,12,"Inventory,Food,Restauarnt,Rice,Vegeterian,",130,,https://drive.google.com/file/d/177oVJEjOHWvKtQ8TAV3cU-UbI53mhWE/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerPulav.jpg,,
Kaju Pulav,ProductType,13,"Inventory,Food,Restauarnt,Rice,Vegeterian,",130,,https://drive.google.com/file/d/1ekLels-gOkUfwHKGvfh_sSuCB0clrgtx/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/KajuPulav.jpg,,
Mushroom Pulav,ProductType,14,"Inventory,Food,Restauarnt,Rice,Vegeterian,",130,,https://drive.google.com/file/d/1bw2EKa1OwcCM72r-0t4u_lUS2TB2wZeq/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MushroomPulav.jpg,,
Hyderabadi Veg Pulav,ProductType,15,"Inventory,Food,Restauarnt,Rice,Vegeterian,",130,,https://drive.google.com/file/d/1s00ctiw03wM0bDvzvwP460Etk-BzIE1i/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/HyderabadiVegPulav.jpg,,
Veg Dum Biryani,ProductType,16,"Inventory,Food,Restauarnt,Rice,Vegeterian,",140,,https://drive.google.com/file/d/1fLE6KXsd8-zNpOZZaPc6e4eDtSLmQjr8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegDumBiryani.jpg,,150
Green Peas Pulav,ProductType,17,"Inventory,Food,Restauarnt,Rice,Vegeterian,",100,,https://drive.google.com/file/d/13mqEwcE-IZHPfnRMhzd-_pda-QK6gill/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/GreenPeasPulav.jpg,,
Masala Rice,ProductType,18,"Inventory,Food,Restauarnt,Rice,Vegeterian,",100,,https://drive.google.com/file/d/1f42W8I8vF2MKOR1_NEpVKeDqUYYxbwXH/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MasalaRice.jpg,,
Veg Biryani,ProductType,19,"Inventory,Food,Restauarnt,Rice,Vegeterian,",120,,https://drive.google.com/file/d/1jR3STBQoAfkKOHnvdjdNXjOE5ZqtJexz/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Biryani.jpg,,
Milan Spl Biryani,ProductType,20,"Inventory,Food,Restauarnt,Rice,Vegeterian,",150,, ,,,
Dal Khichdi,ProductType,21,"Inventory,Food,Restauarnt,Rice,Vegeterian,",110,,https://drive.google.com/file/d/1eYgIjQw-U3ZGT8GEPhcg9KZJWnc7BvLu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DalKhichdi.jpg,,
Curd Rice,ProductType,22,"Inventory,Food,Restauarnt,Rice,Vegeterian,",100,,https://drive.google.com/file/d/1vBvzMDzVFIOmHhoFGfSV2bWWfqhHbujJ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/CurdRice.jpg,,
Roti and Naan,ProductClass,1,"Inventory,Food,Restauarnt,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Roti.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restauarnt,Roti and Naan,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegetarian ,ProductLine,3,"Inventory,Food,Restauarnt,Roti and Naan,",,,,,,
Tandoori Plain Roti,ProductType,4,"Inventory,Food,Restauarnt,Roti and Naan,Vegeterian,",12,,https://drive.google.com/file/d/1RWQu1pi1F2mod7n5E-6_uPIRlh_LTN6z/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/TandooriPlainRoti.jpg,,
Tandoori Butter Roti,ProductType,5,"Inventory,Food,Restauarnt,Roti and Naan,Vegeterian,",18,,https://drive.google.com/file/d/1lCjPtxyGQ1xnJvXJX6OALoj4ncfMgFBN/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/TandooriButterRoti.jpg,,
Tandoori Butter Naan,ProductType,6,"Inventory,Food,Restauarnt,Roti and Naan,Vegeterian,",35,,https://drive.google.com/file/d/1G80t92EeCrh1U7TDBdXSru-QBK-xIJ_f/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Tandoori-Butter-Naan.jpg,,
Tandoori Plain Naan,ProductType,7,"Inventory,Food,Restauarnt,Roti and Naan,Vegeterian,",25,,https://drive.google.com/file/d/1B5zc2dkVRcxSqYyoJmZ9lev2bpbrYHan/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/TandooriPlainNaan.jpg,,
Tandoori Laccha Paratha,ProductType,8,"Inventory,Food,Restauarnt,Roti and Naan,Vegeterian,",35,,https://drive.google.com/file/d/1ZgKSxl69nymRvg-_AuTEYv3Z-GKxhqZH/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/TandooriLacchaParatha.jpg,,
Tandoori Butter Kulcha,ProductType,9,"Inventory,Food,Restauarnt,Roti and Naan,Vegeterian,",35,,https://drive.google.com/file/d/13KBEBCZNle2fywDo_ej-9RlezFu4N9lV/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/TandooriButterKulcha.jpg,,
Tandoori Methi Roti,ProductType,10,"Inventory,Food,Restauarnt,Roti and Naan,Vegeterian,",20,,https://drive.google.com/file/d/1ku0C1aoTH22EzGTiQpPmf-ix97Cdum8k/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/TandooriMethiRoti.jpg,,
Tawa Plain Roti,ProductType,11,"Inventory,Food,Restauarnt,Roti and Naan,Vegeterian,",10,,https://drive.google.com/file/d/13t94B24gWplyVTa9SiWduaHtKreF_3Rd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/TawaPlainRoti.jpg,,10
Tawa Butter Roti,ProductType,12,"Inventory,Food,Restauarnt,Roti and Naan,Vegeterian,",15,,https://drive.google.com/file/d/1sBVRUu6dE8Q7g9tIesTKDkEcDJVhaRU_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/TawaButterRoti.jpg,,15
Tawa Plain Paratha,ProductType,13,"Inventory,Food,Restauarnt,Roti and Naan,Vegeterian,",15,,https://drive.google.com/file/d/1V_I2NXd48Fq8EoKUu2I-PeOcICXCvXnt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/TawaPlainParatha.jpg,,15
Tawa Butter Paratha,ProductType,14,"Inventory,Food,Restauarnt,Roti and Naan,Vegeterian,",20,,https://drive.google.com/file/d/1LwrVFmjc3oU0Efu5l9GtrQKTvLLw505m/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/TawaButterParatha.jpg,,20
Aloo Paratha,ProductType,15,"Inventory,Food,Restauarnt,Roti and Naan,Vegeterian,",40,,https://drive.google.com/file/d/1-e7xl7ssjjkFNLd1vWJF_Hp9o9FVEZyS/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AlooParatha.jpg,,
Entree,ProductClass,1,"Inventory,Food,Restauarnt,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/Entree.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restauarnt,Entree,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegetarian ,ProductLine,3,"Inventory,Food,Restauarnt,Entree,",,,,,,
Veg Kofta,ProductType,4,"Inventory,Food,Restauarnt,Entree,Vegeterian,",130,,https://drive.google.com/file/d/1Mvg_zicUKWbqy17-QkdNaNjk6pwcqvxT/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Kofta.jpg,,
Nargis Kofta,ProductType,5,"Inventory,Food,Restauarnt,Entree,Vegeterian,",130,,https://drive.google.com/file/d/1caA_Q3p4SKPESr6_NhypARbvGAR74tQB/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/NargisKofta.jpg,,
Veg Kofta Curry,ProductType,6,"Inventory,Food,Restauarnt,Entree,Vegeterian,",130,,https://drive.google.com/file/d/1j10kRHL4J2pBjlUSk6ec4k-LYINxdAW4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegKoftaCurry.jpg,,
Cheese Kofta,ProductType,7,"Inventory,Food,Restauarnt,Entree,Vegeterian,",130,,https://drive.google.com/file/d/1Gvk8xx4wqFaVIq8_PBMjBhTYbA_t8MnI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/CheeseKofta.jpg,,
Paneer Kofta,ProductType,8,"Inventory,Food,Restauarnt,Entree,Vegeterian,",140,,https://drive.google.com/file/d/1KcYDcZ4QMe9pvL3rJhN3-ef5umFHRmhR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerKofta.jpg,,
Dum Aloo Punjabi,ProductType,9,"Inventory,Food,Restauarnt,Entree,Vegeterian,",130,,https://drive.google.com/file/d/1Qcg1S953FlM-nRpXqQqrBHTh_9sVUOgV/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DumAlooPunjabi.jpg,,
Stuffed Toamto,ProductType,10,"Inventory,Food,Restauarnt,Entree,Vegeterian,",190,,https://drive.google.com/file/d/1edasn8sEoDEDYJQFq2kVyjJunVALNnND/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/StuffedToamto.jpg,,
Stuffed Capsicum,ProductType,11,"Inventory,Food,Restauarnt,Entree,Vegeterian,",100,,https://drive.google.com/file/d/1_BvKckdIndPMFxdv4xKwhw-S6iWr1NLS/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Stuffed-Capsicum.jpg,,
Malai Kofta,ProductType,12,"Inventory,Food,Restauarnt,Entree,Vegeterian,",140,,https://drive.google.com/file/d/1VLPs06se6YOpnFqheEoxjS2W43ntezp8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MalaiKofta.jpg,,
Paneer Amritsari,ProductType,13,"Inventory,Food,Restauarnt,Entree,Vegeterian,",150,,https://drive.google.com/file/d/1eo9ihIKJfTLitJi0-C5KOq1amsISV0Hj/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/PaneerAmritsari.jpg,,
Paneer Rajwadi,ProductType,14,"Inventory,Food,Restauarnt,Entree,Vegeterian,",160,,https://drive.google.com/file/d/1M90IcPwfgZLt86mLw6PYogY4xI56RRCM/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerRajwadi.png,,170
Paneer Shabnam,ProductType,15,"Inventory,Food,Restauarnt,Entree,Vegeterian,",160,,https://drive.google.com/file/d/1SaK909rxvowfwxP7XxRaTUcQQucshqoy/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/PaneerShabnam.jpg,,170
Paneer Tikka Masala,ProductType,16,"Inventory,Food,Restauarnt,Entree,Vegeterian,",130,,https://drive.google.com/file/d/1BmyxNFwPwf7zpalxZOSRuGMcKOWv1EoQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerTikkaMasala.jpg,,140
Paneer Butter Masala,ProductType,17,"Inventory,Food,Restauarnt,Entree,Vegeterian,",130,,https://drive.google.com/file/d/1hxW4pcTbsHP6Ql9I_VfGsXwGKF6m006R/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerButterMasala.jpg,,
Paneer Kadai,ProductType,18,"Inventory,Food,Restauarnt,Entree,Vegeterian,",140,,https://drive.google.com/file/d/1XGINKnRA5noOl2-dVsUXFUaDbO_Zft62/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerKadai.jpg,,
Paneer Tawa,ProductType,19,"Inventory,Food,Restauarnt,Entree,Vegeterian,",140,,https://drive.google.com/file/d/1LNzpB1mTqasSQtUS9DyyHJnbqKkLlmeD/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerTawa.jpg,,150
Paneer Balti,ProductType,20,"Inventory,Food,Restauarnt,Entree,Vegeterian,",140,,https://drive.google.com/file/d/1r3gTeUwACm5jjU-YGuKnkt3XNeHXmuIS/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerBalti.jpg,,
Paneer Bhurji Gravy,ProductType,21,"Inventory,Food,Restauarnt,Entree,Vegeterian,",150,,https://drive.google.com/file/d/1EsAQjiOih_YEHZfrPQmvN1os3gXuENVD/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/PaneerBhurjiGravy.jpg,,
Paneer Bhurji Dry,ProductType,22,"Inventory,Food,Restauarnt,Entree,Vegeterian,",180,,https://drive.google.com/file/d/1A0jqWZ6EP0xRcJGY-IHrYYoyhnlXvsLZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerBhurjiDry.jpg,,
Paneer Tufani,ProductType,23,"Inventory,Food,Restauarnt,Entree,Vegeterian,",150,,https://drive.google.com/file/d/1vJPH6gqLrlDTdjWGfUyMy5-JQCT92NW/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerTufani.jpg,,
Paneer Pasanda,ProductType,24,"Inventory,Food,Restauarnt,Entree,Vegeterian,",150,,https://drive.google.com/file/d/17Yu6KNCHcPsLQufrz0v7tdk_nlJECrZ3/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerPasanda.jpg,,
Palak Paneer,ProductType,25,"Inventory,Food,Restauarnt,Entree,Vegeterian,",120,,https://drive.google.com/file/d/15TSU15zdBHcKR9I_i1fBqvMPLl4_FgN7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PalakPaneer.jpg,,
Paneer Chatpata,ProductType,26,"Inventory,Food,Restauarnt,Entree,Vegeterian,",150,,https://drive.google.com/file/d/1f2BnH3LopWJiMTOcBVQClA84nrL8YHif/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerChatpata.jpg,,160
Paneer Kolhapuri,ProductType,27,"Inventory,Food,Restauarnt,Entree,Vegeterian,",140,,https://drive.google.com/file/d/1-J-2JnzyS-Oe3Ngjai14xQnDzBM_v3Da/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerKolhapuri.jpg,,
Paneer Laziz,ProductType,28,"Inventory,Food,Restauarnt,Entree,Vegeterian,",150,,https://drive.google.com/file/d/1OYySz9FrzZf_YSg0HLIeq_HCihGnblo7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerLaziz.jpg,,
