label,nodeType,order,path,price,description,link,imageLink,Swiggy ,Zomato 
Shakes,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Shakes.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Shakes,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Shakes,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,,
Vanila Shake,ProductType,4,"Inventory,Food,Restaurant,Shakes,Vegeterian,",99,,https://drive.google.com/file/d/1e6ZS76U7zkzuw92Ve14hlzlrphXRjKoK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VanilaShake.jpg,,120
Strawberry Shake,ProductType,5,"Inventory,Food,Restaurant,Shakes,Vegeterian,",99,,https://drive.google.com/file/d/1Fdnyc6aGR4CFaJ03M1rjQ0pqahi_lzy3/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/StrawberryShake.jpg,,120
Mango Shake,ProductType,6,"Inventory,Food,Restaurant,Shakes,Vegeterian,",99,,https://drive.google.com/file/d/1GuSXG_n0eiI0Wv_5z5lA4V93edCGPgOl/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MangoShake.jpg,,120
Oreo Shake,ProductType,7,"Inventory,Food,Restaurant,Shakes,Vegeterian,",120,,https://drive.google.com/file/d/1e_eFRRnkBekms2_ce6lXpp43RDyRtZQu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/OreoShake.jpg,,145
Brownie Cookie Shake,ProductType,8,"Inventory,Food,Restaurant,Shakes,Vegeterian,",120,,https://drive.google.com/file/d/1ZlaLdXPeVEwtd3dX6fhfhBugSfb4Ehaz/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220511/BrownieCookieShake.jpg,,145
Kit Kat Shake,ProductType,9,"Inventory,Food,Restaurant,Shakes,Vegeterian,",120,,https://drive.google.com/file/d/18Ema0CfR8oH5SoBJIKCWdyfx6o9Tbq0c/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/KitkatShake.jpg,,145
Beverages,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Beverages.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Beverages,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Beverages,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,,
Virgin Mojito,ProductType,4,"Inventory,Food,Restaurant,Beverages,Vegeterian,",110,,https://drive.google.com/file/d/1CodghbtqPT74JhOgmKao37H72i2Hmg9A/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Virgin-Mojito.jpg,,130
Cold Coffee,ProductType,5,"Inventory,Food,Restaurant,Beverages,Vegeterian,",80,,https://drive.google.com/file/d/12q3woJzjR7FpBQfmLThIsX0ExUZ8wRPo/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ColdCoffee.jpg,,100
Regular Coke,ProductType,6,"Inventory,Food,Restaurant,Beverages,Vegeterian,",45,,,,,45
Water Bottle,ProductType,7,"Inventory,Food,Restaurant,Beverages,Vegeterian,",20,,https://drive.google.com/file/d/1vEbwJeaAS8gRxK1I1LRkYzYupxpKd-Fw/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Water-Bottle.jpg,,
Fries,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/15PKFi42PpHzYRDPF5fKE5IeaSx6QUMYl/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Fries.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Fries,",,,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Fries,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,,
Regular Fries,ProductType,4,"Inventory,Food,Restaurant,Fries,Vegeterian,",75,,https://drive.google.com/file/d/1o7vZhSt6cXjG0A8YNHsXtBf8EZ7iUyyU/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Regular-Fries.jpg,,
Large Fries,ProductType,5,"Inventory,Food,Restaurant,Fries,Vegeterian,",99,,https://drive.google.com/file/d/17q_6XMiWKYuF25eCEgfst_lRNltuwkoV/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220127/LargeFries.jpg,,
Cheesy Fries,ProductType,6,"Inventory,Food,Restaurant,Fries,Vegeterian,",120,,https://drive.google.com/file/d/10yPm41qekDI-4eiTs3NSG5wPsqxWijYT/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/CheesyFries.jpg,,
Burgers,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Burger.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Burgers,",,,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Burgers,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,,
Aloo Patty Burger,ProductType,4,"Inventory,Food,Restaurant,Burgers,Vegeterian,",59,,https://drive.google.com/file/d/1gpG4lonQZYxKchT21Lx1xjvWbs3LOve_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220511/AlooPattyBurger.jpeg,,
Aloo Patty Burger Meal Combo,ProductType,5,"Inventory,Food,Restaurant,Burgers,Vegeterian,",149,,,,,180
Hot Veggy Crunch Burger,ProductType,6,"Inventory,Food,Restaurant,Burgers,Vegeterian,",79,,https://drive.google.com/file/d/1ewx1sQBbrAFGOivMGYjYk2W-IOvijitl/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220511/HotVeggyCrunchBurger.jpg,,
Hot Veggy Crunch Burger Meal Combo,ProductType,7,"Inventory,Food,Restaurant,Burgers,Vegeterian,",169,,https://drive.google.com/file/d/1Y9zE4l_Tb-UFaQQFYgmqUWfJ9dC1VRrE/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220511/HotVeggyCrunchBurgerMealCombo.jpg,,
Veggy Lover Burger,ProductType,8,"Inventory,Food,Restaurant,Burgers,Vegeterian,",99,,https://drive.google.com/file/d/1Wg6Fdu7SyBTdZKbwIFAglg7yu4DcNBme/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220511/VeggyLoverBurger.jpg,,
Veggy Lover Burger Meal Combo,ProductType,9,"Inventory,Food,Restaurant,Burgers,Vegeterian,",189,,https://drive.google.com/file/d/1n18N_mTnHcK1MD0C0gr49i2DBovvgEHJ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220511/VeggyLoverBurgerMealCombo.jpg,,
Cheesy Delight Burger,ProductType,10,"Inventory,Food,Restaurant,Burgers,Vegeterian,",129,,https://drive.google.com/file/d/1wlN79hsWvSPFz2TcnlkdQec47Db8fqtM/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220511/CheesyDelightBurger.jpg,,155
Cheesy Delight Burger Meal Combo,ProductType,11,"Inventory,Food,Restaurant,Burgers,Vegeterian,",219,,,,,
Paneer Salsa Burger,ProductType,12,"Inventory,Food,Restaurant,Burgers,Vegeterian,",135,,https://drive.google.com/file/d/1yAVM1Eg609XEU1Hxa_6lsBfAUQpOpNtQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220511/PaneerSalsaBurger.jpg,,165
Paneer Salsa Burger Meal Combo,ProductType,13,"Inventory,Food,Restaurant,Burgers,Vegeterian,",225,,,,,270
Wraps,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1MEXqjSi80skahWCBgKJT4SEYY-KxcvvT/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220216/Wraps.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Wraps,",,,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Wraps,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,,
Veg Wrap,ProductType,4,"Inventory,Food,Restaurant,Wraps,Vegeterian,",120,,https://drive.google.com/file/d/1Pp3yU3Wt5pXXy6GcxBzmNMpzDph432xE/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220511/VegWrap.jpg,,145
Veg Wrap Meal Combo,ProductType,5,"Inventory,Food,Restaurant,Wraps,Vegeterian,",210,,,,,255
