label,nodeType,order,path,price,description,link,imageLink,Swiggy ,Zomato
Steam Momos,ProductClass,1,"Inventory,Food,Restaurant,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/SteamMomos.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Steam Momos,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Steam Momos,",,,,,,
Veg Steam Momos,ProductType,4,"Inventory,Food,Restaurant,Steam Momos,Vegeterian,",50,,https://drive.google.com/file/d/1kEUu2MqH7zum5H38qL63GyWeHfMag_-h/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Steam-Momos.jpg,60,60
Paneer Steam Momos,ProductType,5,"Inventory,Food,Restaurant,Steam Momos,Vegeterian,",60,,https://drive.google.com/file/d/1DT-FOiswbprCgQLl3JgB0YYQ5GElWEBf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/PaneerSteamMomos.jpeg,70,70
Cheese Steam Momos,ProductType,6,"Inventory,Food,Restaurant,Steam Momos,Vegeterian,",70,,https://drive.google.com/file/d/1zUySCY1lgc3h32capGIg6xatrWQhkvdC/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/CheeseSteamMomos.jpg,80,80
Peri Peri Steam Momos,ProductType,7,"Inventory,Food,Restaurant,Steam Momos,Vegeterian,",70,,https://drive.google.com/file/d/1JoYlh3R7g0unXmRP4of8T9VmOA9KMMIb/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/PeriPeriSteamMomos.jpg,80,80
Schezwan Steam Momos,ProductType,8,"Inventory,Food,Restaurant,Steam Momos,Vegeterian,",70,,https://drive.google.com/file/d/1M-9wzX4BpafPLRECDAL4LS8hnrJOyz5z/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/SchezwanSteamMomos.jpg,80,80
Fried Momos,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1wo2Gf4-z6VQkpeKPPHx0l3qTSpYI213u/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/FriedMomos.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Fried Momos,",,,,,,
