label,nodeType,order,path,price,description,link,imageLink,Swiggy ,Zomato
Burgers,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Burger.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Burgers,",,,,,,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Burgers,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,,
Spl Chicken,ProductType,3,"Inventory,Food,Restaurant,Burgers,NonVegeterian,",150,,https://drive.google.com/file/d/1rJHt0NNvW0RcX_EzAyKjzwpNgdbJTxRA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/SplChicken.jpeg,219,
Spl Chicken Grilled,ProductType,4,"Inventory,Food,Restaurant,Burgers,NonVegeterian,",180,,https://drive.google.com/file/d/1g8P3YLVOJ7Qkn1bJDqh6mwqnnt_biJ8v/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/SplChickenGrilled.jpg,,
Sandwich,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Sandwich.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Sandwich,",,,,,,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Sandwich,",,,,,,
Spl Omlett Grilled Sandwich,ProductType,3,"Inventory,Food,Restaurant,Sandwich,NonVegeterian,",120,,https://drive.google.com/file/d/107ZeLOk8Z2VGQR_kSEQqb386nkTzQaCi/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/SplOmlettGrilledSandwich.jpg,,
Spl Chicken Grilled Sandwich,ProductType,4,"Inventory,Food,Restaurant,Sandwich,NonVegeterian,",150,,https://drive.google.com/file/d/1gOR0g3CGry6nKXC6sD-PuYcL0tzG4_YS/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/SplChickenGrilledSandwich.jpg,,
Rolls,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PNR-Tikka-Roll.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Rolls,",,,,,,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Rolls,",,,,,,
Plain Anda Roll,ProductType,3,"Inventory,Food,Restaurant,Rolls,NonVegeterian,",30,,https://drive.google.com/file/d/1R5NPX8FCjbMhDeP2fGYDKvg4_vNNnD8X/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/PlainAndaRoll.jpg,40,50
Cheese Anda Roll,ProductType,4,"Inventory,Food,Restaurant,Rolls,NonVegeterian,",50,,https://drive.google.com/file/d/1_ppJO3gchF0DgqlzGDIPz0DL4_KlcqtL/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/CheeseAndaRoll.jpg,65,70
Plain Double Anda Roll,ProductType,5,"Inventory,Food,Restaurant,Rolls,NonVegeterian,",50,,https://drive.google.com/file/d/1HR1RANiCE7DKam-LMH76KL6GenftBdDv/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/PlainDoubleAndaRoll.jpg,60,
Cheese Double Anda Roll,ProductType,6,"Inventory,Food,Restaurant,Rolls,NonVegeterian,",70,,https://drive.google.com/file/d/1hL7WQ_dg3J9ns6aIZepSO1SzizzDnwaI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/CheeseDoubleAndaRoll.jpg,,90
Plain Spl Anda Roll,ProductType,7,"Inventory,Food,Restaurant,Rolls,NonVegeterian,",50,,https://drive.google.com/file/d/16nwF9wwLluQzA3BfYzb__wHnF811kisf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/PlainSplAndaRoll.jpg,,
Cheese Spl Anda Roll,ProductType,8,"Inventory,Food,Restaurant,Rolls,NonVegeterian,",70,,https://drive.google.com/file/d/1XOli3e-2gykHDit9D1aeZaDQHe2i60_9/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/CheeseSplAndaRoll.jpg,,
Plain Spl Double Anda Roll,ProductType,9,"Inventory,Food,Restaurant,Rolls,NonVegeterian,",70,,https://drive.google.com/file/d/1t09yatYYsT5Oxqi-trtFvJjDbhBqI8yh/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/PlainSplDoubleAndaRoll.JPG,,
Cheese Spl Double Anda Roll,ProductType,10,"Inventory,Food,Restaurant,Rolls,NonVegeterian,",90,,https://drive.google.com/file/d/1z9vVkK2mPvu3ckODD6LjUaL7SNXPA2Rx/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/CheeseSplDoubleAndaRoll.jpg,,
Plain Anda Bhurji Roll,ProductType,11,"Inventory,Food,Restaurant,Rolls,NonVegeterian,",60,,https://drive.google.com/file/d/1ED31GkngMNHshO2a5ayoB0g3N6fwH-Zq/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/PlainAndaBhurjiRoll.jpg,,80
Cheese Anda Bhurji Roll,ProductType,12,"Inventory,Food,Restaurant,Rolls,NonVegeterian,",80,,https://drive.google.com/file/d/1WrFhZBkWcyG8WOPkBxPQ67vkC6voC277/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/CheeseAndaBhurjiRoll.jpg,,
Plain Spl Anda Bhurji Roll,ProductType,13,"Inventory,Food,Restaurant,Rolls,NonVegeterian,",80,,https://drive.google.com/file/d/1Jpp6SHfWYpJLOVreSGcyv92a5kziuD-0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/PlainSplAndaBhurjiRoll.jpg,,
Cheese Spl Anda Bhurji Roll,ProductType,14,"Inventory,Food,Restaurant,Rolls,NonVegeterian,",100,,https://drive.google.com/file/d/1_znWo3Poq_-5LneaPlG1PUyBoXDBhlJt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/CheeseSplAndaBhurjiRoll.jpg,,
Plain Double Anda Bhurji Roll,ProductType,15,"Inventory,Food,Restaurant,Rolls,NonVegeterian,",80,,https://drive.google.com/file/d/1504-UASLrAXpTFBd1n8Z61ievLMftTxE/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/PlainDoubleAndaBhurjiRoll.jpg,,100
Cheese Double Anda Bhurji Roll,ProductType,16,"Inventory,Food,Restaurant,Rolls,NonVegeterian,",100,,https://drive.google.com/file/d/1hjgS3L-lRMfL4nQzKIv9Yx7TM0AeLWhR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/CheeseDoubleAndaBhurjiRoll.jpg,,
Plain Anda Paneer Roll,ProductType,17,"Inventory,Food,Restaurant,Rolls,NonVegeterian,",85,,https://drive.google.com/file/d/114x1Df65-utpy2jLx8pMZWIjgucwvnHi/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/PlainAndaPaneerRoll.jpg,100,100
Cheese Anda Paneer Roll,ProductType,18,"Inventory,Food,Restaurant,Rolls,NonVegeterian,",105,,https://drive.google.com/file/d/1frx675Niw6_UbNni3Ugd7W7QsG00hEMn/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/CheeseAndaPaneerRoll.jpg,,
Plain Spl Anda Paneer Roll,ProductType,19,"Inventory,Food,Restaurant,Rolls,NonVegeterian,",105,,https://drive.google.com/file/d/136Mfg8Bcvp9cbP-GUGl24N1CYeytJiGj/view?usp=sharing,,,
Cheese Spl Anda Paneer Roll,ProductType,20,"Inventory,Food,Restaurant,Rolls,NonVegeterian,",125,,https://drive.google.com/file/d/136Mfg8Bcvp9cbP-GUGl24N1CYeytJiGj/view?usp=sharing,,,
Plain Rollwala Spl Anda Roll,ProductType,21,"Inventory,Food,Restaurant,Rolls,NonVegeterian,",120,,https://drive.google.com/file/d/16KOdS5i6hbftgd_V7mPM_8Xvxl14Wzag/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/PlainRollwalaSplAndaRoll.jpg,,
Cheese Rollwala Spl Anda Roll,ProductType,22,"Inventory,Food,Restaurant,Rolls,NonVegeterian,",140,,,,,
Plain Chicken Roll,ProductType,23,"Inventory,Food,Restaurant,Rolls,NonVegeterian,",70,,https://drive.google.com/file/d/13R8BK1K8ZRNVqi9z7jFhUjWzTTIO-kX6/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/PlainChickenRoll.jpg,90,
Cheese Chicken Roll,ProductType,24,"Inventory,Food,Restaurant,Rolls,NonVegeterian,",90,,https://drive.google.com/file/d/1Z4bJy_cVCJamCIdr5hziI8mUSgjfXQeE/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/CheeseChickenRoll.jpg,120,
Plain Spl Chicken Roll,ProductType,25,"Inventory,Food,Restaurant,Rolls,NonVegeterian,",90,,,,110,
Cheese Spl Chicken Roll,ProductType,26,"Inventory,Food,Restaurant,Rolls,NonVegeterian,",110,,https://drive.google.com/file/d/1BAL5S3oN50JLI-qeVjqtnPGCTTDzNFNM/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/CheeseSplChickenRoll.jpg,,
Plain Chicken Tikka Roll,ProductType,27,"Inventory,Food,Restaurant,Rolls,NonVegeterian,",90,,https://drive.google.com/file/d/1UCzATRdJP_fzbaEUS4Jbs7uGrjv7Hrgy/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/PlainChickenTikkaRoll.jpg,,
Cheese Chicken Tikka Roll,ProductType,28,"Inventory,Food,Restaurant,Rolls,NonVegeterian,",110,,https://drive.google.com/file/d/1xYPJgMiiAfxK5jCqj6vOt78E277vGW9U/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/CheeseChickenTikkaRoll.jpg,,
Plain Spl Chicken Tikka Roll,ProductType,29,"Inventory,Food,Restaurant,Rolls,NonVegeterian,",110,,,,,
Cheese Spl Chicken Tikka Roll,ProductType,30,"Inventory,Food,Restaurant,Rolls,NonVegeterian,",130,,,,,
Plain Anda Chicken Roll,ProductType,31,"Inventory,Food,Restaurant,Rolls,NonVegeterian,",90,,https://drive.google.com/file/d/184S8DpG7ehkBAyHXiVz8ylM-AWUztfjN/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/CheeseAndaChickenRoll.jpg,,
Cheese Anda Chicken Roll,ProductType,32,"Inventory,Food,Restaurant,Rolls,NonVegeterian,",110,,,,,
Plain Spl Anda Chicken Roll,ProductType,33,"Inventory,Food,Restaurant,Rolls,NonVegeterian,",110,,,,,
Cheese Spl Anda Chicken Roll,ProductType,34,"Inventory,Food,Restaurant,Rolls,NonVegeterian,",130,,,,,
Plain Double Anda Chicken Roll,ProductType,35,"Inventory,Food,Restaurant,Rolls,NonVegeterian,",110,,https://drive.google.com/file/d/1UtcSnaubr8yJqZQVlNdCcF5jmR2c1ijm/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/PlainDoubleAndaChickenRoll.jpg,,
Cheese Double Anda Chicken Roll,ProductType,36,"Inventory,Food,Restaurant,Rolls,NonVegeterian,",130,,https://drive.google.com/file/d/1LHJEllUCQMoDEkTMcq_QMgDcBmK40_wX/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/CheeseDoubleAndaChickenRoll.jpg,,
Plain Spl Double Anda Chicken Roll,ProductType,37,"Inventory,Food,Restaurant,Rolls,NonVegeterian,",130,,,,,
Cheese Spl Double Anda Chicken Roll,ProductType,38,"Inventory,Food,Restaurant,Rolls,NonVegeterian,",150,,https://drive.google.com/file/d/1PXP92bvsbpndcShQuZeR4LdlO2YaNYsP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/CheeseSplDoubleAndaChickenRoll.jpg,,
Plain Anda Chicken Tikka Roll,ProductType,39,"Inventory,Food,Restaurant,Rolls,NonVegeterian,",110,,https://drive.google.com/file/d/1N-xQwKi3WNjIvz5GVCMNeoEXzfWy5Urc/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/PlainAndaChickenTikkaRoll.jpg,,
Cheese Anda Chicken Tikka Roll,ProductType,40,"Inventory,Food,Restaurant,Rolls,NonVegeterian,",130,,https://drive.google.com/file/d/1DSYQGBppjbiZtlU3dU5OBBmeXuWjq_kx/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/CheeseAndaChickenTikkaRoll.jpg,,
Plain Rollwala Spl Chicken Roll,ProductType,41,"Inventory,Food,Restaurant,Rolls,NonVegeterian,",150,,https://drive.google.com/file/d/1JGtfRXzXxaFuCl-1DBq9yJaXAjnEEaVJ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/CheeseRollwalaSplChickenRoll.jpg,,
Cheese Rollwala Spl Chicken Roll,ProductType,42,"Inventory,Food,Restaurant,Rolls,NonVegeterian,",170,,,,,
Plain Chicken Noodles Roll,ProductType,43,"Inventory,Food,Restaurant,Rolls,NonVegeterian,",90,,https://drive.google.com/file/d/1oum4iOnBegnnv_iBfLjeZxTX8yDSNhJr/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/PlainChickenNoodlesRoll.jpg,,
Cheese Chicken Noodles Roll,ProductType,44,"Inventory,Food,Restaurant,Rolls,NonVegeterian,",110,,https://drive.google.com/file/d/1UrFLkz7niIREwMIHVp3W406IuGlXlunt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/CheeseChickenNoodlesRoll.jpg,,
Plain Spl Chicken Noodles Roll,ProductType,45,"Inventory,Food,Restaurant,Rolls,NonVegeterian,",110,,,,,
Cheese Spl Chicken Noodles Roll,ProductType,46,"Inventory,Food,Restaurant,Rolls,NonVegeterian,",130,,https://drive.google.com/file/d/1vB8hgvcLE6bp1j7hAIHv78z-PY2Hx3Xd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/CheeseSplChickenNoodlesRoll.jpg,,
Plain Anda Noodle Roll,ProductType,47,"Inventory,Food,Restaurant,Rolls,NonVegeterian,",55,,,,,
Cheese Anda Noodle Roll,ProductType,48,"Inventory,Food,Restaurant,Rolls,NonVegeterian,",75,,,,,
Plain Anda Manchurian Roll,ProductType,49,"Inventory,Food,Restaurant,Rolls,NonVegeterian,",65,,,,,
Cheese Anda Manchurian Roll,ProductType,50,"Inventory,Food,Restaurant,Rolls,NonVegeterian,",85,,https://drive.google.com/file/d/1YBBIB_eYatbsw85nMYCNvUzKBZSiyGjF/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/CheeseAndaManchurianRoll.jpg,,
Pizza,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food1/pizza.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Pizza,",,,,,,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Pizza,",,,,,,
Chicken Pizza,ProductType,3,"Inventory,Food,Restaurant,Pizza,NonVegeterian,",360,,https://drive.google.com/file/d/1lDzrLWU0EtFnZtbqLEAyJkXEpnAQFvaP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/ChickenPizza.jpg,349,
Chicken Pizza Large,ProductUnit,4,"Inventory,Food,Restaurant,Pizza,NonVegeterian,Chicken Pizza,",360,,https://drive.google.com/file/d/1NRT1acxO_m_9LZA1-VQoSLI7FdbNgx3P/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/ChickenPizzaLarge.jpg,349,
Chicken Pizza Small,ProductUnit,5,"Inventory,Food,Restaurant,Pizza,NonVegeterian,Chicken Pizza,",220,,https://drive.google.com/file/d/1tURDRnN89dlXZesMSpz7CLm-5YI_g3iu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/ChickenPizzaSmall.jpg,249,
Golden Chicken pizza,ProductType,6,"Inventory,Food,Restaurant,Pizza,NonVegeterian,",380,,https://drive.google.com/file/d/1EeZ57deWU4KhgV4hrLAkyyXPIkxbL3g0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/GoldenChickenpizza.jpg,,
Golden Chicken pizza Large,ProductUnit,7,"Inventory,Food,Restaurant,Pizza,NonVegeterian,Golden Chicken pizza,",380,,https://drive.google.com/file/d/1_K3dzGSHf8L52E9Zmax_J7x3SLI35AEU/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/GoldenChickenpizzaLarge.jpg,,
Golden Chicken pizza Small,ProductUnit,8,"Inventory,Food,Restaurant,Pizza,NonVegeterian,Golden Chicken pizza,",240,,https://drive.google.com/file/d/1yVfGTZuKQRxNZ3hgls0OD5LsSI93aWax/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/GoldenChickenpizzaSmall.jpg,,
Buckets,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1mFdFNtr3JfvlnI-1oK_uUGhaWnRzdv05/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food03022022/Buckets.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Buckets,",,,,,,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Buckets,",,,,,,
Boneless Bucket,ProductType,3,"Inventory,Food,Restaurant,Buckets,NonVegeterian,",400,,,,,
Boneless Bucket 3Pcs,ProductUnit,4,"Inventory,Food,Restaurant,Buckets,NonVegeterian,Boneless Bucket,",150,,,,,
Boneless Bucket 6Pcs,ProductUnit,5,"Inventory,Food,Restaurant,Buckets,NonVegeterian,Boneless Bucket,",260,,,,,
Boneless Bucket 10Pcs,ProductUnit,6,"Inventory,Food,Restaurant,Buckets,NonVegeterian,Boneless Bucket,",400,,,,,
Hot Wings Bucket,ProductType,7,"Inventory,Food,Restaurant,Buckets,NonVegeterian,",450,,https://drive.google.com/file/d/1CG6zX4L_uVe4fCGeeLayP-CpGoctbddJ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/HotWingsBucket.jpg,,
Hot Wings Bucket 3Pcs,ProductUnit,8,"Inventory,Food,Restaurant,Buckets,NonVegeterian,Hot Wings Bucket,",165,,https://drive.google.com/file/d/1-ZuFEHh0x9GmBFLiKvchqYt0ARf4Z_fI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/HotWingsBucket3Pcs.jpg,,
Hot Wings Bucket 6Pcs,ProductUnit,9,"Inventory,Food,Restaurant,Buckets,NonVegeterian,Hot Wings Bucket,",290,,https://drive.google.com/file/d/1VZ0MdBNmQU6xqN1XpbJku_GWlYOnCAJy/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/HotWingsBucket6Pcs.jpg,,
Hot Wings Bucket 10Pcs,ProductUnit,10,"Inventory,Food,Restaurant,Buckets,NonVegeterian,Hot Wings Bucket,",450,,https://drive.google.com/file/d/1xIKwxKa3kZ8cmLVJthl1Dn3O3hiAQO8j/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/HotWingsBucket10Pcs.jpg,,
Fries,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/15PKFi42PpHzYRDPF5fKE5IeaSx6QUMYl/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Fries.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Fries,",,,,,,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Fries,",,,,,,
Chicken Finger,ProductType,3,"Inventory,Food,Restaurant,Fries,NonVegeterian,",280,,https://drive.google.com/file/d/1yPdSOlxpwrTSnGhjqwttk8MAOVeGLeSy/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220127/ChickenFinger.jpg,,
Chicken Finger 10Pcs,ProductUnit,4,"Inventory,Food,Restaurant,Fries,NonVegeterian,Chicken Finger,",160,,https://drive.google.com/file/d/1BefK13TDPycrMptb1YklPX3wmI8ptBBB/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/ChickenFinger10Pcs.jpg,,
Chicken Finger 20Pcs,ProductUnit,5,"Inventory,Food,Restaurant,Fries,NonVegeterian,Chicken Finger,",280,,https://drive.google.com/file/d/1P4dhLl8A8Dyb7nsx-3w7k7raHlJXqn9N/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/ChickenFinger20Pcs.jpg,,
Wraps,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1MEXqjSi80skahWCBgKJT4SEYY-KxcvvT/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220216/Wraps.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Wraps,",,,,,,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Wraps,",,,,,,
Non Veg Wrap,ProductType,3,"Inventory,Food,Restaurant,Wraps,NonVegeterian,",150,,https://drive.google.com/file/d/1umTDCA2mGl6UwkOOWu31Is3erAyrxbMA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/NonVegWrap.jpg,,
Spl Veg,ProductType,3,"Inventory,Food,Restaurant,Burgers,Vegeterian,",100,,https://drive.google.com/file/d/1WzThAaT4lHrYengM8YS_GwNwzPxoYYKt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/SplVeg.jpeg,,130
Spl Veg Grilled,ProductType,4,"Inventory,Food,Restaurant,Burgers,Vegeterian,",130,,,,,170
Spl Paneer Burger ,ProductType,5,"Inventory,Food,Restaurant,Burgers,Vegeterian,",140,,https://drive.google.com/file/d/1v-ehPijOimJcAFjan9ViUzDuZ36Sw0-a/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/SplPaneerBurger.jpg,,170
Spl Paneer Grilled,ProductType,6,"Inventory,Food,Restaurant,Burgers,Vegeterian,",170,,https://drive.google.com/file/d/1IVizg5n8pABgdHzibMRCvOOAi-RLUD7z/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/SplPaneerGrilled.jpg,,200
Spl Veg Grilled Sandwich,ProductType,3,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",100,,https://drive.google.com/file/d/1uxsU712rTgWaEsOvzWyTYisbYUzrV8lD/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/SplVegGrilledSandwich.jpg,,130
Spl Paneer Grilled Sandwich,ProductType,4,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",140,,https://drive.google.com/file/d/14yuktUwz-ce2XYk-WEfM_X8odv3MVuNe/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/SplPaneerGrilledSandwich.jpeg,,170
