label,nodeType,order,path,price,description,ingredients,link,imageLink
Veg Soup,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://drive.google.com/file/d/1yLlYEIedcl0jUYKgFBGLxxLSHqElVT62/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Soup.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Veg Soup,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Veg Soup,",,,,,
Veg Manchow Soup,ProductType,4,"Inventory,Food,Restaurant,Veg Soup,Vegeterian,",100,,"  Oil,  Garlic,  Ginger,,  Green Chilies,½ Cups Mixed Vegetable, Cups Vegetable Stock/water,  green Chili Sauce,  Soy sauce,  Vinegar,Salt to taste,½  black Pepper Powder,  Corn Flour, (Mix with   water),Fried noodles.",https://drive.google.com/file/d/1ZHfj80mG4nonkD938YcNcqpsbo76_3Bh/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/vegManchowSoup.jpg
Veg Hot & Sour Soup,ProductType,5,"Inventory,Food,Restaurant,Veg Soup,Vegeterian,",110,," teaspoons Oil,/ cup finely chopped Onion, teaspoon finely chopped Ginger, teaspoon finely chopped Garlic,/ cup finely chopped Cabbage,- tablespoons finely chopped Green French Beans,- tablespoons finely chopped Carrot,- tablespoons finely chopped Carrot,- tablespoons finely chopped Capsicum , cups + / cup Vegetable Stock or Water, teaspoons Cornflour , tablespoon Soy Sauce,/ tablespoon Chilli Sauce,/ teaspoon Black Pepper Powder,Salt to taste.",https://drive.google.com/file/d/1qflrDTDVAq-39jgZpWoH-2bsNNsmbSOQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/VegHotSourSoup.jpg
Veg Hongkong Soup,ProductType,6,"Inventory,Food,Restaurant,Veg Soup,Vegeterian,",110,,,https://drive.google.com/file/d/1dPWPdLaVVQdr0YEL_9rLbHETVElMd7C4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food22240622/VegHongKongSoup.jpg
Veg Clear Soup,ProductType,7,"Inventory,Food,Restaurant,Veg Soup,Vegeterian,",110,,,https://drive.google.com/file/d/1dmYwUOQ7V67thr9VxwcKFsrCkxZqX81H/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Clear-Soup.jpg
Veg Rice,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://drive.google.com/file/d/1B5on8ZsFVss28BiQJJFjEM2_O_oDD_kF/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food2/VegRice.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Veg Rice,",,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Veg Rice,",,,,,
