label,nodeType,order,path,price,description,link,imageLink,Swiggy ,Zomato 
Salads,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Salads,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Salads,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,,
Salad,ProductType,4,"Inventory,Food,Restaurant,Salads,Vegeterian,",20,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
Salad 1 Plate,ProductUnit,5,"Inventory,Food,Restaurant,Salads,Vegeterian,Salad,",20,,https://drive.google.com/file/d/1iOZV_ry3D6Df1o2_8Kvw-kTcK32JjaOx/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220224/Salad1Plate.jpg,,
Rassa,ProductType,6,"Inventory,Food,Restaurant,Salads,Vegeterian,",20,,https://drive.google.com/file/d/1beXGopPNBCMBAbsqVvbgeZ5aVj1E8_IL/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220224/Rassa.jpg,,
Rassa 1 Katori,ProductUnit,7,"Inventory,Food,Restaurant,Salads,Vegeterian,Rassa,",20,,,,,
Kachumar Katori,ProductType,8,"Inventory,Food,Restaurant,Salads,Vegeterian,",20,,,,,
Roti and Naan,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Roti.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Roti and Naan,",,,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Roti and Naan,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,,
Chapati,ProductType,4,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",7,,https://drive.google.com/file/d/1BCZG8M0F-__45K4lUhTp357cF_FXpX8k/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Chapati.jpg,8,8
Tandoori,ProductType,5,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",12,,https://drive.google.com/file/d/17nhbGr829Y_l_Z-p03j8UFugOOXcCVD7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/Tandoori.jpg,,
Laccha Paratha,ProductType,6,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",15,,https://drive.google.com/file/d/1EQFxVvfOVDYeOTq1kgFx5I-_55U1l3DF/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/LacchaParatha.jpg,15,
Rumali,ProductType,7,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",20,,https://drive.google.com/file/d/1FrpFYnUB_76ko4a1Cf1EgYXt_Vg8XMx6/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Rumali.jpg,20,20
Khabooz,ProductType,8,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",12,,https://drive.google.com/file/d/1hXQvALnJFNHusOOb8FFSkg3uW1zRwIvg/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Khabooz.jpg,12,
Veg Gravy,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/14k3LYQZH0x-5SoBQ5ts-98VtyWQDpkgv/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Gravy.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Veg Gravy,",,,,,,
Mix Sabzi,ProductType,3,"Inventory,Food,Restaurant,Veg Gravy,",100,,https://drive.google.com/file/d/1zC9dnu0VvuuZinSeak-btM2v8axF_3-Z/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MixSabzi.jpg,110,
Paneer Masala,ProductType,4,"Inventory,Food,Restaurant,Veg Gravy,Vegeterian,",100,,https://drive.google.com/file/d/1qYwzOkLWokms8zuBp2TCUDb8DJfV9w2S/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerMasala.jpg,110,120
Dal Fry,ProductType,5,"Inventory,Food,Restaurant,Veg Gravy,Vegeterian,",60,,https://drive.google.com/file/d/1K8tvnEHHFvnC05dq2Qx-p-dJ1RZDhOaK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/DalFry.jpg,70,
Kolha Paneer Mix Sabzi,ProductType,6,"Inventory,Food,Restaurant,Veg Gravy,Vegeterian,",140,,https://drive.google.com/file/d/1IU2mppLc6FGBgH5lmfc0VrnDKG2NjBan/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220224/KolhaPaneerMixSabzi.jpg,,
Paneer Kadai,ProductType,7,"Inventory,Food,Restaurant,Veg Gravy,Vegeterian,",150,,https://drive.google.com/file/d/1XGINKnRA5noOl2-dVsUXFUaDbO_Zft62/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerKadai.jpg,,
Veg Shawarma,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/15e7Pwjod31Z7di87XjdiMCdbzShEYffm/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220224/VegShawarma.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Veg Shawarma,",,,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Veg Shawarma,",,,,,,
Paneer Roti Shawarma,ProductType,4,"Inventory,Food,Restaurant,Veg Shawarma,Vegeterian,",70,,https://drive.google.com/file/d/1CImzXY_6R4SflgoBTdR5qnqcpbnq537v/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerRotiShawarma.jpg,80,90
Paneer Roti ( Butter & Cheese),ProductType,5,"Inventory,Food,Restaurant,Veg Shawarma,Vegeterian,",80,,https://drive.google.com/file/d/14OWIAXuS-fnQcLtIaAPTELOT4V2B2FzW/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220224/PaneerRotiButterChiz1.jpg,,
Paneer Khaboos Shawarma,ProductType,6,"Inventory,Food,Restaurant,Veg Shawarma,Vegeterian,",70,,https://drive.google.com/file/d/1M8jlpFipXDv-nly8lmIEO3zsj9tU3V4R/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerKhaboosShawarma.jpg,80,
Paneer Khaboos (Butter & Chiz),ProductType,7,"Inventory,Food,Restaurant,Veg Shawarma,Vegeterian,",80,,https://drive.google.com/file/d/1rdF84SJWTKtRBUp8gC0Kyqk0Aj3yGu41/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220224/PaneerKhaboosButterChiz.jpg,,
Paneer Paratha Shawarma,ProductType,8,"Inventory,Food,Restaurant,Veg Shawarma,Vegeterian,",80,,https://drive.google.com/file/d/1R0crjwh0f1kJDUDrXnEctPzOsbBCI5Uw/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerParathaShawarma.jpg,,
Paneer Paratha (Butter & Chiz),ProductType,9,"Inventory,Food,Restaurant,Veg Shawarma,Vegeterian,",80,,https://drive.google.com/file/d/1YhNp8Mo6MZAzeK02k1gejRU_ZMo-XU_c/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerParathaButterCheeseShawarma.jpg,,
Starters,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Starters.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Starters,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Starters,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,,
Chicken Leg Pcs,ProductType,4,"Inventory,Food,Restaurant,Starters,NonVegeterian,",110,,https://drive.google.com/file/d/1ayr9M7Rdig5LoD8MwrwMosZ6faUeDX3g/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenLegPcs.jpg,120,
