label,nodeType,order,path,price,ingredients,link,imageLink,description
Breakfast,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Breakfast.jpg,
Vegeterain,ProductLine,2,"Inventory,Food,Restaurant,Breakfast,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterain,ProductLine,3,"Inventory,Food,Restaurant,Breakfast,",,,,,
Sheera,ProductType,4,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",30," ghee, cashew  kaju , raisins, rava  semolina  suji, water, sugar.", ,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Sheera.jpg,
Upma,ProductType,5,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",30,"  soojisemolinarava,  jeera,  oil,  mustard seeds,  split urad dal,  split chana dal, cashewnuts,  ginger, green chilies , stalks curry leaves,.  water,salt to taste,",https://drive.google.com/file/d/13GQTe4OiqscBJk7ZffGulypnLQLHUbGI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Upma.jpg,
Idli Sambhar,ProductType,6,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",35,"idli rice  ,Urd dal   ,Poha  ,salt &  SambharArhar ki dal   ,Turmeric powder  ,Mustard seeds  ,Onion & Tomato   ,Sambhar masala ,Salt to taste,etc",https://drive.google.com/file/d/1x_0cTWlWQvJ87Lc-ut0NOo1ZzQT3Fk-d/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/IdliSambhar.jpg,
Masala Dosa,ProductType,7,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",40,"  parboiled rice,  refined oil,  urad dal,  fenugreek seeds,  salt &  Filling   boiled potato,   sliced onion,  chopped green chilli,  mustard seeds, leaves curry leaves,  turmeric, watersaltasrequired etc.",https://drive.google.com/file/d/1_-oVk3t6Cho2sazbziKyWFSIPhSBbfKQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MasalaDosa.jpg,
Onion Dosa,ProductType,8,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",40," unroasted rava sooji or semolina, Rice Flour,  all purpose flour or whole wheat flour, green chili finely chopped,  onion,inch ginger ,water or buttermilk , to  black peppercorns ,  chopped coriander leaves,salt , mustard seeds,  cumin seeds, to  curry leaves chopped,  oil.",https://drive.google.com/file/d/17O5gjx5BoC4YznCPjrEmGXPr4xAjiT9v/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/OnionDosa.jpg,
Onion Butter Dosa,ProductType,9,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",40," unroasted rava sooji or semolina, Rice Flour,  all purpose flour or whole wheat flour, green chili finely chopped,  onion,inch ginger ,water or buttermilk , to  black peppercorns ,  chopped coriander leaves,salt , mustard seeds,  cumin seeds, to  curry leaves chopped,  oil,Butter.",https://drive.google.com/file/d/1O-Y2IQQYqiR4AGX2rJmYeyDQVrS-Ab7G/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/OnionButterDosa.jpg,
Butter Cut Dosa,ProductType,10,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",50,"Paneer cubes    , Onion  ,   Tomato  ,Red chili powder   ,Garam masala   , Salt  as needed, Curry leaves  few,  Mustard seeds    , Oil      making dosa .",https://drive.google.com/file/d/1WmU3kguG2zQEkvKQuGDnkNIu8l40X1WV/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ButterCutDosa.jpg.crdownload.jpg,
Paneer Dosa,ProductType,11,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",60,"  Paneer crumbled  , Onion , Tomato,  Garlic,  Turmeric,  Red chilli powder, Garam masala powder, Green chilli,  Coriander leaves,Salt As needed.",https://drive.google.com/file/d/1OCz0j13QiBzrGoWeA25GNhpPgvJZ94Kv/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerDosa.jpg,
Vada Sambhar,ProductType,12,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",40,,https://drive.google.com/file/d/1d1kqi3td-U1gYyPlufdbEAtxYNBWYped/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VadaSambhar.jpg,
Idli Sambhar,ProductType,13,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",40," IdliIdli rice  ,Urd dal   ,Poha  ,salt &  SambharArhar ki dal   ,Turmeric powder  ,Mustard seeds  ,Onion & Tomato   ,Sambhar masala ,Salt to taste,etc",https://drive.google.com/file/d/1x_0cTWlWQvJ87Lc-ut0NOo1ZzQT3Fk-d/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/IdliSambhar.jpg,
Onion Uttappa,ProductType,14,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",50," onion, small onion,  chopped carrot,  chopped coriander, Green chilli chopped,  Oil per uttapam etc.",https://drive.google.com/file/d/1tM2Dw1K8XjlK4_duAdRFt6Un8RcZumFP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/OnionUttappa.jpg,
Tomato Uttappa,ProductType,15,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",50,"  of idli batter, of tomato,A few of curry leaves,  of gingelly.",https://drive.google.com/file/d/1EltYnXBfPeLOSl4A0fGDzTApnsyUD7Vf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/TomatoUttappa.jpg,
Butter Masala Uttappa,ProductType,16,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",60,"  Raw rice or Idli rice or Dosa rice,  Urad dal, Rice flour, to   Oil,  Mustard seeds,  Urad dal, sprig Curry leaves,  Turmeric powder, to  Garlic cloves, finely chopped, Green chilies, chopped, Onions, Potatoes,  Cilantro or Coriander leaves,, Salt, adjust to taste.",https://drive.google.com/file/d/1rt7LsC_6o1-mJNOGcJIKOkYEb8dN5U9i/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ButterMasalauttappa.jpg,
Paneer Masala Uttappa,ProductType,17,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",60," Dosa Batter, Paneer ,  onion ,  Tomato,  Carrot , Green chilies,  Coriander leaves, garam masala, sprig curry leaves,salt adjust to taste.",https://drive.google.com/file/d/1oFl8VxJkf2Oc-g75LdiNRC2fWHiAV8cn/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerMasalaUttappa.jpg,
Khichdi,ProductType,18,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",25," rice, moong dal,  ghee,  turmeric, salt,  water, ghee,  cumin, bay leaf,pinch hing, onion,  ginger garlic paste, tomato,  turmeric,  chilli powder, garam masala, salt,  water, coriander.",https://drive.google.com/file/d/1lQLpv6nNHCb5rI04q3XkcKdxSWe3QDni/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Khichdi.jpg,
