label,nodeType,order,path,price,description,link,imageLink,Swiggy ,Zomato 
Mojito,ProductClass,1,"Inventory,Food,Cafe,",,,https://drive.google.com/file/d/1kwX3fxnOWhWNA2drd1fni9oX4SGncLmI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/Mojito.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Cafe,Mojito,",,,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Cafe,Mojito,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,,
Classic Mojito,ProductType,4,"Inventory,Food,Cafe,Mojito,Vegeterian,",,,https://drive.google.com/file/d/1xNd-CsP94rYxWr_FsuYLfKgnDTI9Luyg/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ClassicMojito.jpg,,120
Peach Mojito,ProductType,5,"Inventory,Food,Cafe,Mojito,Vegeterian,",,,https://drive.google.com/file/d/180d7lIrFZV-vTueduOmUxFTghMxmRexp/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Peach-Mojito.jpg,,
Green Apple Mojito,ProductType,6,"Inventory,Food,Cafe,Mojito,Vegeterian,",,,https://drive.google.com/file/d/1OG2JPIcEdV1foQ4Lz6ILOD2XHZTLdwot/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/GreenAppleMojito.jpg,,140
Strawberry Mojito,ProductType,7,"Inventory,Food,Cafe,Mojito,Vegeterian,",,,https://drive.google.com/file/d/1_fOW0j0rnoJuKHYATkQwyiGXVIDAncu1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Strawberry-Mojito.jpg,,140
Shakes,ProductClass,1,"Inventory,Food,Cafe,",,,done,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Shakes.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Cafe,Shakes,",,,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Cafe,Shakes,",,,,,,
Mango Thick Milkshake,ProductType,4,"Inventory,Food,Cafe,Shakes,Vegeterian,",,,https://drive.google.com/file/d/122JfEdKZnCCKreVxj6VSfI3sLojqC8Wv/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/MangoThickMilkshake.jpg,,
Strawberry Thick Milkshake,ProductType,5,"Inventory,Food,Cafe,Shakes,Vegeterian,",,,https://drive.google.com/file/d/1-XYiEZrNkl2ghUV8nUAwLx0yI9Nx5GvP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/StrawberryThickMilkshake.jpg,,
Pineapple Thick Milkshake,ProductType,6,"Inventory,Food,Cafe,Shakes,Vegeterian,",,,https://drive.google.com/file/d/1biP6HkLcutkpwZgeEJZJmeCqhWhmELK7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/PineappleThickMilkshake.jpg,,
Berry Fusion Thick Milkshake,ProductType,7,"Inventory,Food,Cafe,Shakes,Vegeterian,",,,https://drive.google.com/file/d/1K2PlkTr9ttLxFlKBCgV0-lWQo_kYZOSE/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/BerryFusionThickMilkshake.jpg,,
Chocolate Thick Milkshake,ProductType,8,"Inventory,Food,Cafe,Shakes,Vegeterian,",,,https://drive.google.com/file/d/1zXLxYLzoWupMuzFiR5gUaYEsNCpuSfhi/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/ChocolateThickMilkshake.jpg,,
Butterscotch Thick Milkshake,ProductType,9,"Inventory,Food,Cafe,Shakes,Vegeterian,",,,https://drive.google.com/file/d/11eYA8_FGiPkViQ5DysLD04tLK2gVrLSv/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/ButterscotchThickMilkshake.jpg,,
