label,nodeType,order,path,price,link,imageLink,description
NonVegeterian Entree,ProductCLass,1,"Inventory,Food,Restaurant,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,NonVegeterian Entree,",,,,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,NonVegeterian Entree,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,
Mutton Handi,ProductType,3,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,",950,https://drive.google.com/file/d/1cDgJjzfBznwA7SQ2sVr2-m7bkYjS25MQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MuttonHandi.jpg,
Mutton Handi Full,ProductUnit,4,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,Mutton Handi,",950,https://drive.google.com/file/d/1FycDNv3fIZ4FgUmyTHr5bWKHB-S7JPU9/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MuttonHandiFull.jpg,
Mutton handi Half,ProductUnit,5,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,Mutton Handi,",600,https://drive.google.com/file/d/1rSZt2OdDaPDJaxpteehvbb3EICXF11Ge/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MuttonHandiHalf.jpg,
Mutton Biryani,ProductType,6,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,",220,https://drive.google.com/file/d/1LoNGcmv8OAlfx8Ryh7Fqaz3YxRdO0wAS/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MuttonBiryani.jpg,
Mutton Biryani Full,ProductUnit,7,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,Mutton Biryani,",220,https://drive.google.com/file/d/1-bh81Y2054g97biMVQn2tCSurP9GStfP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MuttonBiryaniFull.jpg,
Mutton Biryani Half,ProductUnit,8,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,Mutton Biryani,",150,https://drive.google.com/file/d/1mbZPZH3SZ27ftx-X_RWKdusmYKOGiA4f/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MuttonBiryaniHalf.jpg,
Mutton Curry,ProductType,9,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,",200,https://drive.google.com/file/d/1CP3wcgWMWMVL_sPTGa280Id7ztTSw8-C/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/NonVegeterian/MuttonCurry.jpg,
Mutton Curry Full,ProductUnit,10,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,Mutton Curry,",200,https://drive.google.com/file/d/1fwxo5tCpJssNcgtuJhkSUaMcrP9AUQlf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MuttonCurryFull.jpg,
Mutton Curry Half,ProductUnit,11,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,Mutton Curry,",140,https://drive.google.com/file/d/1Z9K79X5dSQF2qB_RPFd82k5AFAYyIuuc/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MuttonCurryHalf.jpg,
Mutton Naygara Special,ProductType,12,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,",240, ,,
Mutton Khima,ProductType,13,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,",230,https://drive.google.com/file/d/1cbjZlMaZR3UGiZC6QrbUEGCZq-Mm0gcS/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/MuttonKhima.jpg,
Mutton Dry,ProductType,14,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,",220,https://drive.google.com/file/d/1nxaf3-CvkU0j_5N1p1_bw5k-RPeNB3jd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MuttonDry.jpg,
