label,nodeType,order,path,price,description,link,imageLink,Swiggy
Desserts,ProductClass,1,"Inventory,Food,Cafe,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Desserts.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Cafe,Desserts,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,3,"Inventory,Food,Cafe,Desserts,",,,,,
Chocolate portion sundae,ProductType,4,"Inventory,Food,Cafe,Desserts,Vegeterian,",60,,https://drive.google.com/file/d/1AgxpJQQ1kFq8IDCCmDiSA2sZJBxulHkF/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Cafe/ChocolatePortionSundae.jpg,
vanilla and Chocolate portion sundae,ProductType,5,"Inventory,Food,Cafe,Desserts,Vegeterian,",60,,https://drive.google.com/file/d/14D0fSMu3n0WUSYeOHQ25HPBzcEm-gqau/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/vanillChocolateportionsundae.jpg,
Dark Cad B sundae,ProductType,6,"Inventory,Food,Cafe,Desserts,Vegeterian,",85,,https://drive.google.com/file/d/14XWR7XcCS5IddwjawmxfgXeHUrW5sYdp/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Cafe/DarkCadBSundae.jpg,
Cad B sundae,ProductType,7,"Inventory,Food,Cafe,Desserts,Vegeterian,",75,,https://drive.google.com/file/d/1UoZaAOGAdRUDn9TTr2GyLomuagaa1L89/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/CadBSundae.jpg,
fruity blizz sundae,ProductType,8,"Inventory,Food,Cafe,Desserts,Vegeterian,",120,, ,,
Vanilla portion sundae,ProductType,9,"Inventory,Food,Cafe,Desserts,Vegeterian,",60,,https://drive.google.com/file/d/1tYt3dxXi-7stwDy24xJC6VjTUFmkatOQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/VanillaPortionSundae.jpg,
Sandwich,ProductClass,1,"Inventory,Food,Cafe,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Sandwich.jpg,
