label,nodeType,order,path,price,ingredients,link,imageLink,description
Breakfast,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Breakfast.jpg,
Vegeterain,ProductLine,2,"Inventory,Food,Restaurant,Breakfast,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterain,ProductLine,3,"Inventory,Food,Restaurant,Breakfast,",,,,,
Idli Sambar,ProductType,4,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",30,"idli rice  ,Urd dal   ,Poha  ,salt & For SambharArhar ki dal   ,Turmeric powder  ,Mustard seeds  ,Onion & Tomato   ,Sambhar masala,Salt to taste,etc",https://drive.google.com/file/d/15LEAAHkEgCFvQych8dWeexRXmEYoiGzZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/IdliSambar.jpg,
Idli Wada Mix,ProductType,5,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",35,,https://drive.google.com/file/d/1t4s3U6IcDqk9fmrmYxrvDQpOerLKPIAd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/IdliWadaMix.jpg,
Vada Sambar,ProductType,6,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",40,"  Whole urad dal,  Water,  Salt, Green chili,  Cilantro or coriander leaves, Curry leaves,  Rice flour,Oil for deep frying.",https://drive.google.com/file/d/1qWlTcmEbLkSqU7LCBblzPUto7LP3i08I/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VadaSambar.jpg,
Single Idli,ProductType,7,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",15,,https://drive.google.com/file/d/13hKab4t-l6igqDSn0Sa9tEDUCo849B63/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/SingleIdli.jpg,
Single Wada,ProductType,8,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",20,,,,
Upma,ProductType,9,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",25,"  rava sooji, medium sized onion , and   water,  milk optional, pieces cashews,salt to taste,",https://drive.google.com/file/d/13GQTe4OiqscBJk7ZffGulypnLQLHUbGI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Upma.jpg,
Shira,ProductType,10,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",25,"  ghee, cashew  kaju ,  raisins, rava  semolina  suji, water, sugar.",https://drive.google.com/file/d/1-CKidmsaA96NbSwCxk6s9ELoac13LUry/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Shira.jpg,
Aaloo Vada,ProductType,11,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",35,,https://drive.google.com/file/d/1652slb71Gpo7sNJYqCQuQ3LSPr9gbkDu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Aaloovada.jpg,
Single Aaloo Wada,ProductType,12,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",20,,https://drive.google.com/file/d/1N-iOrCelvyYEgI8xdP37RI1b0RJ_wiE9/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/SingleAalooWada.jpg,
Bhaji Misal,ProductType,13,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",35,, ,,
Dosa,ProductType,14,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",45,"  soaked basmati rice,  grated coconut,  salt,  Water, sunflower oil,  urad dal,",https://drive.google.com/file/d/1S27_SamV5I_MnNM6yoDxAQT_kPAyDE-1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Dosa.jpg,
Butter Dosa,ProductType,15,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",55,"  soaked basmati rice,  grated coconut,  salt,  Water, sunflower oil,  urad dal,Butter.",https://drive.google.com/file/d/1FS7UDjRVGEOjLCoaFIdxiydPupGI1KLQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ButterDosa.jpg,
Cut Dosa,ProductType,16,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",55," unroasted rava sooji or semolina, Rice Flour, all purpose flour or whole wheat flour, green chilli finely chopped,  onion,inch ginger ,water or buttermilk as required,9 to  black peppercorns , chopped coriander leaves,salt as required, mustard seeds,  cumin seeds, to  curry leaves chopped,  oil.",https://drive.google.com/file/d/1l8pElnwn_LfSa3XWFCL_UOqoF0kED8Eb/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/CutDosa.jpg,
Uttappa,ProductType,17,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",45,"  idli batter, no big onion, long green chilies,oil  ghee.",https://drive.google.com/file/d/1H3XHRTGbrp7HeMDFD8nZJh2zTcLCp_1W/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Uttappa.jpg,
Butter Uttappa,ProductType,18,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",55,"  idli batter, no big onion, long green chilies,oil  ghee,Butter.",https://drive.google.com/file/d/1opU95MvdI32j1T_hwuraKypTgFGY64_p/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ButterUttappa.png,
Sabudana Khichadi,ProductType,19,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",35,,https://drive.google.com/file/d/1OcOsOe-o1aMR2dRiYsVw6VrgIxpsNzMp/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/SabudanaKhichadi.jpg,
Beverages,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Beverages.jpg,
Vegeterain,ProductLine,2,"Inventory,Food,Restaurant,Beverages,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterain,ProductLine,3,"Inventory,Food,Restaurant,Beverages,",,,,,
Tea,ProductType,4,"Inventory,Food,Restaurant,Beverages,Vegeterain,",10,"    Milk,  Tea Powder,  .   Water,  Sugar.",https://drive.google.com/file/d/1fd2gFK13kA_Nc4iEqwyT__x9hmcV5BvG/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Tea.jpg,
Nes Coffee,ProductType,5,"Inventory,Food,Restaurant,Beverages,Vegeterain,",15,"Coffee powder,Water,Milk,Sugar.",https://drive.google.com/file/d/1zMFTfEIU51VGWIMBcuxsdKJhU3QXz73Y/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/NesCoffee.jpg,
Milk,ProductType,6,"Inventory,Food,Restaurant,Beverages,Vegeterain,",10,,https://drive.google.com/file/d/1bdbLodzIejCKnr6YkL5sHHz2OJRdcEGI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/Milk.jpg,
