label,nodeType,order,path,price,description,link,imageLink
Ice Cream,ProductClass,1,"Inventory,Food,",,,https://drive.google.com/file/d/1qkYDEbRphUMbXzGECK6SMPvufS5OKmNi/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/IceCream.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Ice Cream,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/OrengeJuice.jpg
NonVegeterian,ProductLine,2,"Inventory,Food,Ice Cream,",,,,
Fruit Mix Juice,ProductType,3,"Inventory,Food,Ice Cream,Vegeterian,",40,,https://drive.google.com/file/d/15Sks7UWzCyq45qW-8MqJuxyuGr1ovpsF/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream2/Juice/FruitMixJuice.jpg
Pineapple Juice Large,ProductType,4,"Inventory,Food,Ice Cream,Vegeterian,",70,,https://drive.google.com/file/d/1BxjS2GN7xhcr9P2JMQDpLJcipqUCpiTe/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream2/Juice/PineappleJuiceLarge.jpg
Orange Mosanbi Juice,ProductType,5,"Inventory,Food,Ice Cream,Vegeterian,",60,,https://drive.google.com/file/d/1vNTx2kD95gGvlGZd3EnF7Qrg418fmzB9/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream2/Juice/OrangeMosanbiJuice.jpg
Leechi Milk Shake,ProductType,6,"Inventory,Food,Ice Cream,Vegeterian,",70,,https://drive.google.com/file/d/1EpwtybNXmAFcu3WJkVXBr2kLfZeCEG4W/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream2/Juice/LeechiMilkShake.png
Chiku Milk Shake Special,ProductType,7,"Inventory,Food,Ice Cream,Vegeterian,",70,,https://drive.google.com/file/d/1KhKI7RsxAYHDSN4G_gi27Pd-H9172LXe/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream2/Juice/ChikuMilkShakeSpecial.png
Bit Natural Juice,ProductType,8,"Inventory,Food,Ice Cream,Vegeterian,",50,,https://drive.google.com/file/d/14iticbS7zVV0mgTTCevQ_JUfDDwyExJl/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream2/Juice/BitNaturalJuice.jpg
Peru Juice Shake,ProductType,9,"Inventory,Food,Ice Cream,Vegeterian,",50,,https://drive.google.com/file/d/1KVib6Y74mJ1PKBxyrdA24z0yU9tKo878/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream2/Juice/PeruVegeterianhake.jpg
