label,nodeType,order,path,price,ingredients,link,imageLink,description
Rice,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Rice.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Rice,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Rice,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,
Biryani,ProductType,4,"Inventory,Food,Restaurant,Rice,NonVegeterian,",40,,https://drive.google.com/file/d/1Gw6jShbj_vduAjhX4AxXJ-O6EynifEOp/view?usp=sharing,,
Biryani Full,ProductUnit,5,"Inventory,Food,Restaurant,Rice,NonVegeterian,Biryani,",40,,https://drive.google.com/file/d/1Gw6jShbj_vduAjhX4AxXJ-O6EynifEOp/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Biryani.jpg,
Biryani Half,ProductUnit,6,"Inventory,Food,Restaurant,Rice,NonVegeterian,Biryani,",30,,https://drive.google.com/file/d/1Gw6jShbj_vduAjhX4AxXJ-O6EynifEOp/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Biryani.jpg,
Tahari,ProductType,7,"Inventory,Food,Restaurant,Rice,NonVegeterian,",40,,https://drive.google.com/file/d/1qT7r9AHGrPLUnY86CLg-U4ct7nAarD9k/view?usp=sharing,,
Tahari Full,ProductUnit,8,"Inventory,Food,Restaurant,Rice,NonVegeterian,Tahari,",40,,https://drive.google.com/file/d/1qT7r9AHGrPLUnY86CLg-U4ct7nAarD9k/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/Vegtehri.jpg,
Tahari Half,ProductUnit,9,"Inventory,Food,Restaurant,Rice,NonVegeterian,Tahari,",30,,https://drive.google.com/file/d/1qT7r9AHGrPLUnY86CLg-U4ct7nAarD9k/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/Vegtehri.jpg,
Chicken Biryani,ProductType,10,"Inventory,Food,Restaurant,Rice,NonVegeterian,",60,"  chopped chicken,  boiled basmati rice,  garam masala powder,  ghee,  water,  beaten yoghurt ,  ginger paste,  garlic paste,salt as required, tablespoon coriander leaves,7  red chilli powder,Etc",https://drive.google.com/file/d/1t_vJcJvBj1doCQPhohH0pwo72xfAG-wI/view?usp=sharing,,
Chicken Biryani Full,ProductUnit,11,"Inventory,Food,Restaurant,Rice,NonVegeterian,Chicken Biryani,",60,"  chopped chicken,  boiled basmati rice,  garam masala powder,  ghee,  water,  beaten yoghurt ,  ginger paste,  garlic paste,salt as required, tablespoon coriander leaves,7  red chilli powder,Etc",https://drive.google.com/file/d/1cB4acCApo4z12zUML2oy6S9GRCDvT72p/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenBiryaniFull.jpg,
Chicken Biryani Half,ProductUnit,12,"Inventory,Food,Restaurant,Rice,NonVegeterian,Chicken Biryani,",50,"  chopped chicken,  boiled basmati rice,  garam masala powder,  ghee,  water,  beaten yoghurt ,  ginger paste,  garlic paste,salt as required, tablespoon coriander leaves,7  red chilli powder,Etc",https://drive.google.com/file/d/1aloKeSRYqs7qHXeY2iQsIPyXg_uX_UtY/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenBiryaniHalf.jpg,
Snacks,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/Smiley.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Snacks,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Snacks,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,
Chicken Shawarma,ProductType,4,"Inventory,Food,Restaurant,Snacks,NonVegeterian,",60,"
Juice of  lemon, cloves garlic, minced, . kosher salt, . ground cumin, . ground coriander, . freshly ground black pepper, . ground turmeric, . ground cinnamon, . cayenne pepper, lb. boneless skinless chicken, large onion, thinly sliced,Roti.",https://drive.google.com/file/d/1zAg5uhTgvHObBrNZkRF4QwOivb_3P1il/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/ChickenShawarma.jpg,
Chicken Lollipop,ProductType,5,"Inventory,Food,Restaurant,Snacks,NonVegeterian,",40," chicken  ,  salt,  chili powder,  chopped garli,  finely chopped green chile peppers, tablespoons cornstarch,etc",https://drive.google.com/file/d/1RkkCr_yex_M9CTZzbKIEWbdCEr0AKLJ6/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenLollipop.jpg,
Chicken 65,ProductType,6,"Inventory,Food,Restaurant,Snacks,NonVegeterian,",120," chicken  ,  salt,  chili powder,  chopped garli,  finely chopped green chile peppers, tablespoons cornstarch,etc",https://drive.google.com/file/d/1KiB00yMYljrQJTd8pi_-yERqqS-9omgS/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Chicken65.jpg,
Chicken Leg Piece,ProductType,7,"Inventory,Food,Restaurant,Snacks,NonVegeterian,",60,"chicken Leg , chili powder,chopped garlic, chopped green chile peppers,salt,etc",https://drive.google.com/file/d/1ODdpZhyNV57PXbgk6pBg5Q8D-M37-6jZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenLegPiece.jpg,
Entree,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/Entree.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Entree,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine ,3,"Inventory,Food,Restaurant,Entree,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,
