label,nodeType,order,path,price,description,link,imageLink,Zomato
Pizza,ProductClass,1,"Inventory,Food,Cafe,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food1/pizza.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Cafe,Pizza,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,3,"Inventory,Food,Cafe,Pizza,",,,,,
Simply Cheese Pizza,ProductType,4,"Inventory,Food,Cafe,Pizza,Vegeterian,",99,Simple Cheese Topping ,https://drive.google.com/file/d/1tRw6Tcr9VpYdjT89GiJ-5o6_3FkBSOEu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/SimplyCheesePizza.jpg,
Simply Cheese Pizza,ProductType,5,"Inventory,Food,Cafe,Pizza,Vegeterian,",119,Simple Cheese Topping ,https://drive.google.com/file/d/1tRw6Tcr9VpYdjT89GiJ-5o6_3FkBSOEu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/SimplyCheesePizza.jpg,130
Simply Corn Pizza,ProductType,6,"Inventory,Food,Cafe,Pizza,Vegeterian,",109,"Simple Cheese,Corn Topping ",https://drive.google.com/file/d/1qHfb2HN_FUB-A8QxL4kwWyndGtI9XZwn/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/SimplyCornPizza.jpg,
Simply Corn Pizza,ProductType,7,"Inventory,Food,Cafe,Pizza,Vegeterian,",139,"Simple Cheese,Corn Topping ",https://drive.google.com/file/d/1qHfb2HN_FUB-A8QxL4kwWyndGtI9XZwn/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/SimplyCornPizza.jpg,
Margherita Pizza,ProductType,8,"Inventory,Food,Cafe,Pizza,Vegeterian,",119,Tomato and Basill ,https://drive.google.com/file/d/1KXIyjmMNTjfzRPrpG1lV1FB59-ItEwbd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MargheritaPizza.jpg,
Margherita Pizza,ProductType,9,"Inventory,Food,Cafe,Pizza,Vegeterian,",149,Tomato and Basill ,https://drive.google.com/file/d/1KXIyjmMNTjfzRPrpG1lV1FB59-ItEwbd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MargheritaPizza.jpg,170
Double Cheese Margherita Pizza,ProductType,10,"Inventory,Food,Cafe,Pizza,Vegeterian,",129,Double Cheese and Tomato ,https://drive.google.com/file/d/1fv3et6TLCk7ql0kdHgT_kz66L4kRK9IH/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/DoubleCheeseMargheritaPizza.jpg,
Double Cheese Margherita Pizza,ProductType,11,"Inventory,Food,Cafe,Pizza,Vegeterian,",159,Double Cheese and Tomato ,https://drive.google.com/file/d/1fv3et6TLCk7ql0kdHgT_kz66L4kRK9IH/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/DoubleCheeseMargheritaPizza.jpg,180
Onion Capsicum Pizza,ProductType,12,"Inventory,Food,Cafe,Pizza,Vegeterian,",139,Onion and Capsicum ,https://drive.google.com/file/d/1SUf6jYdstoPHcr9gWMnpn92dvtOVZ04t/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/OnionCapsicumPizza.jpg,
Onion Capsicum Pizza,ProductType,13,"Inventory,Food,Cafe,Pizza,Vegeterian,",169,Onion and Capsicum ,https://drive.google.com/file/d/1SUf6jYdstoPHcr9gWMnpn92dvtOVZ04t/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/OnionCapsicumPizza.jpg,200
Chilli Garlic Spicy Pizza,ProductType,14,"Inventory,Food,Cafe,Pizza,Vegeterian,",139,"Capsicum,Green Chilli, Garlic ",https://drive.google.com/file/d/1dUpCOn5mf1-wHCLy9DfNDqPVWKlsKOrw/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/ChilliGarlicSpicyPizza.jpg,
Chilli Garlic Spicy Pizza,ProductType,15,"Inventory,Food,Cafe,Pizza,Vegeterian,",169,"Capsicum,Green Chilli, Garlic ",https://drive.google.com/file/d/1dUpCOn5mf1-wHCLy9DfNDqPVWKlsKOrw/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/ChilliGarlicSpicyPizza.jpg,200
Veg Delight Pizza,ProductType,16,"Inventory,Food,Cafe,Pizza,Vegeterian,",149,"Onion,Capsicum, Tomato,Olive ",https://drive.google.com/file/d/1OrhwbVUllG8UgZyXv9DUwSGkmCYJh9x7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/VegDelightPizza.jpg,
Veg Delight Pizza,ProductType,17,"Inventory,Food,Cafe,Pizza,Vegeterian,",179,"Onion,Capsicum, Tomato,Olive ",https://drive.google.com/file/d/1OrhwbVUllG8UgZyXv9DUwSGkmCYJh9x7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/VegDelightPizza.jpg,200
Mushroom Pizza,ProductType,18,"Inventory,Food,Cafe,Pizza,Vegeterian,",159,"Spicy Mushroom,Onion,Capsicum,Tomato,Jalapenos ",https://drive.google.com/file/d/17Y0M3ohDa80ytB2RQqwzXmaFidzmbIyo/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MushroomPizza.jpg,
Mushroom Pizza,ProductType,19,"Inventory,Food,Cafe,Pizza,Vegeterian,",189,"Spicy Mushroom,Onion,Capsicum,Tomato,Jalapenos ",https://drive.google.com/file/d/17Y0M3ohDa80ytB2RQqwzXmaFidzmbIyo/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MushroomPizza.jpg,220
Tandoori Mushroom Pizza,ProductType,20,"Inventory,Food,Cafe,Pizza,Vegeterian,",169,"Tandoori Mushoorm,Onion,Capsicum,Tomato,Jalapeno ",https://drive.google.com/file/d/1c9Wu_k4DCn_4VDCyT4_fgEzpK80BmjF3/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/TandooriMushroomPizza.jpg,
Tandoori Mushroom Pizza,ProductType,21,"Inventory,Food,Cafe,Pizza,Vegeterian,",199,"Tandoori Mushoorm,Onion,Capsicum,Tomato,Jalapeno ",https://drive.google.com/file/d/1c9Wu_k4DCn_4VDCyT4_fgEzpK80BmjF3/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/TandooriMushroomPizza.jpg,230
Spicy Paneer Pizza,ProductType,22,"Inventory,Food,Cafe,Pizza,Vegeterian,",159,"Spicy Paneer, Capsicum,Jalapenos,Onion",https://drive.google.com/file/d/17oqW6uO26aO4L9lhIQcZ4B-Vf4DXXSTp/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/SpicyPaneerPizza.jpg,
Spicy Paneer Pizza,ProductType,23,"Inventory,Food,Cafe,Pizza,Vegeterian,",189,"Spicy Paneer, Capsicum,Jalapenos,Onion",https://drive.google.com/file/d/17oqW6uO26aO4L9lhIQcZ4B-Vf4DXXSTp/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/SpicyPaneerPizza.jpg,220
Paneer Tikka Pizza,ProductType,24,"Inventory,Food,Cafe,Pizza,Vegeterian,",169,"Tandoori Paneer,Capsicum,Tomato,Onion,Olives ",https://drive.google.com/file/d/1HY1LUJ8B1WSeKBagmPgHdLPidChbNsYK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/PaneerTikkaPizza.jpg,
