label,nodeType,order,path,price,description,link,imageLink,Swiggy,Zomato
Veg Entree,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/13d5-RS6K5zB_it7T2SUJig2uLnC9EIKd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220323/VegEntree.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Veg Entree,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Veg Entree,",,,,,,
Veg Popular Spl,ProductType,4,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",160,,,,,
Veg Tawa,ProductType,5,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",160,,https://drive.google.com/file/d/1oNNPcxIp1izNlVDKH31Ua_RIqFPzBhJj/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegTawa.jpg,,
Veg Malai Kofta,ProductType,6,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",160,,https://drive.google.com/file/d/1cK5RWuGhEqQLQQPNOC6YkJzulu5tvn_U/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220127/VegMalaiKofta.jpg,,
Veg Jaipuri,ProductType,7,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",130,,https://drive.google.com/file/d/1W2iuySP3g-maGyGMgKdcXvF1XT3J1awp/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegJaipuri.jpg,170,180
Veg Kadai,ProductType,8,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",130,,https://drive.google.com/file/d/1Qw5Oe1JTdDI6JvQhuyRuCTqULE1Jk_i8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Kadai.jpg,170,180
Veg Kolhapuri,ProductType,9,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",130,,https://drive.google.com/file/d/1m1uzUXSxt9B7c1QZzLM8f5Xkfl5SnP3e/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegKolhapuri.jpg,170,180
Veg Makhanwala,ProductType,10,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",130,,https://drive.google.com/file/d/18Eda-3mOCYFIWKcZiKfr_2unQaCzLgWr/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegMakhanwala.jpg,170,170
Mushroom Masala,ProductType,11,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",130,,https://drive.google.com/file/d/1lxiJ7KE2cIt_oraf27eM76_VxZCeFywA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/MushroomMasala.jpg,170,170
Veg Afghani,ProductType,12,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",120,,https://drive.google.com/file/d/1gHkRYP8IieV5RB2T3Kc_uBELjkEk4vj6/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/VegAfgani.jpg,170,150
Veg Handi,ProductType,13,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",120,,https://drive.google.com/file/d/1OMBGMs1tQ-dGKZ241ojy_oozXgbRceTn/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Handi.jpg,160,150
Veg Korma,ProductType,14,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",100,,https://drive.google.com/file/d/1N-H6if-xq2SuKI84uKbX9XBaXsApHDst/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food03022022/VegKorma.jpg,160,130
Veg Angara,ProductType,15,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",160,,https://drive.google.com/file/d/1kZGwVBST5cqFqfDfT1eEOj9hBHA3RUZC/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegAngara.jpg,,
Veg Laziz,ProductType,16,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",160,,https://drive.google.com/file/d/1E5RZLl3CggZl8Ka3OVkZNnEnriLKJnhf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Laziz.jpg,,
Veg Lajawab,ProductType,17,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",160,,https://drive.google.com/file/d/1pCXpzUhVgz0rFnJb9DKw5TdTlmLolg0C/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220217/VegLajawab.jpg,,
Veg Hyderabadi,ProductType,18,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",160,,https://drive.google.com/file/d/1dtA8kP58QPcqCFQMBbu9s16z4jT8xux9/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Hyderabadi.jpg,,
Aloo Palak,ProductType,19,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",90,,https://drive.google.com/file/d/1QCdqn4vqczWuJfL6Hdl1PbYizCzuTvk_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/AlooPalak.jpg,,130
Chana Masala,ProductType,20,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",90,,https://drive.google.com/file/d/1nZdItXvChE8U5tIvcRPEw-xj1k3IGUsu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/ChanaMasala.jpg,120,120
Mix Vegetable,ProductType,21,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",90,,https://drive.google.com/file/d/1bCPEivgIo2NPhuhhL3nT0TDbp6-pm8Px/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MixVegetable.jpg,120,120
Dal Tadka,ProductType,22,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",85,,https://drive.google.com/file/d/14RUwq8nVglapT24psGzGu5oLTx-UOZB7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/DalTadka.jpg,110,120
Dal Fry With Butter,ProductType,23,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",85,,https://drive.google.com/file/d/109xGTTgUMkPChbA9H0CHPA9QpNmK1Xpb/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220217/DalFryWithButter.jpg,110,
Dal Fry,ProductType,24,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",70,,https://drive.google.com/file/d/1K8tvnEHHFvnC05dq2Qx-p-dJ1RZDhOaK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/DalFry.jpg,90,100
Dal Khichdi,ProductType,25,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",100,,https://drive.google.com/file/d/1eYgIjQw-U3ZGT8GEPhcg9KZJWnc7BvLu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DalKhichdi.jpg,180,130
Dal Khichdi Tadka,ProductType,26,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",120,,https://drive.google.com/file/d/1GvdeoErufJ4jmMscJ5uGSbFhJnpqBEaJ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food03022022/DalKhichdiTadka.jpg,,
Palak Khichdi,ProductType,27,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",100,,https://drive.google.com/file/d/1vZtmV-BC0j41rmRmP_dM_d7IU137_7sc/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/PalakKhichdi.jpg,180,130
Paneer Popular Spl,ProductType,28,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",180,,,,,
Paneer Tikka Masala,ProductType,29,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",180,,https://drive.google.com/file/d/1BmyxNFwPwf7zpalxZOSRuGMcKOWv1EoQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerTikkaMasala.jpg,235,220
