label,nodeType,order,path,price,description,link,imageLink
Chikkis,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1LBI_yHVYECE2JMsJwO3UWDe8VDk_Htfm/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220524/Chikkis.jpeg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Chikkis,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Chikkis,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg
Crush Chikki,ProductType,4,"Inventory,Food,Restaurant,Chikkis,Vegeterian,",70,,https://drive.google.com/file/d/1qT10Shp4GeU46yZgSpzrAsbdb4bsVLsd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220524/CrushChikki.jpg
Crush Chikki 250gm,ProductUnit,5,"Inventory,Food,Restaurant,Chikkis,Vegeterian,Crush Chikki,",70,,https://drive.google.com/file/d/1i8B7kKekQ3SIHvyomCSBwMaIfaqH6D-7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220524/CrushChikki250gm.jpg
Shengdana Chikki,ProductType,6,"Inventory,Food,Restaurant,Chikkis,Vegeterian,",70,,https://drive.google.com/file/d/1UMc99Vdrv7lzAZh3loS_3oKkiZXO99gx/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220524/ShengdanaChikki.jpg.crdownload.jpg
Shengdana Chikki 250gm,ProductUnit,7,"Inventory,Food,Restaurant,Chikkis,Vegeterian,Shengdana Chikki,",70,,https://drive.google.com/file/d/1C4za1f3f_o3g6hq2tOsz0_2tbb2o16Xf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220524/ShengdanaChikki250gm.jpg.crdownload.jpg
Mamra Chikki,ProductType,8,"Inventory,Food,Restaurant,Chikkis,Vegeterian,",70,,https://drive.google.com/file/d/1JL4nfuJw4_jzv3dL7eY7qymd455sZ8Bv/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220524/MamraChikki.jpg
Mamra Chikki 250gm,ProductUnit,9,"Inventory,Food,Restaurant,Chikkis,Vegeterian,Mamra Chikki,",70,,https://drive.google.com/file/d/1kQvbhvysSg_RBg4wMHSoBSVRZCIYPA_F/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220524/MamraChikki250gm.jpg
Rajgira Chikki,ProductType,10,"Inventory,Food,Restaurant,Chikkis,Vegeterian,",70,,https://drive.google.com/file/d/1LkKNLBoIpdHzmYHJFVcD_7wjKvt3g2oP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220524/RajgiraChikki.jpeg
