label,nodeType,order,path,price,description,ingredients,link,imageLink
Soups,ProductClass,2,"Inventory,Food,Restaurant,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Soup.jpg
Vegeterian,ProductLine,1,"Inventory,Food,Restaurant,Soups,",,,,,
NonVegeterian,ProductLine,1,"Inventory,Food,Restaurant,Soups,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg
Spl Bakra Paya Soup,ProductType,3,"Inventory,Food,Restaurant,Soups,NonVegeterian,",90,,,https://drive.google.com/file/d/1uFk3ieuwRgLHzzOS4n0N3YeJDZBFPHX0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/SplBakraPayaSoup.jpg
Mutton Clear Soup,ProductType,4,"Inventory,Food,Restaurant,Soups,NonVegeterian,",60,,"100-200 gms lamb bones,3 tbsp ghee,1.5 tbsp ginger garlic paste,2 onions,2 cardamom,1 inch stick cinnamon,1 tsp turmeric powder,2 green chili,salt to taste,",https://drive.google.com/file/d/1D0PvH2pT3fKPyZ3FBkP23BAQLVqNxDOd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/MuttonClearSoup.jpg
Mutton Hot and Sour Soup,ProductType,5,"Inventory,Food,Restaurant,Soups,NonVegeterian,",120,,,https://drive.google.com/file/d/1an8M_eWOFuqFKQYri2sRJB5t1lAmt9G3/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/MuttonHotSourSoup.jpg
Chicken Clear Soup,ProductType,6,"Inventory,Food,Restaurant,Soups,NonVegeterian,",60,,"¼ kg Chicken,1 Onion,1 Onion,6 Garlic pods,1 tsp Whole Pepper,1 Bay leaves,½ inch Cinnamon stick,2 Cloves,2 cups Water,Salt as needed,",https://drive.google.com/file/d/1LX7BNBtiMlQn6XbchCtLnaod19NW4mut/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenClearSoup.jpg
Chicken Hot and Sour Soup,ProductType,7,"Inventory,Food,Restaurant,Soups,NonVegeterian,",100,,,https://drive.google.com/file/d/1T_uo6Vwyppzgq5bERumoCCVa6l_6WGPn/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenHotSourSoup.jpg
Rice,ProductClass,1,"Inventory,Food,Restaurant,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Rice.jpg
Vegeterian,ProductLine,1,"Inventory,Food,Restaurant,Rice,",,,,,
