label,nodeType,order,path,price,ingredients,link,imageLink,description
Snacks,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/Smiley.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Snacks,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Snacks,",,,,,
Dabeli,ProductType,3,"Inventory,Food,Restaurant,Snacks,Vegeterian,",20," Indian bun,spicy ,sweet chutney,pomegranate,onions , sev",https://drive.google.com/file/d/1ez_eS6pQ_O7svbNLhw87e3bCJ7OFHIMG/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Dabeli.jpg,
Cheese Dabeli,ProductType,4,"Inventory,Food,Restaurant,Snacks,Vegeterian,",40," Indian bun,Cheese,spicy , sweet chutney,pomegranate,onions ,sev",https://drive.google.com/file/d/1Wn-356mX-znrAIJ4gT8EqP1sjlVk5ewO/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/CheeseDabeli.jpg,
Bhel,ProductType,5,"Inventory,Food,Restaurant,Snacks,Vegeterian,",25,"murmura,onion,potato,mixture,tomato,chaat masala,kashmiri red chilli powder,lemon juice ",https://drive.google.com/file/d/1ifsuZmYM-sxTt_rj3Y2DZ5uV3IzFncWt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Bhel.jpg,
Bhel kachori,ProductType,6,"Inventory,Food,Restaurant,Snacks,Vegeterian,",30,"Date-tamarind chutney,Green chutney,Garlic chutney,Bhel,Chopped onion,Sev",https://drive.google.com/file/d/1UbPVaLmC40DQB7VtbIUvBivz_24aPkW2/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Bhelkachori.jpg,
Kachori,ProductType,7,"Inventory,Food,Restaurant,Snacks,Vegeterian,",25,"flour,water,moong dal,cumin powder,coriander powder,dry mango powder",https://drive.google.com/file/d/1JBgQ5i-9Fkw4ZmnUszDkkS5R4G5fEYbg/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Kachori.jpg,
Dahipuri,ProductType,8,"Inventory,Food,Restaurant,Snacks,Vegeterian,",30,"Chaat Puri,chopped Potatoes,Curd,Onion,Khajur Imli ki Chutney,Green Chutney,Chaat Masala,Nylon Sev",https://drive.google.com/file/d/1vHCOpu66IAmiZea09UQCv0k2wsNPV-qy/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DahiPuri.jpg,
Ragada Puri,ProductType,9,"Inventory,Food,Restaurant,Snacks,Vegeterian,",30,"Crisp Puffed Puris,peas boiled ,Tomato,Green chillies,Roasted cumin powder ,Sev",https://drive.google.com/file/d/1c-fi-I7ysZ9P4n2uTyqQnqoeMyrx13g8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Ragada-Puri.jpg,
Pani Puri,ProductType,10,"Inventory,Food,Restaurant,Snacks,Vegeterian,",20,"Crisp Puffed Puri,Potato,Mint Water, Sweet Water",https://drive.google.com/file/d/11eeXwN7YjS_AfF3yaxjo0P7NccaXXQ8v/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Panipuri.jpg,
Shev Puri,ProductType,11,"Inventory,Food,Restaurant,Snacks,Vegeterian,",30,"Chaat Puri,chopped Potatoes,Tomato,Onion,Khajur Imli ki Chutney,Green Chutney,Chaat Masala,Nylon Sev",https://drive.google.com/file/d/1OnNtCPQSGUwT9Kh_E7a9mihV9xkiAX9k/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Shevpuri.jpg,
Beverages,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Beverages.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Beverages,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Beverages,",,,,,
Kesar Pista,ProductType,3,"Inventory,Food,Restaurant,Beverages,Vegeterian,",20,,https://drive.google.com/file/d/1GWkTA8bI1oUQSHPvleNk6zeh168BC3Wv/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/KesarPista.jpg,
Rajbhog,ProductType,4,"Inventory,Food,Restaurant,Beverages,Vegeterian,",20,,https://drive.google.com/file/d/1AUh4Sb8oElCuJ7NwTOjMH1Cx6Naaruj4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Rajbhog.jpg,
Kaju Draksha,ProductType,5,"Inventory,Food,Restaurant,Beverages,Vegeterian,",20,,https://drive.google.com/file/d/1HhslIzPNY9f3Y6w35QyzGuehRfLGT15S/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/KajuDraksha.jpg,
Chocolate,ProductType,6,"Inventory,Food,Restaurant,Beverages,Vegeterian,",20,,https://drive.google.com/file/d/1vbhRpgGOEXu0lFsV4zyilBdw7b0WEMlg/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Chocolate.jpg,
Ameriacan Dryfruit,ProductType,7,"Inventory,Food,Restaurant,Beverages,Vegeterian,",20,,https://drive.google.com/file/d/1LhKaNfy7M1vTb0VuqsuiU4yYcRlL07MS/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AmeriacanDryfruit.jpg,
Gulkand,ProductType,8,"Inventory,Food,Restaurant,Beverages,Vegeterian,",20,,https://drive.google.com/file/d/1xMXgCtVZsqKF8eC7OWhd2BSUpESRGZ3e/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Gulkand.jpg,
Radhika Special,ProductType,9,"Inventory,Food,Restaurant,Beverages,Vegeterian,",30,,,,
Mava Malai Kulfi,ProductType,10,"Inventory,Food,Restaurant,Beverages,Vegeterian,",15," Milk,Sugar,Saffron strands, Cardamom Powder,Pistachios,Mava",https://drive.google.com/file/d/13Yke29vHGxYrWZh-s5hqlu_Mux6zzONo/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MavaMalaiKulfi.jpg,
Pista Kulfi,ProductType,11,"Inventory,Food,Restaurant,Beverages,Vegeterian,",20,"Milk,Sugar,Saffron strands,Cardamom Powder,Pistachios",https://drive.google.com/file/d/1jXPZJ8WoXKeHc13KfXcojQZ6KQSp4bUK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Pista-Kulfi.jpg,
Kesar Pista Kulfi,ProductType,12,"Inventory,Food,Restaurant,Beverages,Vegeterian,",25," Milk,Sugar, Saffron strands,Cardamom Powder,Pistachios,kesar",https://drive.google.com/file/d/11_iVm4DTByYhLVUclh8zXfGPznSCmoEX/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/KesarPistaKulfi.jpg,
Shakes,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Shakes.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Shakes,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Shakes,",,,,,
Badam Shake,ProductType,3,"Inventory,Food,Restaurant,Shakes,Vegeterian,",40,"milk,low calorie sweetener,green cardamom powder,custard powder",https://drive.google.com/file/d/1yuiFYnfX8zdFzNxbludbOv29szU4cvAh/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/BadamShake.jpg,
Anjir Shake,ProductType,4,"Inventory,Food,Restaurant,Shakes,Vegeterian,",40,"Milk , Sugar Syrup ,Ice Cubes",https://drive.google.com/file/d/1KKFABkWSlVgdmWSzSaFpBOQ-WeOq7bgD/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AnjirShake.jpg,
Kaju Shake,ProductType,5,"Inventory,Food,Restaurant,Shakes,Vegeterian,",40,"soaked cashews,milk,sugar,green cardamom powder",https://drive.google.com/file/d/1wzzwlp5ElYMmfmZnoBLJfOZl9wl-1090/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/KajuShake.jpg,
Fruit Slide,ProductType,6,"Inventory,Food,Restaurant,Shakes,Vegeterian,",40,,,,
Lassi,ProductType,7,"Inventory,Food,Restaurant,Shakes,Vegeterian,",40,"Plain Curd,Sugar, Water ,Milk",https://drive.google.com/file/d/1z2BJrtvZR9kkdK-COuqLNCQlIbTJNxnX/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Lassi.jpg,
Faluda Rose,ProductType,8,"Inventory,Food,Restaurant,Shakes,Vegeterian,",60,"rose syrup,milk,vanilla ice-cream",https://drive.google.com/file/d/1O7FpVZ1YjUcmaYYSjJ2r9AL-YbATosVs/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/FaludaRose.jpg,
Faluda Chocolate,ProductType,9,"Inventory,Food,Restaurant,Shakes,Vegeterian,",60,"Milk , Cocoa powder, Chocolate , Basil seeds, sabja seeds,takmariya, Sugar",https://drive.google.com/file/d/1f7suOfDejSgPyt9V3v1orrqUxNu6hQmV/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/FaludaChocolate.jpg,
Mastani,ProductType,10,"Inventory,Food,Restaurant,Shakes,Vegeterian,",60,,https://drive.google.com/file/d/1eq3bCCXKRxUzQh-Z-1HSdykhPW8SDxQL/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/mastani.jpg,
Ice Cream with Badam Shake,ProductType,11,"Inventory,Food,Restaurant,Shakes,Vegeterian,",40,,,,
