label,nodeType,order,path,price,description,ingredients,link,imageLink,Swiggy ,Zomato
Chinese,ProductClass,1,"Inventory,Food,Restaurant,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Chinese.jpg,,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Chinese,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,,
Vegeterian,ProductLine,3,"Inventory,Food,Restaurant,Chinese,",,,,,,,
Chicken Chilli,ProductType,4,"Inventory,Food,Restaurant,Chinese,NonVegeterian,",100,," chicken breasts, teaspoon salt,½ teaspoon pepper, egg, beaten,¾ cup flour( g), green pepper, sliced, red pepper, sliced,",https://drive.google.com/file/d/1zccr03DUmOBDqoID5-I1IkcG9nR33fue/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenChilli.jpg,,
Chicken Chilli Full,ProductUnit,5,"Inventory,Food,Restaurant,Chinese,NonVegeterian,Chicken Chilli,",100,," chicken breasts, teaspoon salt,½ teaspoon pepper, egg, beaten,¾ cup flour( g), green pepper, sliced, red pepper, sliced,",https://drive.google.com/file/d/1256S3NPD7TuJoAVNTyKmD7W1hXeIp29K/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/imgs-2/ChickenChilliFull.jpg,,
Chicken Chilli Half,ProductUnit,6,"Inventory,Food,Restaurant,Chinese,NonVegeterian,Chicken Chilli,",60,," chicken breasts, teaspoon salt,½ teaspoon pepper, egg, beaten,¾ cup flour( g), green pepper, sliced, red pepper, sliced,",https://drive.google.com/file/d/18f1DBgi305R9Uvp972q4kQhwyUJRUXeC/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/imgs-2/ChickenChilliHalf.jpg,,60
Schezwan Tandoori,ProductType,7,"Inventory,Food,Restaurant,Chinese,NonVegeterian,",450,,"Chicken with bone gm, of salt, tbsp of curd,/  of zeera powder,/  of garam masala powder,/  of tandoori masala powder,/  of coriander powder,  of ginger-garlic paste,/ Lemon juice,  of red chilly powder,/  of chaat masala,/ cup Tomato ketchup,/ cup of red chilly sauce,7-8 cloves of garlic chopped, tbsp of oil,/ capsicum sliced,Salt.",https://drive.google.com/file/d/1ATVsHXzcBEtJQa6la1TyllC0rXIO29uL/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/imgs-2/SchezwanTandoori.jpg,,
Schezwan Tandoori Full,ProductUnit,8,"Inventory,Food,Restaurant,Chinese,NonVegeterian,Schezwan Tandoori,",450,,"Chicken with bone gm, of salt, tbsp of curd,/  of zeera powder,/  of garam masala powder,/  of tandoori masala powder,/  of coriander powder,  of ginger-garlic paste,/ Lemon juice,  of red chilly powder,/  of chaat masala,/ cup Tomato ketchup,/ cup of red chilly sauce,7-8 cloves of garlic chopped, tbsp of oil,/ capsicum sliced,Salt.",https://drive.google.com/file/d/1_k2e4UcBZOFHHR8kWd6YjaTLGh-L2Tux/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/imgs-2/SchezwanTandooriFull.jpg,,
Schezwan Tandoori Half,ProductUnit,9,"Inventory,Food,Restaurant,Chinese,NonVegeterian,Schezwan Tandoori,",250,,"Chicken with bone gm, of salt, tbsp of curd,/  of zeera powder,/  of garam masala powder,/  of tandoori masala powder,/  of coriander powder,  of ginger-garlic paste,/ Lemon juice,  of red chilly powder,/  of chaat masala,/ cup Tomato ketchup,/ cup of red chilly sauce,7-8 cloves of garlic chopped, tbsp of oil,/ capsicum sliced,Salt.",https://drive.google.com/file/d/1Oljk1QkQtaNUR5jXwIVfuEnTw8IE72we/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/imgs-2/SchezwanTandooriHalf.jpg,,250
Chicken Tandoori,ProductType,10,"Inventory,Food,Restaurant,Chinese,NonVegeterian,",350,,"gm Chicken ,Hung Curd - / cup,Ginger Garlic Paste -  tablespoon,Red Chili Powder -  tablespoon,Garam Masala -  tablespoon,Lemon Juice -  tablespoon,Balck Pepper Powder - / tablespoon",https://drive.google.com/file/d/1WlsvcyYyU9mZXDHlzoLVNwQ8JF_WAj5Q/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenTandooriFull.jpg,,
Chicken Tandoori Full,ProductUnit,11,"Inventory,Food,Restaurant,Chinese,NonVegeterian,Chicken Tandoori,",350,,"gm Chicken ,Hung Curd - / cup,Ginger Garlic Paste -  tablespoon,Red Chili Powder -  tablespoon,Garam Masala -  tablespoon,Lemon Juice -  tablespoon,Balck Pepper Powder - / tablespoon",https://drive.google.com/file/d/1WtS9O3XVpgq9-mUPuTBQQFLXAjrLodPx/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenTandooriFull.jpg,,
