label,nodeType,order,path,price,link,imageLink,Swiggy,description
Entree,ProductClass,1,"Inventory,Food,Restaurant,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/Entree.jpg,,
NonVegeterain,ProductLine,2,"Inventory,Food,Restaurant,Entree,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,,
Vegetarian ,ProductLine,3,"Inventory,Food,Restaurant,Entree,",,,,,
Mutton Handi,ProductType,4,"Inventory,Food,Restaurant,Entree,NonVegeterain,",800,https://drive.google.com/file/d/1cDgJjzfBznwA7SQ2sVr2-m7bkYjS25MQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MuttonHandi.jpg,,
Mutton Handi Full,ProductUnit,5,"Inventory,Food,Restaurant,Entree,NonVegeterain,Mutton Handi,",800,https://drive.google.com/file/d/1FycDNv3fIZ4FgUmyTHr5bWKHB-S7JPU9/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MuttonHandiFull.jpg,,
Mutton Handi Half,ProductUnit,6,"Inventory,Food,Restaurant,Entree,NonVegeterain,Mutton Handi,",400,https://drive.google.com/file/d/1rSZt2OdDaPDJaxpteehvbb3EICXF11Ge/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MuttonHandiHalf.jpg,310,
Mutton Plate,ProductType,7,"Inventory,Food,Restaurant,Entree,NonVegeterain,",180,https://drive.google.com/file/d/16ffEroCOdMRaNWonDCo618JIB4phjAa0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MuttonPlate.jpg,,
Mutton Lapeta,ProductType,8,"Inventory,Food,Restaurant,Entree,NonVegeterain,",180,https://drive.google.com/file/d/1tjF1qRWH5WNXuSK7LBxRrKGKkV2CAIpn/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MuttonLapeta.jpg,,
Mutton Panjabi Handi,ProductType,9,"Inventory,Food,Restaurant,Entree,NonVegeterain,",800,https://drive.google.com/file/d/1BCilVgXUxMZX8_HSjT79U2JD41Gg_-pO/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/MuttonPanjabiHandi.jpg,,
Mutton Kolhapuri,ProductType,10,"Inventory,Food,Restaurant,Entree,NonVegeterain,",180,https://drive.google.com/file/d/1RJcCHg8Q0w4v8uFNs-RxxWui8qSGS6eD/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MuttonKolhapuri.jpg,330,
