label,nodeType,order,path,price,description,ingredients,link,imageLink
Entree,ProductClass,1,"Inventory,Food,Restaurant,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/Entree.jpg
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Entree,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg
Vegeterian,ProductLine,3,"Inventory,Food,Restaurant,Entree,",,,,,
Chicken Masala,ProductType,4,"Inventory,Food,Restaurant,Entree,NonVegeterian,",150,,"Chicken   grams,Onion    sliced thinly,Tomatoes    sliced thinly,Green Chillies   slit,Ginger Garlic Paste  ,Chilli Powder  ,Coriander powder  ,Cumin Powder  Jeera Podi   ,Salt to taste,Oil ,etc",https://drive.google.com/file/d/16eM27vE_lLNM8GKZT5a35PjfaUi0laY9/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenMasala.jpg
Chicken Roast,ProductType,5,"Inventory,Food,Restaurant,Entree,NonVegeterian,",150,,"  Chicken,   Lemon Juice,  mint Leave,  Turmeric,  Garam Masala,  Chilli Powder,  Onion,  Ginger Garlic Paste,  Salt,etc",https://drive.google.com/file/d/1_2ioZ2iJUQoMFs82njgSzHgNZddOQtlY/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenRoast.jpg
Chicken Dry,ProductType,6,"Inventory,Food,Restaurant,Entree,NonVegeterian,",150,,"  boneless Chicken  fillet  shredded thinly, egg  slightly beaten,  cornflour,  garlic paste,  ginger paste,Oil for deep frying,  onions  sliced thinly,  broken dry red chillies,  soya sauce,etc",https://drive.google.com/file/d/1iXjOeU-zvtHU2Kw3qdDQZ3_gsSmSY3k3/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenDry.jpg
Mutton Dry,ProductType,7,"Inventory,Food,Restaurant,Entree,NonVegeterian,",180,,"  boneless mutton fillet  shredded thinly, egg  slightly beaten,  cornflour,  garlic paste,  ginger paste,Oil for deep frying,  onions  sliced thinly,  broken dry red chillies,  soya sauce,etc",https://drive.google.com/file/d/1nxaf3-CvkU0j_5N1p1_bw5k-RPeNB3jd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MuttonDry.jpg
Mutton Roast,ProductType,8,"Inventory,Food,Restaurant,Entree,NonVegeterian,",180,,,https://drive.googlhttps://drive.google.com/file/d/1043hKbfvZ_d7gnSlFrg-QM9JL6R2nii7/view?usp=sharinge.com/file/d/1UwfNcMtmAMtZX-3Y6TvfUn3tpvJK-dnZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MuttonRoast.jpg
Mutton Masala,ProductType,9,"Inventory,Food,Restaurant,Entree,NonVegeterian,",180,,"  mutton washed and cut,  oil, onions finely sliced,  gingergarlic paste,  salt,  coriander powder, tomatoes finely chopped,  yogurt,  coriander leaves chopped,  mutton masala powder,          garam masala powder,etc",https://drive.google.com/file/d/1-4YOHkbknBQIIukm4yZwJM6f8unGYrqS/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/NonVegeterian/MuttonMasala.jpg
Fish Fry,ProductType,10,"Inventory,Food,Restaurant,Entree,NonVegeterian,",140,," fish,   red chilli powder,   coriander powder,   turmeric powder,   lime juice,Salt to taste,Oil to toastdeep fry.",https://drive.google.com/file/d/1PpL_a6K_-PvE4WO7M0QLOPLORYanqmK0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/NonVegeterian/FishFry.jpg
Fish Dry,ProductType,11,"Inventory,Food,Restaurant,Entree,NonVegeterian,",140,,, ,
Dum Fish,ProductType,12,"Inventory,Food,Restaurant,Entree,NonVegeterian,",140,,, ,
Egg Kadai,ProductType,13,"Inventory,Food,Restaurant,Entree,NonVegeterian,",90,,"  Whole Eggs,  Onion diced,  Green Bell Pepper,   Ginger,, Tomatoes , Cardamom, Cloves, bay leaf,   Turmeric powder,  red chili powder,   Coriander powder,Salt to taste,   kasuri methi,  Oil,  cream",https://drive.google.com/file/d/14riAuzbJaABM6PA_Hon-rQ2FYtWb3yFF/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/EggKadai.jpg
Egg Dry,ProductType,14,"Inventory,Food,Restaurant,Entree,NonVegeterian,",90,,, ,
Egg Masala,ProductType,15,"Inventory,Food,Restaurant,Entree,NonVegeterian,",90,," Hard Boiled Eggs,  Oil,  Onions Roughly Chopped,  Tomato Roughly Chopped,"" Ginger Piece Finely Chopped,  Coriander Seeds,Water as needed,Salt as needed,etc",https://drive.google.com/file/d/1pN-FBsZbYnOvIyYtW9x5T4XRpHKz44UY/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/EggMasala.jpg
Egg Fry,ProductType,16,"Inventory,Food,Restaurant,Entree,NonVegeterian,",90,,,https://drive.google.com/file/d/1UW5rHCgAbyvJBt3S5Ggx6khQQbPYIh55/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/EggFry.jpeg
Roti and Naan,ProductClass,1,"Inventory,Food,Restaurant,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Roti.jpg
