label,nodeType,order,path,price,link,imageLink,description
Soups,ProductClass,1,"Inventory,Food,Restaurant,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Soup.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Soups,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Soups,",,,,
Veg Manchow Soup,ProductType,4,"Inventory,Food,Restaurant,Soups,Vegeterian,",60,https://drive.google.com/file/d/1ZHfj80mG4nonkD938YcNcqpsbo76_3Bh/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/vegManchowSoup.jpg,
Veg Hot and Sour Soup,ProductType,5,"Inventory,Food,Restaurant,Soups,Vegeterian,",80,https://drive.google.com/file/d/1RIL99bCMMqIHSB6ATZlHsxi4D71vYOCP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/VegHotSourSoup.jpg,
Tomato Soup,ProductType,6,"Inventory,Food,Restaurant,Soups,Vegeterian,",80,https://drive.google.com/file/d/1qhWW38vtbUr23w3F0uYayqtGNJhxmiYf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Tomato-Soup.jpg,
Veg Sweet Corn Soup,ProductType,7,"Inventory,Food,Restaurant,Soups,Vegeterian,",70,https://drive.google.com/file/d/1DhM9DUO6aGaH98qUCjU6GjG9Q4SeSyg2/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegSweetCornSoup.jpg,
Veg Clear Soup,ProductType,8,"Inventory,Food,Restaurant,Soups,Vegeterian,",60,https://drive.google.com/file/d/1dmYwUOQ7V67thr9VxwcKFsrCkxZqX81H/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Clear-Soup.jpg,
Spanish Soup,ProductType,9,"Inventory,Food,Restaurant,Soups,Vegeterian,",80,https://drive.google.com/file/d/1wMz0xU9KVKESKa-wNFgwIhx0nKK_ITR0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/SpanishSoup.jpg,
Cream of Mushroom Soup,ProductType,10,"Inventory,Food,Restaurant,Soups,Vegeterian,",90,https://drive.google.com/file/d/1Qo2WlVyjusbPWNb4-EeVhXTpytKnKPiG/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/CreamOfMushroomSoup.jpg,
Palak Soup,ProductType,11,"Inventory,Food,Restaurant,Soups,Vegeterian,",80,https://drive.google.com/file/d/1b_lZk1-jhMLuqQF-BoqOibwGWxw_y8qi/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PalakSoup.jpg,
Lemon Coriander Soup,ProductType,12,"Inventory,Food,Restaurant,Soups,Vegeterian,",90,https://drive.google.com/file/d/1KHrpqE-RlZ6MBo-hCx_BdLBH0GRVxmyt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/LemonCorianderSoup.jpg,
Starters,ProductClass,1,"Inventory,Food,Restaurant,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Starters.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Starters,",,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Starters,",,,,
Paneer Tikka,ProductType,4,"Inventory,Food,Restaurant,Starters,Vegeterian,",180,https://drive.google.com/file/d/1PJwE1sbtvBu26CpKRTyXSOwWl4B0uAHa/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerTikka.jpg,
Paneer Hyderabadi,ProductType,5,"Inventory,Food,Restaurant,Starters,Vegeterian,",190,https://drive.google.com/file/d/1JncF2MHWmhC7EuWmS8Co4PzS3tiZesZe/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerHyderabadi.jpg,
Paneer Banjara,ProductType,6,"Inventory,Food,Restaurant,Starters,Vegeterian,",190,https://drive.google.com/file/d/1VYN-JzuOpTpg3X8j4eoN6_FYxSqyFzJI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerBanjara.jpg,
Paneer Angara Tikka,ProductType,7,"Inventory,Food,Restaurant,Starters,Vegeterian,",180,https://drive.google.com/file/d/1g9_Xkwq2we8cYTw6TXg5fDjrhyv7X3Pg/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/PaneerAngaraTikka.jpg,
Paneer Adrakl Tikka,ProductType,8,"Inventory,Food,Restaurant,Starters,Vegeterian,",190,https://drive.google.com/file/d/1Rj3UO5PC3IOv0O7BZCyASnznvhln-XRG/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/PaneerAdraklTikka.jpg,
Paneer Seekh Kabab,ProductType,9,"Inventory,Food,Restaurant,Starters,Vegeterian,",,https://drive.google.com/file/d/1j9D8OswOCm2cGn7r6zEVWEc9IEDTAdjh/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/PaneerSeekhKabab.jpg,
Paneer Kaju Seekh Kabab,ProductType,10,"Inventory,Food,Restaurant,Starters,Vegeterian,",210,https://drive.google.com/file/d/1kMifX-cRdRyl72gZV22RgJy6nizIB6cZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/PaneerKajuSeekhKabab.jpg,
Paneer Hiltop,ProductType,11,"Inventory,Food,Restaurant,Starters,Vegeterian,",200,https://drive.google.com/file/d/1QuHQuRKCy9SzURBYxeAbooFcZ9tf-JwF/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/PaneerHiltop.jpg,
Veg Seekh Kabab,ProductType,12,"Inventory,Food,Restaurant,Starters,Vegeterian,",160,https://drive.google.com/file/d/10MBSTG04AZlMyzKjsK7C7Avj9fHUSFpH/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegSeekhKabab.jpg,
Mushrooom Tikka,ProductType,13,"Inventory,Food,Restaurant,Starters,Vegeterian,",170,https://drive.google.com/file/d/1TztZGwiAWo-x5Y8-VGEQh6dBhGywAJjw/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/MushrooomTikka.jpg,
Gobi Tikka,ProductType,14,"Inventory,Food,Restaurant,Starters,Vegeterian,",160,https://drive.google.com/file/d/1kvg1EWSoYUSx0YwTw8AVZpa_XlsTe1cC/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/GobiTikka.jpg,
Baby Corn Tikka,ProductType,15,"Inventory,Food,Restaurant,Starters,Vegeterian,",170,https://drive.google.com/file/d/1ifUtL0q1_PlcreAohRvsDJzuyr0uOy-9/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/BabycornTikka.jpg,
Veg Harbara Kabab,ProductType,16,"Inventory,Food,Restaurant,Starters,Vegeterian,",170,https://drive.google.com/file/d/1nW1kCDzuZqRg6gZ0c1Qbtmpq0R62Z46g/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/VegHarbaraKabab.jpg,
Veg Plate,ProductType,17,"Inventory,Food,Restaurant,Starters,Vegeterian,",450,,,
Entree,ProductClass,1,"Inventory,Food,Restaurant,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/Entree.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Entree,",,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Entree,",,,,
Mix Veg,ProductType,4,"Inventory,Food,Restaurant,Entree,Vegeterian,",110,https://drive.google.com/file/d/1ck00uoIiKEXjtfN1K8Zx7xfA2Dsc5VeU/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/MixVeg.jpg,
Veg Handi,ProductType,5,"Inventory,Food,Restaurant,Entree,Vegeterian,",120,https://drive.google.com/file/d/1OMBGMs1tQ-dGKZ241ojy_oozXgbRceTn/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Handi.jpg,
Veg Kolhapuri,ProductType,6,"Inventory,Food,Restaurant,Entree,Vegeterian,",120,https://drive.google.com/file/d/1m1uzUXSxt9B7c1QZzLM8f5Xkfl5SnP3e/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegKolhapuri.jpg,
Methi Masala,ProductType,7,"Inventory,Food,Restaurant,Entree,Vegeterian,",120,https://drive.google.com/file/d/1dErgRMsOVhFdohv1aCOlsQvMfilDWgAc/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MethiMasala.jpeg.crdownload.jpg,
Methi Fry,ProductType,8,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,https://drive.google.com/file/d/1ubiSkyXx6gJaU3nPeySsDnRLLxAuRaN4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/MethiFry.jpg,
Gobi Masala,ProductType,9,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,https://drive.google.com/file/d/1COWKM46hafRmzQy4uTTfPIXcAvZaZF7a/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/GobiMasala.jpg,
Channa Masala,ProductType,10,"Inventory,Food,Restaurant,Entree,Vegeterian,",110,https://drive.google.com/file/d/1zu43HyOWcCtbEiFautjHXoAV5W7-hlR6/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChannaMasala.jpg,
Baigan Masala,ProductType,11,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,https://drive.google.com/file/d/1r4aTUAlIRkkqBI_OnVLcGAK3JW2VF6rk/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/baiganmasala.jpg,
Mushroom Masala,ProductType,12,"Inventory,Food,Restaurant,Entree,Vegeterian,",150,https://drive.google.com/file/d/1lxiJ7KE2cIt_oraf27eM76_VxZCeFywA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/MushroomMasala.jpg,
Green Pice Masala,ProductType,13,"Inventory,Food,Restaurant,Entree,Vegeterian,",110,https://drive.google.com/file/d/1CObDLFNiN338_ekqYFA8m0hsFk2s8Y7G/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/GreenPiceMasala.jpg,
Bhendi Masala,ProductType,14,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,https://drive.google.com/file/d/19fqIuFOUUhUgkG8ydZ2ZF_cSaIi2c7DT/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/BhendiMasala.jpg,
Plane Palak,ProductType,15,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,https://drive.google.com/file/d/1L4PV_ayX1e4fzg5oTXMUSBGKzxcQECLB/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/PlanePalak.jpg,
Aloo Mutter,ProductType,16,"Inventory,Food,Restaurant,Entree,Vegeterian,",110,https://drive.google.com/file/d/19YNKlvAvT3I_Fai-s4CDdCRupTBvXJTF/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AlooMutter.jpg,
Bhendi Masala,ProductType,17,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,https://drive.google.com/file/d/19fqIuFOUUhUgkG8ydZ2ZF_cSaIi2c7DT/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/BhendiMasala.jpg,
Lasooni Palak,ProductType,18,"Inventory,Food,Restaurant,Entree,Vegeterian,",120,https://drive.google.com/file/d/1wd34tOiwEH40Y43ac6jmf4GIv7o_46mv/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/LasooniPalak.jpg,
Pitla,ProductType,19,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,https://drive.google.com/file/d/1mPK1r78Wau5ACrhEFouKnqscoIsynmGe/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/Pitla.jpg,
Aloojeera,ProductType,20,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,https://drive.google.com/file/d/1QfX5Tmzxr_O8embpkhxdzOpbDRr6n6AJ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/AlooJeera.jpg,
Sev Bhaji,ProductType,21,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,https://drive.google.com/file/d/11FdfisCizLwICaPK_JTJ6NTS0iXA8WSw/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/SevBhaji.jpg,
Baigan Bharta,ProductType,22,"Inventory,Food,Restaurant,Entree,Vegeterian,",120,https://drive.google.com/file/d/1KDfimDOmvKJT-0PplaK058AVtionrKCa/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/BaiganBharta.jpg,
Thecha,ProductType,23,"Inventory,Food,Restaurant,Entree,Vegeterian,",50,https://drive.google.com/file/d/1hvgF1QY6mrGEnHI6SbksM7zq6fiHtlP9/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Thecha.jpg,
Umber Handi,ProductType,24,"Inventory,Food,Restaurant,Entree,Vegeterian,",180,https://drive.google.com/file/d/1W_FUtIhPK-h-8b8cXYWQe0MN3x7tCbP-/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/UmberHandi.jpg,
