label,nodeType,order,path,price,description,ingredients,link,imageLink
South Indian,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://drive.google.com/file/d/1ftRK6XcZLvpcsKlFAPWjEk0y74F3b1A8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01062022/SouthIndian.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,South Indian,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,South Indian,Vegeterian,",,,,,
Idli Sambar,ProductType,4,"Inventory,Food,Restaurant,South Indian,Vegeterian,",45,,"For Idli-Idli rice,Urd dal,Poha,salt & For Sambhar-Arhar ki dal,Turmeric powder,Mustard seeds,Onion & Tomato,Sambhar masala,Salt to taste,etc",https://drive.google.com/file/d/15LEAAHkEgCFvQych8dWeexRXmEYoiGzZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/IdliSambar.jpg
Vada Sambar,ProductType,5,"Inventory,Food,Restaurant,South Indian,Vegeterian,",45,,,https://drive.google.com/file/d/1qWlTcmEbLkSqU7LCBblzPUto7LP3i08I/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VadaSambar.jpg
Plain Dosa,ProductType,6,"Inventory,Food,Restaurant,South Indian,Vegeterian,",55,," soaked basmati rice,/ cup grated coconut, salt,Water, sunflower oil, urad dal,",https://drive.google.com/file/d/10plRQE3QzHB9B3sYn-Iln6caUOxUAyN-/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PlainDosa.jpg
Masala Dosa,ProductType,7,"Inventory,Food,Restaurant,South Indian,Vegeterian,",65,," cup parboiled rice,/ cup refined oil,/ cup urad dal,/ teaspoon fenugreek seeds, teaspoon salt & For Filling -/ kilograms boiled potato, / cup sliced onion, medium chopped green chilli,
 tablespoon mustard seeds, leaves curry leaves,/ teaspoon turmeric,/ cup watersalt as required etc.",https://drive.google.com/file/d/1_-oVk3t6Cho2sazbziKyWFSIPhSBbfKQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MasalaDosa.jpg
Cut Dosa,ProductType,8,"Inventory,Food,Restaurant,South Indian,Vegeterian,",65,,,https://drive.google.com/file/d/1l8pElnwn_LfSa3XWFCL_UOqoF0kED8Eb/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/CutDosa.jpg
Special Shiv Dosa,ProductType,9,"Inventory,Food,Restaurant,South Indian,Vegeterian,",85,,,,
Mini Uttappa,ProductType,10,"Inventory,Food,Restaurant,South Indian,Vegeterian,",45,,"- cups idli / dosa batter, onion, tomato, green chilies,- tbsp. coriander leaves,oil to shallow fry,etc.",https://drive.google.com/file/d/1tNF8BcoegGgtDuqO2hm1znKnX43II2Qp/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20102022/MiniUttappa.jpg
Onion Uttappa,ProductType,11,"Inventory,Food,Restaurant,South Indian,Vegeterian,",55,," onion,½ cup small onion, tablespoon chopped carrot, tablespoon chopped coriander, Green chilli chopped, teaspoon Oil per uttapam etc.",https://drive.google.com/file/d/1tM2Dw1K8XjlK4_duAdRFt6Un8RcZumFP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/OnionUttappa.jpg
