label,nodeType,order,path,price,description,link,imageLink
Breakfast,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Breakfast.jpg
Vegeterain,ProductLine,2,"Inventory,Food,Restaurant,Breakfast,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterain,ProductLine,2,"Inventory,Food,Restaurant,Breakfast,",,,,
Idli Sambar,ProductType,3,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",,,https://drive.google.com/file/d/15LEAAHkEgCFvQych8dWeexRXmEYoiGzZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/IdliSambar.jpg
Idli Vada,ProductType,4,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",,,https://drive.google.com/file/d/1a8DjWj-9MZr-g7cInbA_G23OamZdsMzi/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/IdliVada.jpeg
Vada Sambar,ProductType,5,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",,,https://drive.google.com/file/d/1qWlTcmEbLkSqU7LCBblzPUto7LP3i08I/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VadaSambar.jpg
Poha,ProductType,6,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",,,https://drive.google.com/file/d/1C1VIAEcUgAVE98U1_a1ZxX8cV2Twhf1E/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Poha.jpg
Upma,ProductType,7,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",,,https://drive.google.com/file/d/13GQTe4OiqscBJk7ZffGulypnLQLHUbGI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Upma.jpg
Sheera,ProductType,8,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",,,https://drive.google.com/file/d/1t3rhL9TIVK5bGfVTlUXlxsqMfVJ5oiwU/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Sheera.jpg
Poori Bhaji,ProductType,9,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",,,https://drive.google.com/file/d/1yqginAArPvE9cx0YfbV7y9ZnVr2vC9Vd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/PooriBhaji.jpg
Dosa Sada,ProductType,10,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",,,https://drive.google.com/file/d/1vlV4LZl5R6gHbW4lWqRaZmX3zU1eltoQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/DosaSada.jpg
Onion Dosa,ProductType,11,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",,,https://drive.google.com/file/d/17O5gjx5BoC4YznCPjrEmGXPr4xAjiT9v/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/OnionDosa.jpg
Jeera Dosa,ProductType,12,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",,,https://drive.google.com/file/d/1yjNmsa1lRUm3ZSkKwCxK-rEDl0QaTTOv/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/JeeraDosa.jpg
Onion+Jeera Dosa,ProductType,13,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",,,,
Butter Dosa,ProductType,14,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",,,https://drive.google.com/file/d/1FS7UDjRVGEOjLCoaFIdxiydPupGI1KLQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ButterDosa.jpg
Butter+Onion+Jeera Dosa,ProductType,15,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",,,https://drive.google.com/file/d/1exNZe8iJ86c6MNXIt4oM_8Avczv7EOdP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/ButterOnionJeeraDosa.jpeg
Masala Dosa,ProductType,16,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",,,https://drive.google.com/file/d/1_-oVk3t6Cho2sazbziKyWFSIPhSBbfKQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MasalaDosa.jpg
Butter Masala Dosa,ProductType,17,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",,,https://drive.google.com/file/d/1dXCIo4HLeYgbgKSxBacy30C-R4M24bNc/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ButterMasalaDosa.jpg
Butter Masala + Cheese Dosa,ProductType,18,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",,,https://drive.google.com/file/d/1twbqRr173rZMgWfmCp18TOQWzr9yL7DK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Buttermasalacheesedosa.jpg
Shivamrut Special Dosa,ProductType,19,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",,,https://drive.google.com/file/d/1jjgOvAAAEd40KM0d8Uryy-hRtXCrZ_wz/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/ShivamrutSpecialDosa.jpg
Uttapam Sada,ProductType,20,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",,,https://drive.google.com/file/d/1MYSV0uoRT0nQu24KAW_GF78e--l4i_ms/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/UttapamSada.jpg
Onion Uttapam,ProductType,21,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",,,https://drive.google.com/file/d/1XYLjQ91jrBZDsVC890XhoHxvPwRpF9o2/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/OnionUttapam.jpg
Butter Uttapam,ProductType,22,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",,,https://drive.google.com/file/d/1_j0rDQNnGJ7X3C37GR5Tfb_DzTdP279t/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/ButterUttapam.jpg
Upma Dosa,ProductType,23,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",,,https://drive.google.com/file/d/1MRrGTNua_YSCErmB7n0xObPrERptQFLG/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Upma-Dosa.jpg
Shabudana Khichadi,ProductType,24,"Inventory,Food,Restaurant,Breakfast,Vegeterain,",,,https://drive.google.com/file/d/14MWVIBIPPUnJ3-2Yjxx_C5ehceLS6FX1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/ShabudanaKhichadi.jpg
Desserts,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Desserts.jpg
Vegeterain,ProductLine,2,"Inventory,Food,Restaurant,Desserts,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterain,ProductLine,3,"Inventory,Food,Restaurant,Desserts,",,,,
