label,nodeType,order,path,price,description,ingredients,link,imageLink
Upma Masala Dosa,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://drive.google.com/file/d/1m5MHiyWcRDVZ2-E4PjOGUvFp5bQTt5C1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodAugust2022/UpmaMasalaDosa.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Upma Masala Dosa,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Upma Masala Dosa,",,,,,
Masala Dosa,ProductType ,4,"Inventory,Food,Restaurant,Upma Masala Dosa,Vegeterian,",60,,"2 Cups rice,1/2 cup black Gram (Dhuli Urad)(split and husked),1/2 tsp fenugreek seeds,2 tsp salt,Oil (for cooking dosas),500 gms potatoes (peeled and cubed), boiled,1 1/2 cups onions, sliced,2 green chillies (optional), finely chopped,2 tbsp oil,1 tsp mustard seeds,6-7 Curry leaves,2 tsp salt,1/4 tsp turmeric, powdered,1/2 cup water.",https://drive.google.com/file/d/1_-oVk3t6Cho2sazbziKyWFSIPhSBbfKQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MasalaDosa.jpg
Butter Masala Dosa,ProductType ,5,"Inventory,Food,Restaurant,Upma Masala Dosa,Vegeterian,",70,,"2 Cups rice,1/2 cup black Gram (Dhuli Urad)(split and husked),1/2 tsp fenugreek seeds,2 tsp salt,Oil (for cooking dosas),500 gms potatoes (peeled and cubed), boiled,1 1/2 cups onions, sliced,2 green chillies (optional), finely chopped,2 tbsp oil,1 tsp mustard seeds,6-7 Curry leaves,2 tsp salt,1/4 tsp turmeric, powdered,1/2 cup water,Butter.",https://drive.google.com/file/d/1dXCIo4HLeYgbgKSxBacy30C-R4M24bNc/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ButterMasalaDosa.jpg
Butter Cheese Masala Dosa,ProductType ,6,"Inventory,Food,Restaurant,Upma Masala Dosa,Vegeterian,",80,,"3 Cups rice,1/2 cup black Gram (Dhuli Urad)(split and husked),1/2 tsp fenugreek seeds,2 tsp salt,Oil (for cooking dosas),500 gms potatoes (peeled and cubed), boiled,1 1/2 cups onions, sliced,2 green chillies (optional), finely chopped,2 tbsp oil,1 tsp mustard seeds,6-7 Curry leaves,2 tsp salt,1/4 tsp turmeric, powdered,1/2 cup water,Butter.Cheese.",https://drive.google.com/file/d/1xgGDKMYUo9YGpMYnkCcYCpLYbggdp2hb/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220219/ButterCheeseMasalaDosa.jpg
Butter Paneer Masala Dosa,ProductType ,7,"Inventory,Food,Restaurant,Upma Masala Dosa,Vegeterian,",80,,"2 cups Paneer,1 Green Bell Pepper,1 Onion ,1 Green Chillies,1 Tomato,1/2 teaspoon Turmeric powder,1 teaspoon Cumin powder,1 teaspoon Red Chilli powder,1 teaspoon Sambar Powder,Salt , to taste,Mint Leaves (Pudina),1 tablespoon Herb Butter,3 cups Ragi Dosa Battter,Ghee , or oil for making dosa.",https://drive.google.com/file/d/1wScIc4MNOY-0dOdN1JmHbCMg5aXDJoJS/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodAugust2022/ButterPaneerMasalaDosa.jpg
Butter Cheese Paneer Dosa,ProductType ,8,"Inventory,Food,Restaurant,Upma Masala Dosa,Vegeterian,",90,,"2 cups Paneer,1 Green Bell Pepper,1 Onion ,1 Green Chillies,1 Tomato,1/2 teaspoon Turmeric powder,1 teaspoon Cumin powder,1 teaspoon Red Chilli powder,1 teaspoon Sambar Powder,Salt , to taste,Mint Leaves (Pudina),1 tablespoon Herb Butter,3 cups Ragi Dosa Battter,Ghee , or oil for making dosa,Cheese.",https://drive.google.com/file/d/1X3pch5een-yc1U4U9taznaXx4ubZg-vp/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodAugust2022/ButterCheesePaneerDosa.jpg
Butter Cheese Cream Dosa,ProductType ,9,"Inventory,Food,Restaurant,Upma Masala Dosa,Vegeterian,",100,,,https://drive.google.com/file/d/11eJU1u6SLQBjyvz6aVYM62G7BOMSXYgM/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodAugust2022/ButterCheeseCreamDosa.jpg
Butter Schezwan Dosa,ProductType ,10,"Inventory,Food,Restaurant,Upma Masala Dosa,Vegeterian,",80,,"2.5 to 3 cups dosa batter,¼ cup finely chopped spring onions greens,¼ cup chopped coriander leaves,⅓ cup finely chopped spring onion whites,⅓ cup finely chopped onions,⅓ cup finely chopped capsicum,½ cup grated carrot,½ cup finely chopped tomatoes,Schezwan Sauce as required,butter as required,oil for greasing the pan.",https://drive.google.com/file/d/192irx_mmgBmLyU9Q00wX4frB83HqbERA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodAugust2022/ButterSchezwanDosa.jpg
