label,nodeType,order,path,price,link,imageLink,description
Entree,ProductClass,1,"Inventory,Food,Restaurant,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/Entree.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Entree,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Entree,",,,,
Dal Fry Tadka,ProductType,3,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,https://drive.google.com/file/d/1xUs9_5MYgJssDXaWzfso5MG6QM9zhE6n/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DalFryTadka.jpg,
Dal Malai,ProductType,4,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,https://drive.google.com/file/d/14brKSoPkotQfiVi0aa9Wl1qYixh7hyu7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/DalMalai.jpg,
Dal Jeera,ProductType,5,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,https://drive.google.com/file/d/1HKjNJTKO7z4CsGo3c0ncwXAUS-FuxyFi/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/DalJeera.jpg,
Dal Tamata,ProductType,6,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,https://drive.google.com/file/d/1CtC9U0ej-m-d0Sa-33KZkczhkvZZMxev/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DalTamata.jpg,
Dal Methi,ProductType,7,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,https://drive.google.com/file/d/1nq9PyofwK5-hx9Dl-eJYxx9rubFxJeiX/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DalMethi.jpg,
Dal Palak,ProductType,8,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,https://drive.google.com/file/d/1g_Mioux3e6z1OOkqVDYIDisygH6as6td/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/dalpalak.jpg,
Dal Butter,ProductType,9,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,https://drive.google.com/file/d/1if-pYMO_R8hzk8amB0gZwHWntzmHzG6p/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DalButter.jpg,
Dal Paneer,ProductType,10,"Inventory,Food,Restaurant,Entree,Vegeterian,",120,https://drive.google.com/file/d/17qjkU0fTWB2g9blkQLX72gdrX8cNenwQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DalPaneer.jpg,
Aloo Rassa,ProductType,11,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,https://drive.google.com/file/d/16P6ptt8DW-AGIxyHbMfQy6b0NGrKf3-6/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AlooRassa.jpg,
Aloo Jeera,ProductType,12,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,https://drive.google.com/file/d/1THYyiuCKuYuJ9nypldTM9ak7Xm86NTfr/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/AlooJeera.jpg,
Aloo Matar,ProductType,13,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,https://drive.google.com/file/d/1RPW48BzzhnUcWMeSLM0JLisb-P-VDNi9/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AlooMatar.jpg,
Aloo Tamater,ProductType,14,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,https://drive.google.com/file/d/1hkn7LBKR0mX4x8EUwdjnyZ-DqtlticAI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AlooTamater.jpg,
Aloo Methi,ProductType,15,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,https://drive.google.com/file/d/15gA8gILheCEWu0zd0MSuWKyF2SBWY0-h/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AlooMethi.jpg,
Aloo Gobi Masala,ProductType,16,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,https://drive.google.com/file/d/1UozMvHOqkN4ZkBvn0XXrfi0r4Sxifhdq/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AlooGobiMasala.jpg,
Aloo Palak,ProductType,17,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,https://drive.google.com/file/d/1QCdqn4vqczWuJfL6Hdl1PbYizCzuTvk_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/AlooPalak.jpg,
Baingan Masala,ProductType,18,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,https://drive.google.com/file/d/1t2H1dy9c5XLC-Klr7-Qu3f5g7dNov68p/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/BainganMasala.jpg,
Baingan Bharta,ProductType,19,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,https://drive.google.com/file/d/1p1hVF5uv6Cxx_MJGmyE6eOa2Rywd4vUi/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/BainganBharta.jpg,
Baingan Tamatar,ProductType,20,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,https://drive.google.com/file/d/1_UaHBJAmJm5toZxvEaehkHdz-csUXlOc/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/BainganTamatar.jpg,
Baingan Rassa,ProductType,21,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,https://drive.google.com/file/d/1aldwdpDtkIDVEANx-WYs_5Ht6oXd_oVw/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/BainganRassa.jpg,
Baingan Varhadi,ProductType,22,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,https://drive.google.com/file/d/1wzErpBYVLdLaAVWTy10xvhEzdwiM9DbH/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/BainganVarhadi.jpg,
