label,nodeType,order,path,price,description,ingredients,link,imageLink,Swiggy ,Zomato
Rice,ProductClass,1,"Inventory,Food,Restaurant,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Rice.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Rice,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Rice,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,,
Jeera Rice,ProductType,4,"Inventory,Food,Restaurant,Rice,Vegeterian,",100,," bay leaf,cloves,green cardamom, big cardamom,green chili,
 and   salt,  chopped coriander leaves,  rice,  ghee,
 cinamom stick, and  water",https://drive.google.com/file/d/1-GF04qtXF6mVP48_0ek2Qj07ZNbdnEES/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/JeeraRice.jpg,,100
Steam Rice,ProductType,5,"Inventory,Food,Restaurant,Rice,Vegeterian,",90,,,https://drive.google.com/file/d/1JwfmCVcMa9KTZbWP9pCn79TsIEWL0c1s/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/SteamRice.jpg,,90
Veg Pulav,ProductType,6,"Inventory,Food,Restaurant,Rice,Vegeterian,",130,,"cauliflower  ,potato  ,onion  ,carrot  ,Cumin seeds  ,
Salt  ,Bay leaves  ,Cinnamon stick  ,Black pepper ",https://drive.google.com/file/d/1JVN_maOr1Clvt-SlU51QylwBcZng4liR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegPulav.jpg,,130
Dal Khichdi,ProductType,7,"Inventory,Food,Restaurant,Rice,Vegeterian,",120,,"  chana dal,  dhuli moong dal,  arhar dal,
  rice,  chopped ginger,  jeera,  hing,salt,
  mirch powder,  haldi,  water",https://drive.google.com/file/d/1eYgIjQw-U3ZGT8GEPhcg9KZJWnc7BvLu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DalKhichdi.jpg,,120
Namdev Rice,ProductType,8,"Inventory,Food,Restaurant,Rice,Vegeterian,",120,,,https://drive.google.com/file/d/1egVyzEE337E6PALyhgpLuHqJ0uV5nMyK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/NamdevRice.jpg,,120
Veg Fried Rice,ProductType,9,"Inventory,Food,Restaurant,Rice,Vegeterian,",120,,"Vegetable Oil ( I Preferred Rice bran oil)   Onion   carrots (Finley chopped)   additional veggies broccoli, cabbage, bell pepper, andor fresh or frozen peas( ) Minced Ginger (cloves) Minced Garlic   (to Taste) Salt   Boiled Rice  green onions Chopped Soy Sauce",https://drive.google.com/file/d/1bz2y7h_zxW5FIwkPU1ouPFuPXrxVdyrI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Fried-Rice.jpg,,120
Triple Fried Rice,ProductType,10,"Inventory,Food,Restaurant,Rice,Vegeterian,",150,,"Oil  ,ginger  ,garlic  ,green chilli  piece,onion  ,
capsicum  ,beans  ,carrot  ,Tomato sauce  ,
Green chilli sauce  ,Soya sauce  ",https://drive.google.com/file/d/16LBzwSWv9vLUaOqv6cMcQNGieedSH0VM/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/TripleFriedRice.jpg,,150
Noodles,ProductClass,1,"Inventory,Food,Restaurant,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/Noodles.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Noodles,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Noodles,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,,
Noodles Fried Rice,ProductType,4,"Inventory,Food,Restaurant,Noodles,Vegeterian,",115,,,https://drive.google.com/file/d/1LiEdzE04fQqjKCEQqrFW9GZVt-QLwxhD/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/NoodlesFriedRice.jpg,,115
Veg Hakka Noodles,ProductType,5,"Inventory,Food,Restaurant,Noodles,Vegeterian,",100,," oil,  size onion chopped,  crushed garlic and green chillies,
 carrot,  beans,  size capsicum,  chilli sauce,
  soya sauce,  Schezwan sauce,  mixed herbs",https://drive.google.com/file/d/1Q90LHM1ZJtlXVlbMoWnysu0n9Ip0TJG0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Hakka-Noodles.jpg,,100
Manchurian Noodles,ProductType,6,"Inventory,Food,Restaurant,Noodles,Vegeterian,",120,,,https://drive.google.com/file/d/19N-JQkUrPKu0oRyP7RY2aOh0gUT7yL3K/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ManchurianNoodles.jpg,,120
Roti and Naan,ProductClass,1,"Inventory,Food,Restaurant,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Roti.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Roti and Naan,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Roti and Naan,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,,
Tandoori Roti Plain,ProductType,4,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",15,,,https://drive.google.com/file/d/17zTnELdW6UqH_CiuidgCV5dEwXTzYEOF/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Tandoori-Roti-Plain.jpeg,,15
Tandoori Roti Butter,ProductType,5,"Inventory,Food,Restaurant,Roti and Naan,Vegeterian,",20,,,https://drive.google.com/file/d/1_djMamVGdxsSTj1bLZSJWx76mc-TrEiN/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/TandooriRotiButter.jpg,,20
