label,nodeType,order,path,price,description,link,imageLink,Zomato
Sandwich,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Sandwich.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Sandwich,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Sandwich,",,,,,
Veg Sandwich,ProductType ,4,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",90,,https://drive.google.com/file/d/1PlGgNGtrT2Yat2aVQ8fMrdt-7q3J88A0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegSandwich.jpg,92
Club Sandwich,ProductType ,5,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",110,,https://drive.google.com/file/d/1nxOABGgtnqg4YE7Te46VskBSU9f5Zh1F/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ClubSandwich.jpg,127
Cheese Sandwich,ProductType ,6,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",110,,https://drive.google.com/file/d/1lW9h6hrdRmST50JuFOfWtmn2GT8EazbV/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/CheeseSandwich.jpg,150
Veg Grilled Sandwich,ProductType ,7,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",110,,https://drive.google.com/file/d/1hIiP9PG7moeTEdr58OpsJTWciu9UAXWy/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegGrilledSandwich.jpg,
Toast Butter,ProductType ,8,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",80,,https://drive.google.com/file/d/1X2jYME92sAanMzXDEJR4CgowUEATOuod/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/ToastButter.jpg,
Cheese Garlic Chilly Toast,ProductType ,9,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",110,,https://drive.google.com/file/d/1cCLvJdAndVKUsDSpIkCMX6witTwLLp0Z/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food030822/CheeseGarlicChillyToast.jpg,
Tomato Cheese Sandwich,ProductType ,10,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",110,,https://drive.google.com/file/d/1pqvbWrS4AdsKJ5sxWjWBW316qUjLMJ9v/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food030822/TomatoCheeseSandwich.jpg,127
