label,nodeType,order,path,price,description,link,imageLink,Swiggy ,Zomato
Starters,ProductClass,1,"Inventory,Food,restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Starters.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,restaurant,Starters,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,restaurant,Starters,",,,,,,
Spring Rolls,ProductType,4,"Inventory,Food,restaurant,Starters,Vegeterian,",190,,https://drive.google.com/file/d/1hxbGSnpKCusp6TFoPKbe1dGQD6MZ8QHy/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/spring-rolls.jpg,,200
Dragon Rolls,ProductType,5,"Inventory,Food,restaurant,Starters,Vegeterian,",190,,https://drive.google.com/file/d/1hMjhq52jWgcEFBzL6FmDrDuaP-kpXeOb/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220216/DragonRolls.jpg,,200
Deep Fried Wanton,ProductType,6,"Inventory,Food,restaurant,Starters,Vegeterian,",190,,https://drive.google.com/file/d/1ZmNLKQFp3JKA9g1rXyT37WfZpQzAB6ES/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220216/DeepFriedWanton.jpg,,
Steamed Wanton,ProductType,7,"Inventory,Food,restaurant,Starters,Vegeterian,",190,,https://drive.google.com/file/d/18lXFN69ygb3-4WjYkU9S2oQJOrwaog0x/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220216/SteamedWanton.jpg,,
Crispy Fried Vegetable,ProductType,8,"Inventory,Food,restaurant,Starters,Vegeterian,",190,,https://drive.google.com/file/d/18kRGhsfjIKkXi63UGzWnetVxDHi9BowK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220216/CrispyFriedVegetable.jpg,,200
Veg Ball Hot Garlic,ProductType,9,"Inventory,Food,restaurant,Starters,Vegeterian,",190,,https://drive.google.com/file/d/1qa7wEBJBBvhyu0E4EFLuzokx2p5niccv/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220216/VegBallHotGarlic.jpg,,200
Chilly Crispy Potato,ProductType,10,"Inventory,Food,restaurant,Starters,Vegeterian,",190,,https://drive.google.com/file/d/1ryKyTtnITg7caR0MWl82zdcLvaKuo4Yt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220216/ChillyCrispyPotato.jpg,,
Crispy Garlic Butter Fry Baby Corn,ProductType,11,"Inventory,Food,restaurant,Starters,Vegeterian,",210,,https://drive.google.com/file/d/1qxB6oij6j69QoLq61nyZMxhJjh2NLNQf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220216/CrispyGarlicButterFryBabyCorn.jpg,,220
Crispy Garlic Mushroom,ProductType,12,"Inventory,Food,restaurant,Starters,Vegeterian,",210,,https://drive.google.com/file/d/1kTALv4pzMjiaW7WqxsPYen5vgw2-_mVD/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220216/CrispyGarlicMushroom.jpg,,220
Baby Corn Schezwan,ProductType,13,"Inventory,Food,restaurant,Starters,Vegeterian,",210,,https://drive.google.com/file/d/1q7DuRk4DyAG-0I4RLbsNMRtgRiTYT-Hh/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220216/BabyCornSchezwan.jpg,,220
Paneer Peprica,ProductType,14,"Inventory,Food,restaurant,Starters,Vegeterian,",250,,https://drive.google.com/file/d/1RnBJ_CLkTMdCXq9dvehGyFzyuwlvwv5e/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220216/PaneerPeprica.jpg,,
Paneer Chilli,ProductType,15,"Inventory,Food,restaurant,Starters,Vegeterian,",240,,https://drive.google.com/file/d/1Kk0U0y2YhiaEMjyJl-zWAzSE1Y1J7mHd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/Paneerchilli.jpg,,250
Paneer Hunan,ProductType,16,"Inventory,Food,restaurant,Starters,Vegeterian,",250,,https://drive.google.com/file/d/19WjM8p8AOxPcVflqd4swIrQ0kykexmV4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220216/PaneerHunan.jpg,,260
Paneer Schezwan,ProductType,17,"Inventory,Food,restaurant,Starters,Vegeterian,",250,,https://drive.google.com/file/d/19rUFjqvrPjc0B7V8CwPm3-rmuHQy9zo_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerSchezwan.jpg,,260
Paneer Crispy,ProductType,18,"Inventory,Food,restaurant,Starters,Vegeterian,",250,,https://drive.google.com/file/d/1TJp0KX-8wfgwRILDcIYKAlOmRFxEiX8y/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerCrispy.jpg,,260
Red Hot Dragon Paneer,ProductType,19,"Inventory,Food,restaurant,Starters,Vegeterian,",260,,https://drive.google.com/file/d/1bnIY-lzTSTTuqPzAsRVVdHrv16Sj9vvF/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220216/RedHotDragonPaneer.jpg,,270
Red Chilly Baby Corn,ProductType,20,"Inventory,Food,restaurant,Starters,Vegeterian,",220,,https://drive.google.com/file/d/1lkQduRciNgL2CljIO-rMzZA12XzdBG_d/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220216/RedChillyBabyCorn.jpg,,
Crispy Potato Black Bean Honey,ProductType,21,"Inventory,Food,restaurant,Starters,Vegeterian,",230,,https://drive.google.com/file/d/1bmbsG2Bl04DRnWzwu8uwK1NPDoENUvj_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220216/CrispyPotatoBlackBeanHoney.jpg,,240
Paneer Black Bean Honey,ProductType,22,"Inventory,Food,restaurant,Starters,Vegeterian,",250,,https://drive.google.com/file/d/1od3S2QKfHcEzlZFh16baJntVgZ0qdi91/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220216/PaneerBlackBeanHoney.jpg,,270
Veg Manchurian,ProductType,23,"Inventory,Food,restaurant,Starters,Vegeterian,",190,,https://drive.google.com/file/d/1JcRpKUkGtHAU_F6awJQH4SDEVFXNNJY_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegManchurian.jpg,,200
Gobi Manchurian,ProductType,24,"Inventory,Food,restaurant,Starters,Vegeterian,",190,,https://drive.google.com/file/d/1mgG8Dsqth64ofBMGNjgKK3jCOuEAatZF/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/GobiManchurian.jpg,,200
Veg Lasagna,ProductType,25,"Inventory,Food,restaurant,Starters,Vegeterian,",220,,https://drive.google.com/file/d/1j6SirxcmHothImhWm9nG2Ion8xDekeKf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/imgs-2/VegLasagna.jpg,,
Chicken Lasanga,ProductType,26,"Inventory,Food,restaurant,Starters,Vegeterian,",250,,https://drive.google.com/file/d/1i1yexiefzSZs5KrOUERqdRxPeQYzNLX7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220216/ChickenLasanga.jpg,,
Wild Mushroom Speghatti,ProductType,27,"Inventory,Food,restaurant,Starters,Vegeterian,",250,,https://drive.google.com/file/d/12-aoj2rtAAg_UewaKn76_NFp6AGnpwOQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220216/WildMushroomSpeghatti.jpg,,
Mac N Cheese,ProductType,28,"Inventory,Food,restaurant,Starters,Vegeterian,",280,,https://drive.google.com/file/d/16-4tJH88FnKLceioCq99JkzXJ407E-o4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220216/MacNCheese.jpg,,
