label,nodeType,order,path,price,ingredients,link,imageLink,description
Non Veg Chinese,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1_B3CX6BmbFOg8wJFXmxIXjDWa2UtHeIN/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/NonVegChinese.jpg,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,NonVegChinese,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,NonVegChinese,",,,,,
Chicken Lolipop 1 Piece,ProductType,3,"Inventory,Food,Restaurant,NonVegChinese,NonVegeterian,",15,"chicken, chili powder,chopped garlic, chopped green chile peppers,salt",https://drive.google.com/file/d/1sRKyFscag3bbjpAqK6JHGG8iCbVDTzmh/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenLolipop1Piece.jpg,
Chicken Lolipop 6 Piece,ProductType,4,"Inventory,Food,Restaurant,NonVegChinese,NonVegeterian,",90,"chicken ,salt,chili powder,chopped garli,green chile peppers,cornstarch",https://drive.google.com/file/d/1qbSL8QpcrlhsGeS4oFNk5AA3NoqnfJ2R/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenLolipop6Piece.png,
Chicken 65 250 Gm,ProductType,5,"Inventory,Food,Restaurant,NonVegChinese,NonVegeterian,",80,"chicken ,salt,chili powder,chopped garli,finely chopped green chile peppers,cornstarch",https://drive.google.com/file/d/1g1ydYnTImXdp8wjOWchI68YvNHjXCGkx/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Chicken65250Gm.jpg,
Chicken Leg Piece 1 Piece,ProductType,6,"Inventory,Food,Restaurant,NonVegChinese,NonVegeterian,",50,"chicken Leg Pcs, chili powder,chopped garlic, chopped green chile peppers,salt",https://drive.google.com/file/d/1ZPwLPkymdMaB1KnTYkuOyEQ_TVeHVO9X/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenLegPiece1Piece.jpg,
Breakfast,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Breakfast.jpg,
Vegeterian,ProductLine ,2,"Inventory,Food,Restaurant,Breakfast,",,,,,
NonVegeterian,ProductLine ,2,"Inventory,Food,Restaurant,Breakfast,",,,,,
Anda Omlet,ProductType,3,"Inventory,Food,Restaurant,Breakfast,NonVegeterian,",15,"egg,Red Chili Powder,onion,Tomato ,Salt", ,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AndaOmlet.jpg,
Boil Anda,ProductType,4,"Inventory,Food,Restaurant,Breakfast,NonVegeterian,",10,egg,https://drive.google.com/file/d/1t2EP2FoYBQnQx-KApULafeDGvrz5w19s/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/BoilAnda.jpg,
Rice,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Rice.jpg,
Vegeterian,ProductLine ,2,"Inventory,Food,Restaurant,Rice,",,,,,
NonVegeterian,ProductLine ,2,"Inventory,Food,Restaurant,Rice,",,,,,
Chicken Fried Rice,ProductType,3,"Inventory,Food,Restaurant,Rice,NonVegeterian,",50," chopped chicken meat,egg,cooked white rice,Black pepper,soy sauce, ground black pepper,vegetable oil",https://drive.google.com/file/d/1aSDZOExwwXDvxk_RoejlAzSDdSpOMH_a/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenFriedRice.jpg,
Chicken Fried Rice Half,ProductUnit,4,"Inventory,Food,Restaurant,Rice,NonVegeterian,Chicken Fried Rice,",30," chopped chicken meat,egg,cooked white rice,Black pepper,soy sauce, ground black pepper,vegetable oil",https://drive.google.com/file/d/101XEZpaP8uVwjLBGRgpoz7KtDVciHGNr/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenFriedRiceHalf.jpg,
Chicken Fried Rice Full,ProductUnit,5,"Inventory,Food,Restaurant,Rice,NonVegeterian,Chicken Fried Rice,",50," chopped chicken meat,egg,cooked white rice,Black pepper,soy sauce, ground black pepper,vegetable oil",https://drive.google.com/file/d/134wk3vS_3SaVNNuaQr_DgD-35uYkXUS3/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenFriedRiceFull.jpg,
Chicken Schezwan Rice,ProductType,6,"Inventory,Food,Restaurant,Rice,NonVegeterian,",60," chopped chicken meat,egg, cooked white rice,Schezwan Chutney,Black pepper,soy sauce,ground black pepper,vegetable oil,",https://drive.google.com/file/d/1qhlBeL0qw1qVJHTfNNlpSjtDE2cMntTk/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenSchezwanRice.jpg,
Chicken Schezwan Rice Half,ProductUnit,7,"Inventory,Food,Restaurant,Rice,NonVegeterian,Chicken Schezwan Rice,",35," chopped chicken meat,egg, cooked white rice,Schezwan Chutney,Black pepper,soy sauce,ground black pepper,vegetable oil,",https://drive.google.com/file/d/1oY_GmqQen2qZqQu-Pwb5kyWXv1KLN-GH/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenSchezwanRiceHalf.jpg,
Chicken Schezwan Rice Full,ProductUnit,8,"Inventory,Food,Restaurant,Rice,NonVegeterian,Chicken Schezwan Rice,",60," chopped chicken meat,egg, cooked white rice,Schezwan Chutney,Black pepper,soy sauce,ground black pepper,vegetable oil,",https://drive.google.com/file/d/18hYnh0v5bknsWQAES4M4jqWwoHZjWrZ8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenSchezwanRiceFull.jpg,
Chicken Singapur Rice,ProductType,9,"Inventory,Food,Restaurant,Rice,NonVegeterian,",80,"whole chicken,garlic,green onions, garlic, minced, cucumber, thinly sliced,rice, rinsed and drained",,,
Chicken Singapur Rice Half,ProductUnit,10,"Inventory,Food,Restaurant,Rice,NonVegeterian,Chicken Singapur Rice,",40,"whole chicken,garlic,green onions, garlic, minced, cucumber, thinly sliced,rice, rinsed and drained",https://drive.google.com/file/d/1EqL_ZAl-WABufxRytVj1K7qzFN9o5fvb/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenSingapurRiceHalf.jpg,
Chicken Singapur Rice Full,ProductUnit,11,"Inventory,Food,Restaurant,Rice,NonVegeterian,Chicken Singapur Rice,",80,"whole chicken,garlic,green onions, garlic, minced, cucumber, thinly sliced,rice, rinsed and drained",https://drive.google.com/file/d/1RSyV-74cq34VZWX_yiinJlCUxY1NEMy8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenSingapurRiceFull.jpg,
Chicken Hongkong Rice,ProductType,12,"Inventory,Food,Restaurant,Rice,NonVegeterian,",80,"rice, french beans, carrot,capsicum, onion,peppercorn,cooked, chopped chicken meat",https://drive.google.com/file/d/1gWE1ipJ9Jcl4Jz1Pb7pYATW6C0I6CwY4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenHongKongRice.jpeg,
Chicken Hongkong Rice Half,ProductUnit,13,"Inventory,Food,Restaurant,Rice,NonVegeterian,Chicken Hongkong Rice,",40,"rice, french beans, carrot,capsicum, onion,peppercorn,cooked, chopped chicken meat",https://drive.google.com/file/d/1m4zBAJeM-tv4ov9ITnUQJ5fn8aTql0I6/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenHongkongRiceHalf.jpg,
Chicken Hongkong Rice Full,ProductUnit,14,"Inventory,Food,Restaurant,Rice,NonVegeterian,Chicken Hongkong Rice,",80,"rice, french beans, carrot,capsicum, onion,peppercorn,cooked, chopped chicken meat",https://drive.google.com/file/d/1XWt5SLOZW6scFAgPFXcOa3Jks44b3qJp/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenHongkongRiceFull.jpg,
Chicken Dam Biryani,ProductType,15,"Inventory,Food,Restaurant,Rice,NonVegeterian,",50,"chopped chicken,rice,garam masala powder,ghee,water,beaten yoghurt ,ginger paste,garlic paste,salt as required,coriander leaves,red chilli powder",https://drive.google.com/file/d/1iXuF3ZmLsIic0j7DII5YE-sWJtkSaOoW/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenDamBiryani.jpg,
Noodles,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/Noodles.jpg,
Vegeterian,ProductLine ,2,"Inventory,Food,Restaurant,Noodles,",,,,,
NonVegeterian,ProductLine ,2,"Inventory,Food,Restaurant,Noodles,",,,,,
Chicken Hakka Noodles,ProductType,3,"Inventory,Food,Restaurant,Noodles,NonVegeterian,",60,"Millet Noodles, Chicken breasts,Onion,Green Bell Pepper,Carrot,Garlic,Red Chilli sauce,Salt ,Black pepper powder",https://drive.google.com/file/d/1RwZJOzUVrWP7EdvqdSkdx9XcWqhO77Xr/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenHakkaNoodles.jpg,
Chicken Hakka Noodles Half,ProductUnit,4,"Inventory,Food,Restaurant,Noodles,NonVegeterian,Chicken Hakka Noodles,",35,"Millet Noodles, Chicken breasts,Onion,Green Bell Pepper,Carrot,Garlic,Red Chilli sauce,Salt ,Black pepper powder",https://drive.google.com/file/d/1n8-bnetaOzBplJB6jNe-MWOQM8_HlBJq/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenHakkaNoodlesHalf.jpg,
Chicken Hakka Noodles Full,ProductUnit,5,"Inventory,Food,Restaurant,Noodles,NonVegeterian,Chicken Hakka Noodles,",60,"Millet Noodles, Chicken breasts,Onion,Green Bell Pepper,Carrot,Garlic,Red Chilli sauce,Salt ,Black pepper powder",https://drive.google.com/file/d/1RwZJOzUVrWP7EdvqdSkdx9XcWqhO77Xr/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenHakkaNoodles.jpg,
Chicken Schezwan Noodles,ProductType,6,"Inventory,Food,Restaurant,Noodles,NonVegeterian,",75,"Hakka noodles,boneless chicken breast,carrot,sized green and red capsicums,schezwan sauce,soy sauce,pepper powder,salt",https://drive.google.com/file/d/1usXndyIWtN7LDw77MfqQXnUk4yVEPBdv/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenSchezwanNoodles.jpg,
Chicken Schezwan Noodles Half,ProductUnit,7,"Inventory,Food,Restaurant,Noodles,NonVegeterian,Chicken Schezwan Noodles,",40,"Hakka noodles,boneless chicken breast,carrot,sized green and red capsicums,schezwan sauce,soy sauce,pepper powder,salt",https://drive.google.com/file/d/1wYPRo8m3M1kDuUrGpXsCiSv62Dj7ZmBK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenSchezwanNoodlesHalf.jpg,
Chicken Schezwan Noodles Full,ProductUnit,8,"Inventory,Food,Restaurant,Noodles,NonVegeterian,Chicken Schezwan Noodles,",75,"Hakka noodles,boneless chicken breast,carrot,sized green and red capsicums,schezwan sauce,soy sauce,pepper powder,salt",https://drive.google.com/file/d/1vSTsfhvVFoONulYDOLtyawCkczRSUpTc/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenSchezwanNoodlesFull.jpg,
