label,nodeType,order,path,price,description,link,imageLink,Swiggy ,Zomato 
Veg Dishes,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1xh3HA0oKEFX8nPR13zOPxm-XyBnFaWLA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/pendingInventoryImages/VegDishes.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Veg Dishes,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Veg Dishes,",,,,,,
Veg Tawa Pulao,ProductType,4,"Inventory,Food,Restaurant,Veg Dishes,Vegeterian,",150,,https://drive.google.com/file/d/1sxesBQ-VqW6l9S61gsdtutdKEFGr2srn/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220127/VegTawaPulao.jpg,,
Veg Pulao,ProductType,5,"Inventory,Food,Restaurant,Veg Dishes,Vegeterian,",120,,https://drive.google.com/file/d/1Q9y5vfasmuYAjDTQOc6uFluyeWQ-5t2O/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegPulao.jpg,,
Veg Kashmiri Pulao,ProductType,6,"Inventory,Food,Restaurant,Veg Dishes,Vegeterian,",160,,https://drive.google.com/file/d/1XCM3BoqMue_DQe_rK8nqIhjdXJcPwZ8C/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220127/VegKashmiriPulao.jpg,,
Veg Malai Kofta,ProductType,7,"Inventory,Food,Restaurant,Veg Dishes,Vegeterian,",180,,https://drive.google.com/file/d/1cK5RWuGhEqQLQQPNOC6YkJzulu5tvn_U/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220127/VegMalaiKofta.jpg,,
Veg Toofani,ProductType,8,"Inventory,Food,Restaurant,Veg Dishes,Vegeterian,",180,,https://drive.google.com/file/d/1zE_oBTfVDPwJDCamcOVvL0BTMDKvXdp7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Toofani.jpg,,
Veg Korma,ProductType,9,"Inventory,Food,Restaurant,Veg Dishes,Vegeterian,",180,,https://drive.google.com/file/d/1N-H6if-xq2SuKI84uKbX9XBaXsApHDst/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food03022022/VegKorma.jpg,,
Veg Kadai,ProductType,10,"Inventory,Food,Restaurant,Veg Dishes,Vegeterian,",150,,https://drive.google.com/file/d/1Qw5Oe1JTdDI6JvQhuyRuCTqULE1Jk_i8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Kadai.jpg,,
Veg Jaipuri,ProductType,11,"Inventory,Food,Restaurant,Veg Dishes,Vegeterian,",140,,https://drive.google.com/file/d/1W2iuySP3g-maGyGMgKdcXvF1XT3J1awp/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegJaipuri.jpg,,
Veg Kolhapuri,ProductType,12,"Inventory,Food,Restaurant,Veg Dishes,Vegeterian,",160,,https://drive.google.com/file/d/1m1uzUXSxt9B7c1QZzLM8f5Xkfl5SnP3e/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegKolhapuri.jpg,,
Veg Afgani,ProductType,13,"Inventory,Food,Restaurant,Veg Dishes,Vegeterian,",180,,https://drive.google.com/file/d/1zXwtxX9wKz0_0djrU0upyp1r3QXssxJ8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/VegAfgani.jpg,,
Aloo Shimla,ProductType,14,"Inventory,Food,Restaurant,Veg Dishes,Vegeterian,",120,,https://drive.google.com/file/d/1xG9fm_XgFyVQKwQ_F79zspba9RsGHrGR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/pendingInventoryImages/AlooShimla1.jpg,,
Aloo Mutter,ProductType,15,"Inventory,Food,Restaurant,Veg Dishes,Vegeterian,",80,,https://drive.google.com/file/d/19YNKlvAvT3I_Fai-s4CDdCRupTBvXJTF/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AlooMutter.jpg,80,
Chana Masala,ProductType,16,"Inventory,Food,Restaurant,Veg Dishes,Vegeterian,",100,,https://drive.google.com/file/d/1nZdItXvChE8U5tIvcRPEw-xj1k3IGUsu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/ChanaMasala.jpg,,
Mix Vegetable,ProductType,17,"Inventory,Food,Restaurant,Veg Dishes,Vegeterian,",130,,https://drive.google.com/file/d/1bCPEivgIo2NPhuhhL3nT0TDbp6-pm8Px/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MixVegetable.jpg,,
Dal Khichdi,ProductType,18,"Inventory,Food,Restaurant,Veg Dishes,Vegeterian,",100,,https://drive.google.com/file/d/1eYgIjQw-U3ZGT8GEPhcg9KZJWnc7BvLu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DalKhichdi.jpg,100,
Dal Tadka,ProductType,19,"Inventory,Food,Restaurant,Veg Dishes,Vegeterian,",90,,https://drive.google.com/file/d/14RUwq8nVglapT24psGzGu5oLTx-UOZB7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/DalTadka.jpg,,
Dal Fry,ProductType,20,"Inventory,Food,Restaurant,Veg Dishes,Vegeterian,",60,,https://drive.google.com/file/d/1K8tvnEHHFvnC05dq2Qx-p-dJ1RZDhOaK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/DalFry.jpg,60,
Dal Butter Tadka,ProductType,21,"Inventory,Food,Restaurant,Veg Dishes,Vegeterian,",100,,https://drive.google.com/file/d/1mLxbJy4YaEzVrOnvOcensvdjsRjHFLjr/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220127/DalButterTadka.jpg,,
Paneer Dishes,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1zO-z7UiTA9yMJ9Fskb2RnSjZ4sP2q6dv/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220127/PaneerDishes.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Paneer Dishes,",,,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Paneer Dishes,",,,,,,
Paneer Masala Fry,ProductType,4,"Inventory,Food,Restaurant,Paneer Dishes,Vegeterian,",160,,https://drive.google.com/file/d/1EhENRUM2QDgJFh0BEuxEIYZPDLM154kd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food03022022/PaneerMasalaFry.jpg,,
Paneer Kadai,ProductType,5,"Inventory,Food,Restaurant,Paneer Dishes,Vegeterian,",220,,https://drive.google.com/file/d/1XGINKnRA5noOl2-dVsUXFUaDbO_Zft62/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerKadai.jpg,,
Paneer Handi,ProductType,6,"Inventory,Food,Restaurant,Paneer Dishes,Vegeterian,",220,,https://drive.google.com/file/d/16FIXd77bHP3EkwponZbxdiXpg0NC_-Vi/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerHandi.jpg,,
Paneer Bhurji,ProductType,7,"Inventory,Food,Restaurant,Paneer Dishes,Vegeterian,",180,,https://drive.google.com/file/d/1LZZA3_svXkXtLnQWAZxfqenp_2-30QI-/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerBhurji.jpg,200,200
Paneer Finger,ProductType,8,"Inventory,Food,Restaurant,Paneer Dishes,Vegeterian,",180,,https://drive.google.com/file/d/19QWkA8g_657JvwMJ4iw8TgKe9L9h-yTI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food03022022/PaneerFinger.jpg,,
Paneer Tikka,ProductType,9,"Inventory,Food,Restaurant,Paneer Dishes,Vegeterian,",250,,https://drive.google.com/file/d/1PJwE1sbtvBu26CpKRTyXSOwWl4B0uAHa/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerTikka.jpg,,
Paneer Tikka Masala,ProductType,10,"Inventory,Food,Restaurant,Paneer Dishes,Vegeterian,",270,,https://drive.google.com/file/d/1BmyxNFwPwf7zpalxZOSRuGMcKOWv1EoQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerTikkaMasala.jpg,,
Paneer Angara,ProductType,11,"Inventory,Food,Restaurant,Paneer Dishes,Vegeterian,",280,,https://drive.google.com/file/d/1TWKrad110VxkZ1Kp11_hACH784etr3za/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerAngara.jpg,,
Paneer Hyderabadi,ProductType,12,"Inventory,Food,Restaurant,Paneer Dishes,Vegeterian,",220,,https://drive.google.com/file/d/1JncF2MHWmhC7EuWmS8Co4PzS3tiZesZe/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerHyderabadi.jpg,,
Paneer Butter Masala,ProductType,13,"Inventory,Food,Restaurant,Paneer Dishes,Vegeterian,",120,,https://drive.google.com/file/d/1hxW4pcTbsHP6Ql9I_VfGsXwGKF6m006R/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerButterMasala.jpg,180,
Paneer Korma,ProductType,14,"Inventory,Food,Restaurant,Paneer Dishes,Vegeterian,",120,,https://drive.google.com/file/d/1sSGBvjid3WBgEltnKD5QHVuAtbIhdS0u/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food122021/PaneerKorma.jpg,,
Paneer Matar,ProductType,15,"Inventory,Food,Restaurant,Paneer Dishes,Vegeterian,",120,,https://drive.google.com/file/d/1xtwc07SgtCQwFufvOIMV_4LWTnQ6TibD/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food03022022/PaneerMatar.jpg,,140
Paneer Roasted Dry,ProductType,16,"Inventory,Food,Restaurant,Paneer Dishes,Vegeterian,",300,,https://drive.google.com/file/d/18DPP7ZAn3Nbe5DnxsWGpGQ1Dcz88CJ3G/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food03022022/PaneerRoastedDry.JPG,,
