label,nodeType,order,path,price,description,link,imageLink,Zomato,Swiggy
Grilled Sandwich,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1SlsTlyhf9GK7x2o6o_bFGOjVDKwulYzN/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/GrilledSandwich.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Grilled Sandwich,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Grilled Sandwich,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,,
Veg Delight Sandwich,ProductType,4,"Inventory,Food,Restaurant,Grilled Sandwich,Vegeterian,",70,,https://drive.google.com/file/d/1YGCqH46Ate7QwzPSAJdas5q1zLgOOYCt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/VegDelightSandwich.jpg,,90
Veg Supreme Sandwich,ProductType,5,"Inventory,Food,Restaurant,Grilled Sandwich,Vegeterian,",80,,https://drive.google.com/file/d/1SCMG-_bNYktS9nnQsQns8BnvKbPBSesQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/VegSupremeSandwich.jpg,,90
Veg Schezwan Sandwich,ProductType,6,"Inventory,Food,Restaurant,Grilled Sandwich,Vegeterian,",75,,https://drive.google.com/file/d/15tjRXJuVEEJRSMmnG2lew9n_egYMZaTv/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Schezwan-Sandwich.jpg,,90
Jain Sandwich,ProductType,7,"Inventory,Food,Restaurant,Grilled Sandwich,Vegeterian,",75,,https://drive.google.com/file/d/1AuwYs5xmW5DzQQZ8h2sa8yNAbfwWFdYQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220217/JainSandwich.jpg,,90
Corn Delight Sandwich,ProductType,8,"Inventory,Food,Restaurant,Grilled Sandwich,Vegeterian,",75,,https://drive.google.com/file/d/1XM3EbN8ysrJMCbsmkcL4sTGenC9DlSMN/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/CornDelightSandwich.jpg,90,90
Paneer Delight Sandwich,ProductType,9,"Inventory,Food,Restaurant,Grilled Sandwich,Vegeterian,",90,,https://drive.google.com/file/d/1MGqzVGXD9HCISMxvDuPzHLD_cfrVfN4H/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/PaneerDelightSandwich.jpg,120,120
Exotic Paneer Tikka Sandwich Spicy,ProductType,10,"Inventory,Food,Restaurant,Grilled Sandwich,Vegeterian,",110,,https://drive.google.com/file/d/1zghgnT2x4mD7OYKmFmneUmpzSZxerHQs/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01062022/ExoticPaneerTikkaSandwichSpicy.jpg,,
Paneer Bbq Sandwich,ProductType,11,"Inventory,Food,Restaurant,Grilled Sandwich,Vegeterian,",100,,https://drive.google.com/file/d/15WjPG099k4cJPF0vVFzdbJE0KW29-NOa/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220524/PaneerBbqSandwich.jpg,120,120
Veg Pasta Sandwich,ProductType,12,"Inventory,Food,Restaurant,Grilled Sandwich,Vegeterian,",90,,https://drive.google.com/file/d/1u5iKsJlKbZmf1kp1GLifCdn7xLs_AoIG/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220524/VegPastaSandwich.jpg,,
Garlic Cheese Chilli Sandwich,ProductType,13,"Inventory,Food,Restaurant,Grilled Sandwich,Vegeterian,",90,,https://drive.google.com/file/d/1_xpiIYgItNHmqPIQg1agPlj7vHg4Hbzw/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food1415062022/GarlicCheeseChilliSandwich.jpg,100,
