label,nodeType,order,path,price,ingredients,link,imageLink,description
Rice,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Rice.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Rice,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Rice,",,,,,
Veg Fried Rice,ProductType,3,"Inventory,Food,Restaurant,Rice,Vegeterian,",40,"rice,soy sauce,capsicum,cabbage,onion, ginger-garlic paste,salt,oil",https://drive.google.com/file/d/1bz2y7h_zxW5FIwkPU1ouPFuPXrxVdyrI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Fried-Rice.jpg,
Veg Fried Rice Half,ProductUnit,4,"Inventory,Food,Restaurant,Rice,Vegeterian,Veg Fried Rice,",20,"rice,soy sauce,capsicum,cabbage,onion,ginger-garlic paste,salt,oil",https://drive.google.com/file/d/1B4egQaFhBCqXzznAr7Ltk_AwXO-2Qsee/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Fried-Rice-Half.jpg,
Veg Fried Rice Full,ProductUnit,5,"Inventory,Food,Restaurant,Rice,Vegeterian,Veg Fried Rice,",40,"rice,soy sauce,capsicum,cabbage,onion,ginger-garlic paste,salt,oil",https://drive.google.com/file/d/1KY5u59qqYcO2b5YzHONrSAcfOYgrb-9m/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegFriedRiceFull.jpg,
Veg Schezwan Rice,ProductType,6,"Inventory,Food,Restaurant,Rice,Vegeterian,",50,"Rice,Mixed Vegetables,Garlic,Schezwan Sauce",https://drive.google.com/file/d/1-I-WSFeFbKd9hlnc9-xzXQYn5XKPgbKD/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegSchezwanRice.jpg,
Veg Schezwan Rice Half,ProductUnit,7,"Inventory,Food,Restaurant,Rice,Vegeterian,Veg Schezwan Rice,",30,"Rice,Mixed Vegetables,Garlic,Schezwan Sauce",https://drive.google.com/file/d/1D_RXfGGX9-IXd_hUYg2ZunYwiB-Wbob1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Schezwan-Rice-Half.jpg,
Veg Schezwan Rice Full,ProductUnit,8,"Inventory,Food,Restaurant,Rice,Vegeterian,Veg Schezwan Rice,",50,"Rice,Mixed Vegetables,Garlic,Schezwan Sauce",https://drive.google.com/file/d/1B0wNiPGpAwHsTLif9knLsmKKFE2LErEu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Schezwan-Rice-Full.jpg,
Veg  Singapur Rice,ProductType,9,"Inventory,Food,Restaurant,Rice,Vegeterian,",50,"rice,garlic,spring onions,bell peppers,peri peri sauce,chilli garlic sauce,light soya sauce",,,
Veg Singapur Rice Half,ProductUnit,10,"Inventory,Food,Restaurant,Rice,Vegeterian,Veg  Singapur Rice,",30,"rice,garlic,spring onions,bell peppers,peri peri sauce,chilli garlic sauce,light soya sauce",https://drive.google.com/file/d/129YyKeCX5bkGeWnUFLvQjiATEmm7ky61/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Singapore-Rice-Half.jpg,
Veg Singapur Rice Full,ProductUnit,11,"Inventory,Food,Restaurant,Rice,Vegeterian,Veg  Singapur Rice,",50,"rice,garlic,spring onions,bell peppers,peri peri sauce,chilli garlic sauce,light soya sauce",https://drive.google.com/file/d/1hfsMiHIpyA4pdH6CW0FkDplTNF8ehYHZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Singapur-Rice-Full.jpg,
Veg Hongkong Rice,ProductType,12,"Inventory,Food,Restaurant,Rice,Vegeterian,",70,"cooked rice,french beans,carrot,capsicum,onion,soy sauce,red chilli sauce,peppercorn crushed",https://drive.google.com/file/d/1tm51IijIFlGCGm3mo_gvQrAdv9B0MxzE/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Hong-Kong-Rice.jpg,
Veg Hongkong Rice Half,ProductUnit,13,"Inventory,Food,Restaurant,Rice,Vegeterian,Veg Hongkong Rice,",40,"cooked rice,french beans,carrot,capsicum,onion,soy sauce,red chilli sauce,peppercorn crushed",https://drive.google.com/file/d/1-noufQKmDo7zBR8UqQyQwAJZ8Q1-SBfK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Hongkong-Rice-Half.jpg,
Veg Hongkong Rice Full,ProductUnit,14,"Inventory,Food,Restaurant,Rice,Vegeterian,Veg Hongkong Rice,",70,"cooked rice,french beans,carrot,capsicum,onion,soy sauce,red chilli sauce,peppercorn crushed",https://drive.google.com/file/d/1XA_-iEcL7hrn9-A15HM8A0kiU_sJ4gQN/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Hongkong-Rice-Full.jpg,
Veg Tripple Rice,ProductType,15,"Inventory,Food,Restaurant,Rice,Vegeterian,",90,"rice,Boiled Noodles,Carrots,Shredded,Spring onion chopped,Garlic",https://drive.google.com/file/d/1mzNSff6I9zOqF5Re0HH4M1NYnzbubdv0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Tripple-Rice.jpg,
Veg Tripple Rice Half,ProductUnit,16,"Inventory,Food,Restaurant,Rice,Vegeterian,Veg Tripple Rice,",50,"rice,Boiled Noodles,Carrots,Shredded,Spring onion chopped,Garlic",https://drive.google.com/file/d/1c2fq4U4KEC-_N9F2nG7rtN8AaJzKji2P/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Tripple-Rice-Half.jpg,
Veg Tripple Rice Full,ProductUnit,17,"Inventory,Food,Restaurant,Rice,Vegeterian,Veg Tripple Rice,",90,"rice,Boiled Noodles,Carrots,Shredded,Spring onion chopped,Garlic",https://drive.google.com/file/d/1JF3SCFLl8QrkiMwOyioDc0AqoPYrcUS5/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Tripple-Rice-Full.jpg,
Noodles,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/Noodles.jpg,
