label,nodeType,order,path,price,description,link,imageLink,Zomato
Pizza,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food1/pizza.jpg,
Vegeterian,ProductLine ,2,"Inventory,Food,Restaurant,Pizza,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine ,3,"Inventory,Food,Restaurant,Pizza,",,,,,
Bread Pizza,ProductType,4,"Inventory,Food,Restaurant,Pizza,Vegeterian,",110,,https://drive.google.com/file/d/1jZ9T1Qzbz215ZOwew0J9vlwUFveLoA6s/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/BreadPizza.jpg,110
Onion Capsicum Pizza,ProductType,5,"Inventory,Food,Restaurant,Pizza,Vegeterian,",120,,https://drive.google.com/file/d/1SUf6jYdstoPHcr9gWMnpn92dvtOVZ04t/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/OnionCapsicumPizza.jpg,
Veg Cheese Pizza,ProductType,6,"Inventory,Food,Restaurant,Pizza,Vegeterian,",130,,https://drive.google.com/file/d/1UFOQLI5i5KUwUIcCqJbFbheY3m10p-o9/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Cheese-Pizza.jpg,
Cheese Burst Pizza,ProductType,7,"Inventory,Food,Restaurant,Pizza,Vegeterian,",150,,https://drive.google.com/file/d/1ODzpyHsBYlJzSe7PpXjikJvkrTIfeU3n/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/CheeseBurstPizza.jpg,
Golden Corn Pizza,ProductType,8,"Inventory,Food,Restaurant,Pizza,Vegeterian,",130,,https://drive.google.com/file/d/1g8tPGH9nypbJpDl8OzpjdAAkOKLDhtig/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/GoldenCornPizza.jpg,140
Cheese Schezwan Pizza,ProductType,9,"Inventory,Food,Restaurant,Pizza,Vegeterian,",150,,https://drive.google.com/file/d/1uTphA32IBNb_eVdl0Dyp2jtfKWnukZ_n/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/CheeseSchezwanPizza.jpg,150
Margherita Pizza,ProductType,10,"Inventory,Food,Restaurant,Pizza,Vegeterian,",120,,https://drive.google.com/file/d/1KXIyjmMNTjfzRPrpG1lV1FB59-ItEwbd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MargheritaPizza.jpg,120
Cheese and Paneer Pizza,ProductType,11,"Inventory,Food,Restaurant,Pizza,Vegeterian,",160,,https://drive.google.com/file/d/1gPvDXMG4pbjkCBOnS3-hGQbScELmDMGM/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/CheeseAndPaneerPizza.jpg,160
Cheese Schezwan and Paneer Pizza,ProductType,12,"Inventory,Food,Restaurant,Pizza,Vegeterian,",170,,https://drive.google.com/file/d/1lpLeHp4DJj51bQ7k7IpDIdzUIBZwZ0rn/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/CheeseSchezwanPaneerPizza.jpg,170
Mexican Pizza,ProductType,13,"Inventory,Food,Restaurant,Pizza,Vegeterian,",130,,https://drive.google.com/file/d/18WYeiymPBNdiz17l3XV1_nl3GJ1VAc4v/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MexicanPizza.jpg,140
Condiment Delight Pizza,ProductType,14,"Inventory,Food,Restaurant,Pizza,Vegeterian,",130,,https://drive.google.com/file/d/1dHnHQo0IqE6iX6xxg6wQT7RfREPfkAaQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/CondimentDelightPizza.jpg,130
