label,nodeType,order,path,price,description,ingredients,link,imageLink,Zomato
Sandwich,ProductClass,1,"Inventory,Food,Restaurant,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Sandwich.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Sandwich,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Sandwich,",,,,,,
Bread Butter,ProductType,4,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",25,,"Bread -2,Onion -1,Tomato -1,Butter -4 tsp",https://drive.google.com/file/d/14FRb1qE5r6vwLMr-r43KXWtC8mgem1_1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/BreadButter.jpg,25
Plain Cheese Sandwich,ProductType,5,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",50,,"9ounce of grated cheese,1 medium carrot finely grated,
1tbsp mayonnaise,1tsp grated onion,3tbsp butter,
1tsp pepper sauce,1tsp mustard,1 pack White floured bread sliced",https://drive.google.com/file/d/1xXInVJvZ5xAn-OhnMMF5dZkYHUqSbwTF/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/PlainCheeseSandwich.jpg,50
Plain Cheese Toast Sandwich,ProductType,6,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",60,,"Bread slices 6,Grated cheese 2 tablespoons,
Grated cucumber 2 tablespoons,Black pepper powder 1/2 teaspoon,Salt 1/2 teaspoon,Butter 1 tablespoon",https://drive.google.com/file/d/1LWpPiGiVk6eQPiE86A84b4c2FaV6Xo1J/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01062022/PlainCheeseToastSandwich.jpg,60
Chilly Cheese Toast,ProductType,7,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",60,,"Bread Slices 5 nos,Green chilly 2 nos,Jeera / cumin pwd 1/4 tsp,
Fresh cream 2 tsp,Paprika pwd 1/4 tsp,Chopped tomatoes- 2 tbsp",https://drive.google.com/file/d/1HH9NXfsUS0ucPOb_mzCmaSTG2eua324Q/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220216/ChillyCheeseToast.jpg,60
Jam Toast Sandwich,ProductType,8,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",40,,"Bread 5-6,Boiled potatoes 4,Salt 1 teaspoon,Red chilly powder 1/2 teaspoon,Chilly flakes 1 teaspoon,Mix herbs 1/2 teaspoon,
Mozeralla cheese 10-20 cubes,Onion 1,Bread crumbs 1/2 cup",https://drive.google.com/file/d/1p0NjEYTtVevZ11IbK31hSNeVwNFcLwez/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/JamToastSandwich.jpg,40
Veggie Toast Sandwich,ProductType,9,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",45,,"6bread slices,1cup leftover veggie,1chopped carrot,
1 cup hung curd,1 tsp orgeano,1 tsp black pepper,
1 tsp salt,1 tsp chat masala,1 tbsp mayonnaise,
1 tbsp tomato sauce",https://drive.google.com/file/d/1FL1HKCL-HruubEHqeFVDdeFz4e-6uVQU/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01062022/VeggieToastSandwich.jpg,45
Sada Sandwich,ProductType,10,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",40,,"Bread pieces 8,onion 2,Tomato 2,Kali mirchi 1/4 TBS,
Namak 1/4tbs,Chat masala 1/2 TBS",https://drive.google.com/file/d/13SJKvMi8_X_swQBiyMrEijmPTO0o-R1M/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01062022/SadaSandwich.jpg.crdownload.jpg,40
