label,nodeType,order,path,price,description,link,imageLink,Swiggy ,Zomato
Pizza,ProductClass,1,"Inventory,Food,Cafe,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food1/pizza.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Cafe,Pizza,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,2,"Inventory,Food,Cafe,Pizza,",,,,,,
Classic Cheese,ProductType,3,"Inventory,Food,Cafe,Pizza,Vegeterian,",130,Only Cheese and Shezwan ,https://drive.google.com/file/d/1ovbT2lHkksymjLw2XZUg2Wcuh98qiqqJ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/ClassicCheese.jpg,,130
Classic Cheese,ProductType,4,"Inventory,Food,Cafe,Pizza,Vegeterian,",160,Only Cheese and Shezwan ,https://drive.google.com/file/d/1ovbT2lHkksymjLw2XZUg2Wcuh98qiqqJ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/ClassicCheese.jpg,,
Cheese Pizza,ProductType,5,"Inventory,Food,Cafe,Pizza,Vegeterian,",150,"Onion,Tomato,Capsicum ",https://drive.google.com/file/d/1ibAkshRwNBPDtYX3ZUruYo60WtRPYT-G/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/CheesePizza.jpg,,150
Cheese Pizza,ProductType,6,"Inventory,Food,Cafe,Pizza,Vegeterian,",180,"Onion,Tomato,Capsicum ",https://drive.google.com/file/d/1ibAkshRwNBPDtYX3ZUruYo60WtRPYT-G/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/CheesePizza.jpg,,
Onion Cappsicum Pizza,ProductType,7,"Inventory,Food,Cafe,Pizza,Vegeterian,",140,"Onion,Capsicum,Cheese",https://drive.google.com/file/d/1a_ennNhdneG86fd3dXgEOFiBrY7UIiX8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/OnionCappsicumPizza.jpg,,140
Onion Cappsicum Pizza,ProductType,8,"Inventory,Food,Cafe,Pizza,Vegeterian,",170,"Onion,Capsicum,Cheese",https://drive.google.com/file/d/1a_ennNhdneG86fd3dXgEOFiBrY7UIiX8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/OnionCappsicumPizza.jpg,,
Tandori Paneer Pizza,ProductType,9,"Inventory,Food,Cafe,Pizza,Vegeterian,",160,"Onion,Capsicum,Tomato,Paneer ",https://drive.google.com/file/d/1sxqZJ3_8so28ELi07R6Gml22CQhG68-8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/TandoriPaneerPizza.jpg,,160
Tandori Paneer Pizza,ProductType,10,"Inventory,Food,Cafe,Pizza,Vegeterian,",190,"Onion,Capsicum,Tomato,Paneer ",https://drive.google.com/file/d/1sxqZJ3_8so28ELi07R6Gml22CQhG68-8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/TandoriPaneerPizza.jpg,,
Jain Paneer Pizza,ProductType,11,"Inventory,Food,Cafe,Pizza,Vegeterian,",140,"Tomato,Capsicum,Cheese ",https://drive.google.com/file/d/1NqM1rLAAsNgmeZWinuBoFA-d6iHWb1E8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/JainPaneerPizza.jpg,,140
Jain Paneer Pizza,ProductType,12,"Inventory,Food,Cafe,Pizza,Vegeterian,",170,"Tomato,Capsicum,Cheese ",https://drive.google.com/file/d/1NqM1rLAAsNgmeZWinuBoFA-d6iHWb1E8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/JainPaneerPizza.jpg,,
Spicy Dilight Pizza,ProductType,13,"Inventory,Food,Cafe,Pizza,Vegeterian,",150,"Jalapino,Cappsicum,Cheese ",https://drive.google.com/file/d/1hbyZNaNPyFsf0WLgGD9bPQLJhCvPAGKZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/SpicyDilightPizza.jpg,,150
Spicy Dilight Pizza,ProductType,14,"Inventory,Food,Cafe,Pizza,Vegeterian,",180,"Jalapino,Cappsicum,Cheese ",https://drive.google.com/file/d/1hbyZNaNPyFsf0WLgGD9bPQLJhCvPAGKZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/SpicyDilightPizza.jpg,,
Maxicum Pizza,ProductType,15,"Inventory,Food,Cafe,Pizza,Vegeterian,",160,"Onion,Capsicum,Black Olive,Sweet Corn,Cheese ",https://drive.google.com/file/d/1YDkrXkJRpnu9ny51KRPR0vWwG0QpsUsQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/MaxicumPizza.jpg,,160
Maxicum Pizza,ProductType,16,"Inventory,Food,Cafe,Pizza,Vegeterian,",200,"Onion,Capsicum,Black Olive,Sweet Corn,Cheese ",https://drive.google.com/file/d/1YDkrXkJRpnu9ny51KRPR0vWwG0QpsUsQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/MaxicumPizza.jpg,,
American Corn Pizza,ProductType,17,"Inventory,Food,Cafe,Pizza,Vegeterian,",160,"Capsicum,Sweet Corn, Baby Corn",https://drive.google.com/file/d/1rzGBiRINR9wwFa19IIzoaCVTBEBh7D9u/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/AmericanCornPizza.jpg,,160
American Corn Pizza,ProductType,18,"Inventory,Food,Cafe,Pizza,Vegeterian,",200,"Capsicum,Sweet Corn, Baby Corn",https://drive.google.com/file/d/1rzGBiRINR9wwFa19IIzoaCVTBEBh7D9u/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/AmericanCornPizza.jpg,,
Margerita Pizza,ProductType,19,"Inventory,Food,Cafe,Pizza,Vegeterian,",170,"Black Olive,Sweet Corn, Paneer Capsicum,Jalapino",https://drive.google.com/file/d/1GHNwNit2d46jcZjMoA_RO1GQxZisCXSY/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MargeritaPizza.jpg,,170
Margerita Pizza,ProductType,20,"Inventory,Food,Cafe,Pizza,Vegeterian,",210,"Black Olive,Sweet Corn, Paneer Capsicum,Jalapino",https://drive.google.com/file/d/1GHNwNit2d46jcZjMoA_RO1GQxZisCXSY/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MargeritaPizza.jpg,,
Cafe Special Pizza,ProductType,21,"Inventory,Food,Cafe,Pizza,Vegeterian,",200,"With All Toppings,Cheese ",https://drive.google.com/file/d/1mr8WjrYSwV9wddc-lh3RcedNbJo8bak4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/CaféSpecialPizza.jpg,,200
Cafe Special Pizza,ProductType,22,"Inventory,Food,Cafe,Pizza,Vegeterian,",250,"With All Toppings,Cheese ",https://drive.google.com/file/d/1mr8WjrYSwV9wddc-lh3RcedNbJo8bak4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/CaféSpecialPizza.jpg,,
Chilli Tost Bread Pizza,ProductType,23,"Inventory,Food,Cafe,Pizza,Vegeterian,",70,,https://drive.google.com/file/d/1_7_AQEkQw3opwDcc5dPVAfFUIlSbrrve/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/ChilliTostBreadPizza.jpg,,70
