label,nodeType,order,path,price,ingredients,link,imageLink,description
Snacks,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/Smiley.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Snacks,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Snacks,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,
Aloo Pakoda,ProductType,4,"Inventory,Food,Restaurant,Snacks,Vegeterian,",90," potatoes, senagapindibesan flour,
Tablespoon salt,Tablespoon red chilly powder,
Pinch inguaasafoteida, vaamuajwain,
 water, oil,Pinch soda uppubaking soda",https://drive.google.com/file/d/1uWwVdDLBut5h078Fs6FNOy_Uq44xxECR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AlooPakoda.jpg,
Paneer Pakoda,ProductType,5,"Inventory,Food,Restaurant,Snacks,Vegeterian,",120,"  paneer cubes,  Carom seeds,  chilli powder,
  aamchur powder,  paneer masala,
  coriander powder,  oil for frying,  baking soda,
  salt, pinch of hing,  bengal gram",https://drive.google.com/file/d/1GXXvajp0oAFz1nuXU7rs31No579wKwgl/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerPakoda.jpg,
Onion Pakoda,ProductType,6,"Inventory,Food,Restaurant,Snacks,Vegeterian,",100,"Red onion ,  pepper,  salt,  red chilly powder,
  turmeric powder, pinch soda,   gram flour,
  water,  oil for frying",https://drive.google.com/file/d/1GSiQ3dldo8AURsDTZvnk5venQv5TLYWe/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/OnionPakoda.jpg,
Bhajiye,ProductType,7,"Inventory,Food,Restaurant,Snacks,Vegeterian,",90,,https://drive.google.com/file/d/13PaCpoFCFj0Uox64YLaDPA3yU9AOvEgZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/Bhajiye.jpg,
Finger Chips,ProductType,8,"Inventory,Food,Restaurant,Snacks,Vegeterian,",80,"  sized potato ( finger chopped),Oil  for deep fry,salt  ,
Black pepper  ",https://drive.google.com/file/d/1WqsZvM7FYMNNTf5L-ia1UO8zPhtnxOAt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/FingerChips.jpg,
Breakfast,ProductClass,9,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Breakfast.jpg,
Vegeterian,ProductLine,1,"Inventory,Food,Restaurant,Breakfast,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Snacks,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,
Upma,ProductType,3,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",30,"Rava  ,Boiled Vegetables (pea, carrot, beans, cabbage, capsicum etc)  ,
Peanuts (roasted)  ,Onion (chopped)  ,Coriander  ,
Green chilly  , mustard seeds  ,Asafoetida  pinch,Carry leaf  ,
Oil  ,Water  ",https://drive.google.com/file/d/13GQTe4OiqscBJk7ZffGulypnLQLHUbGI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Upma.jpg,
Sheera,ProductType,4,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",40,"  Semolina (ravasuji),  pineapple chunks,
  sugar,  milk (to make saffron milk),
  Clarified butter (ghee),  green cardamom powder (elaichi),
 saffron strands (kesar) or saffron food colour (optional),
  dry fruits or as needed (as per your choice)", ,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Sheera.jpg,
Poha,ProductType,5,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",25," gram poha, onions, chillies, lemon,
 spoon turmeric powder, spoon chilli powder,
Coriander  gram",https://drive.google.com/file/d/1C1VIAEcUgAVE98U1_a1ZxX8cV2Twhf1E/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Poha.jpg,
Sabudana Khichadi,ProductType,6,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",50,"Sabudana  ,Oil  ,Cumin  ,Salt  ,
Potatoes medium  ,Peanuts powder  ,
Green chilli finely chooped  ",https://drive.google.com/file/d/1OcOsOe-o1aMR2dRiYsVw6VrgIxpsNzMp/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/SabudanaKhichadi.jpg,
Puri Bhaji,ProductType,7,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",50," small potato boiled and peeled, onion, tomato,
  roasted deccicated coconut,  ginger garlic paste,
  red chilly powder,  haldi,   salt,
  coriander",https://drive.google.com/file/d/1c_oQ60JkRMIn0-mQiPpe_55Q96Zhvx3E/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PuriBhaji.png,
Roti,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1x6gZ4Q7wVOFVo1bP4pT594jcrC0bHQhc/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Roti.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Roti,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Roti,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,
Aloo Paratha,ProductType,4,"Inventory,Food,Restaurant,Roti,Vegeterian,",50,"for layer  bowl flour,spoon oil,spoon salt water for stuffing,
 boiled poteto  chopped onion, spoon Green chilly , ginger paste,
bowl chopped coriander leaves,spoon salt,
 bowl oil or butter for roast",https://drive.google.com/file/d/1-e7xl7ssjjkFNLd1vWJF_Hp9o9FVEZyS/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AlooParatha.jpg,
Paneer Paratha,ProductType,5,"Inventory,Food,Restaurant,Roti,Vegeterian,",80,"paneer  ,large onion finely chopped  ,
ginger garlic paste  ,green chilly chopped  ,
cumin powder  ,mustard seeds  ,garam masala  ,
wholewheat flour  ,gram flour  ,ajwain  ,
chopped coriander  ",https://drive.google.com/file/d/1I-rBvyFffhbWe6DuK4DOPx_Y3S66DnHx/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerParatha.jpg,
Methi Paratha,ProductType,6,"Inventory,Food,Restaurant,Roti,Vegeterian,",50,"  atta,  chopped fenugreek leaves,  salt,
  carrom seeds,  oil",https://drive.google.com/file/d/1zvhzWxgtU9sOTyppwxD2W6uARbSsztg6/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MethiParatha.jpg,
Chapati,ProductType,7,"Inventory,Food,Restaurant,Roti,Vegeterian,",72,"Wheat Flour  ,Nova Ghee  ,Salt  ,
Water to knead dough  ",https://drive.google.com/file/d/1BCZG8M0F-__45K4lUhTp357cF_FXpX8k/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Chapati.jpg,
Butter Chapati,ProductType,8,"Inventory,Food,Restaurant,Roti,Vegeterian,",15,,https://drive.google.com/file/d/1caizJDjMx1SJWxFLCQo3mIbbJRJ5ynbR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ButterChapati.jpg.crdownload.jpg,
Paratha,ProductType,9,"Inventory,Food,Restaurant,Roti,Vegeterian,",20,"whole wheat flour  ,Salt  ,water  ,
ghee (clarified butter)  ",https://drive.google.com/file/d/1TzQe_S2wAAEOYGt6H0PIyCfvU5Kmrnwx/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/Paratha.jpg,
Butter Paratha,ProductType,10,"Inventory,Food,Restaurant,Roti,Vegeterian,",25,,https://drive.google.com/file/d/1ZNQWvoY4RDYiK-1VB7agePGOh6Lb0xHz/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/ButterParatha.jpg,
Aloo Paratha,ProductType,11,"Inventory,Food,Restaurant,Roti,Vegeterian,",50,"Potatoes medium,Whole Wheat Flour  ,
Whole Wheat flour for dusting,Onion medium,
Coriander leaves chopped ,Green Chilli ,
Red Chilli Powder  ,Garam Masala Powder  ,
Chaat Masala ",https://drive.google.com/file/d/1-e7xl7ssjjkFNLd1vWJF_Hp9o9FVEZyS/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AlooParatha.jpg,
Methi Paratha,ProductType,12,"Inventory,Food,Restaurant,Roti,Vegeterian,",50,"  atta,  chopped fenugreek leaves,  salt,
  carrom seeds,  oil",https://drive.google.com/file/d/1zvhzWxgtU9sOTyppwxD2W6uARbSsztg6/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MethiParatha.jpg,
Rice,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Rice.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Rice,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Rice,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,
Plain Rice,ProductType,4,"Inventory,Food,Restaurant,Rice,Vegeterian,",70,"  long grain rice,   water,   butter or oil,
  salt",https://drive.google.com/file/d/18J_mJa06XUs-QW11tFlny9iB4N4MgBaj/view?usp=sharing,,
Plain Rice Full,ProductUnit,5,"Inventory,Food,Restaurant,Rice,Vegeterian,Plain Rice,",70,"  long grain rice,   water,   butter or oil,
  salt",https://drive.google.com/file/d/1dUIF8EVW5-rM5FBwTvYL7kMpDGgKkHQg/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Plain-Rice.jpg,
Plain Rice Half,ProductUnit,6,"Inventory,Food,Restaurant,Rice,Vegeterian,Plain Rice,",40,"  long grain rice,   water,   butter or oil,
  salt",https://drive.google.com/file/d/1dUIF8EVW5-rM5FBwTvYL7kMpDGgKkHQg/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Plain-Rice.jpg,
Dal Rice,ProductType,7,"Inventory,Food,Restaurant,Rice,Vegeterian,",80,"Urad dal  ,Rice  ,Salt  tablespoon,Curry leaves  ,
Cumin seeds  tablespoon,Mustard seeds  tablespoon,
Grated coconut  tablespoon",https://drive.google.com/file/d/1qFwcama6fYff5fvmsLMU2H5wQO4Q8arU/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DalRice.jpg,
Jeera Rice,ProductType,8,"Inventory,Food,Restaurant,Rice,Vegeterian,",90," bay leaf, cloves, green cardamom,  cardamom,
 green chili, and half  salt,  chopped coriander leaves,
  rice,  ghee, cinamom stick, and half water",https://drive.google.com/file/d/1-GF04qtXF6mVP48_0ek2Qj07ZNbdnEES/view?usp=sharing,,
Jeera Rice Full,ProductUnit,9,"Inventory,Food,Restaurant,Rice,Vegeterian,Jeera Rice,",90," bay leaf, cloves, green cardamom,  cardamom,
 green chili, and half  salt,  chopped coriander leaves,
  rice,  ghee, cinamom stick, and half water",https://drive.google.com/file/d/1XWi_RFUxoXm7T2NMDEQrUBKa57-mY2EL/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/JeeraRiceFull.gif,
Jeera Rice Half,ProductUnit,10,"Inventory,Food,Restaurant,Rice,Vegeterian,Jeera Rice,",50," bay leaf, cloves, green cardamom,  cardamom,
 green chili, and half  salt,  chopped coriander leaves,
  rice,  ghee, cinamom stick, and half water",https://drive.google.com/file/d/1gab5eRuLll1Ed8DokZQ1FuTko20Esbwa/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/JeeraRiceHalf.jpg,
