label,nodeType,order,path,price,description,link,imageLink,Swiggy,Zomato
Breakfast,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Breakfast.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Breakfast,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Breakfast,",,,,,,
Vada Pav,ProductType,4,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",10,,https://drive.google.com/file/d/1y8Uq1xvmcEsnDueHLu64-gdUDukGsU8X/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VadaPav.jpg,25,39
Idli Sambar,ProductType,5,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",25,,https://drive.google.com/file/d/15LEAAHkEgCFvQych8dWeexRXmEYoiGzZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/IdliSambar.jpg,80,50
Masala Poha,ProductType,6,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",25,,https://drive.google.com/file/d/10mRAK9NfzfWsOCAZHVr_6nB_Ah-iyCJi/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/MasalaPoha.jpg,113,75
Upma,ProductType,7,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",25,,https://drive.google.com/file/d/13GQTe4OiqscBJk7ZffGulypnLQLHUbGI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Upma.jpg,45,50
Batata Vada Sambar,ProductType,8,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",30,,https://drive.google.com/file/d/15Tpz6JU7kzRSgAcCw7UuOGn7pmVJwr6Z/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/BatataVadaSambar.jpg,65,
Chole Puri,ProductType,9,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",35,,https://drive.google.com/file/d/141_Ry3HE_KFC4zjfbzAjXskbqptZJBea/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/CholePuri.jpg,59,180
Medu Vada Sambar,ProductType,10,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",40,,https://drive.google.com/file/d/1jwcGX9KmKSjHRb5K_QsNO6mfmtyut7bF/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MeduVadaSambar.jpg,90,59
Chole Bhature,ProductType,11,"Inventory,Food,Restaurant,Breakfast,Vegeterian,",50,,https://drive.google.com/file/d/1zHkLxkd5c-z-G7sEpynxo5N2msZ3VNBI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/CholeBhature.jpg,79,79
Snacks,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/Smiley.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Snacks,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Snacks,",,,,,,
Tangy Vada Pav,ProductType,4,"Inventory,Food,Restaurant,Snacks,Vegeterian,",15,,https://drive.google.com/file/d/14Njr8ZdrTi5BB3_SbpSIqxFinwxyZDnM/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/TangyVadaPav.jpg,80,49
Schezwan Vada Pav,ProductType,5,"Inventory,Food,Restaurant,Snacks,Vegeterian,",15,,https://drive.google.com/file/d/1tJSdqtzCK-2B6NvIOTe0lVyJ55M9bg8L/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/SchezwanVadaPav.jpg,25,49
Cheese Vada Pav,ProductType,6,"Inventory,Food,Restaurant,Snacks,Vegeterian,",30,,https://drive.google.com/file/d/1dJPY1Nb7gwSZUov9tYoJH4aCLQxMv2dC/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/CheeseVadaPav.jpg,40,40
Samosa Pav,ProductType,7,"Inventory,Food,Restaurant,Snacks,Vegeterian,",15,,https://drive.google.com/file/d/1Q_vKoJejBKjKHq_l-YUYB--p058Iu-ul/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/SamosaPav.png,18,40
Misal Pav,ProductType,8,"Inventory,Food,Restaurant,Snacks,Vegeterian,",50,,https://drive.google.com/file/d/10zM6xFtQkYtAL4YWGywPsxiCdULwwfcN/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MisalPav.jpg,90,85
Chole Bhature,ProductType,9,"Inventory,Food,Restaurant,Snacks,Vegeterian,",50,,https://drive.google.com/file/d/1zHkLxkd5c-z-G7sEpynxo5N2msZ3VNBI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/CholeBhature.jpg,79,79
Extra Bhature,ProductType,10,"Inventory,Food,Restaurant,Snacks,Vegeterian,",15,,https://drive.google.com/file/d/17yRFsLp034X8U6_RTnqgsKdu96o4QFlX/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/ExtraBhature.jpg,40,45
Idli Chilli/Masala,ProductType,11,"Inventory,Food,Restaurant,Snacks,Vegeterian,",40,,https://drive.google.com/file/d/1-XE6RNvxOdRaF7C56TtRRyKl2DbGoLci/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/IdliChilliMasala.jpg,138,90
Butter Pav Bhaji,ProductType,12,"Inventory,Food,Restaurant,Snacks,Vegeterian,",70,,https://drive.google.com/file/d/1N-maGiocBLWQslkOppBkMkUIx3Hmp7ON/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/ButterPavBhaji.jpg,125,190
Cheese Pav Bhaji,ProductType,13,"Inventory,Food,Restaurant,Snacks,Vegeterian,",80,,https://drive.google.com/file/d/1gjL6a4ltx1oCxoC4q-OU3DlxU2GebEvl/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/CheesePavBhaji.jpg,155,220
Extra Butter Pav,ProductType,14,"Inventory,Food,Restaurant,Snacks,Vegeterian,",10,,https://drive.google.com/file/d/1cWr0Nf1ejpb2nwAAqITKkEsZPwUkn7iQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/ExtraButterPav.jpg,10,20
Plain Butter Dosa,ProductType,15,"Inventory,Food,Restaurant,Snacks,Vegeterian,",30,,https://drive.google.com/file/d/1hv8H6q4-K6TaEpF1GqCc4aUuvIvcqoz9/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/PlainButterDosa.jpg,110,
Masala Dosa,ProductType,16,"Inventory,Food,Restaurant,Snacks,Vegeterian,",40,,https://drive.google.com/file/d/1_-oVk3t6Cho2sazbziKyWFSIPhSBbfKQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MasalaDosa.jpg,110,110
Schezwan Plain Dosa,ProductType,17,"Inventory,Food,Restaurant,Snacks,Vegeterian,",40,,https://drive.google.com/file/d/14IVroEb0uZICyvamWUsBAQRxfLW4_7aP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/SchezwanPlainDosa.jpg,,
Schezwan Masala Dosa,ProductType,18,"Inventory,Food,Restaurant,Snacks,Vegeterian,",50,,https://drive.google.com/file/d/10MoB-IDNGiRGbPAePPLWwfrLEGVa_i7L/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Cafe/SchezwanMasalaDosa.jpg,,120
Schezwan Cheese Dosa,ProductType,19,"Inventory,Food,Restaurant,Snacks,Vegeterian,",70,,https://drive.google.com/file/d/1fax1YjgCQ5nMvAgtahnukcYebquibLcV/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/SchezwanCheeseDosa.jpg,,160
Schezwan Cheese Masala Dosa,ProductType,20,"Inventory,Food,Restaurant,Snacks,Vegeterian,",80,,https://drive.google.com/file/d/1YuK_v8nY9Azrw0bI5Z4grGhb7W8MPd24/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/SchezwanCheeseMasalaDosa.jpeg,,
Cheese Plain Dosa,ProductType,21,"Inventory,Food,Restaurant,Snacks,Vegeterian,",70,,https://drive.google.com/file/d/1ypCipTF8zwjD_6AF-HaNDkfIAubr96hP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/CheesePlainDosa.jpg,125,126
Cheese Masala Dosa,ProductType,22,"Inventory,Food,Restaurant,Snacks,Vegeterian,",80,,https://drive.google.com/file/d/10Rp0XGtq5BWypzm4mDSpOSRxgTjg6Q3K/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Cafe/CheeseMasalaDosa.jpg,115,135
MysorePlain Dosa,ProductType,23,"Inventory,Food,Restaurant,Snacks,Vegeterian,",40,,https://drive.google.com/file/d/1FJrW0MXr5JVF1J6mCDpt1t6Gxj57ubO9/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/MysorePlainDosa.jpg,75,75
Mysore Masala Dosa,ProductType,24,"Inventory,Food,Restaurant,Snacks,Vegeterian,",60,,https://drive.google.com/file/d/1jXxK1PO3BkkFzE7FRk7GMEaOVeb2wp-y/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Mysoremasaladosa.jpg,120,110
Mysore Cheese Dosa,ProductType,25,"Inventory,Food,Restaurant,Snacks,Vegeterian,",70,,https://drive.google.com/file/d/1yHlcfc8zKGLpqSCcmK101flaiGTYgTgA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/MysoreCheeseDosa.jpg,160,130
Mysore Cheese Masala Dosa,ProductType,26,"Inventory,Food,Restaurant,Snacks,Vegeterian,",80,,https://drive.google.com/file/d/1Mluod0WZJ6asJQiu1AsT1ztMRNfycW0R/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/MysoreCheeseMasalaDosa.jpg,180,150
Schezwan Noodle Dosa,ProductType,27,"Inventory,Food,Restaurant,Snacks,Vegeterian,",80,,https://drive.google.com/file/d/1_LiOK9Rp72wRj0BqeVHAbXh8zn4Dc0yX/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/SchezwanNoodleDosa.jpg,140,160
Paneer Schezwan Dosa,ProductType,28,"Inventory,Food,Restaurant,Snacks,Vegeterian,",90,,https://drive.google.com/file/d/11fpkyyEErxT3EKEeZXmxqZYLN98tF623/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/PaneerSchezwanDosa.jpg,199,99
Paneer Chilli Dosa,ProductType,29,"Inventory,Food,Restaurant,Snacks,Vegeterian,",90,,https://drive.google.com/file/d/1aPpDI3Whh_6guW4TeQaSWFaPedhL-_8e/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerChilliDosa.jpg,199,199
Paneer Bhurji Dosa,ProductType,30,"Inventory,Food,Restaurant,Snacks,Vegeterian,",90,,https://drive.google.com/file/d/1iVOQddrcnv9oM_nI-fi5vxMC0V2yhkzK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/PaneerBhurjiDosa.jpg,170,180
Plain Uttapam,ProductType,31,"Inventory,Food,Restaurant,Snacks,Vegeterian,",30,,https://drive.google.com/file/d/1gbIrQNvM-HXwjLWYw195a1oh7UrDjPLp/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/PlainUttapam.jpg,85,49
Onion Uttapam,ProductType,32,"Inventory,Food,Restaurant,Snacks,Vegeterian,",40,,https://drive.google.com/file/d/1XYLjQ91jrBZDsVC890XhoHxvPwRpF9o2/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/OnionUttapam.jpg,120,49
Masala Uttapam,ProductType,33,"Inventory,Food,Restaurant,Snacks,Vegeterian,",40,,https://drive.google.com/file/d/1gryGq86cALDsUcPaNlXyiMAtKy7F7Ls8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-5/MasalaUttapam.jpg,120,140
Cheese Uttapam,ProductType,34,"Inventory,Food,Restaurant,Snacks,Vegeterian,",70,,https://drive.google.com/file/d/18cP7fgcwOlW1ldGfu1Z6_wXJHhwPbRoP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/CheeseUttapam.jpg,85,49
Sandwich,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Sandwich.jpg,60,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Sandwich,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Sandwich,",,,,,,
Mixed Veg Sandwich,ProductType,4,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",50,,https://drive.google.com/file/d/1HWX85iZbd79O3gv72tmZB3EbtU-q6Ukk/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/MixedVegSandwich.jpg,70,
