label,nodeType,order,path,price,ingredients,description,link,imageLink
Cakes,ProductClass,1,"Inventory,Food,Bakery,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/ChocolateCake.png
Vegeterian,ProductLine,2,"Inventory,Food,Bakery,Cakes,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Bakery,Cakes,",,,,,
Pineapple,ProductType,4,"Inventory,Food,Bakery,Cakes,Vegeterian,",250,"Refined Flour 1 bowls,Baking Powder 1 tbsp,
Baking Soda 1 tbsp,Sugar 1 bowls,Butter 1 bowls,
Pinepapple Essence 4-5 drop,Milk 1 cups,
Pineapple Sliced Tin 1 nos",, ,
Pineapple Half Kg,ProductUnit,5,"Inventory,Food,Bakery,Cakes,Vegeterian,Pineapple,",250,"Refined Flour 1 bowls,Baking Powder 1 tbsp,
Baking Soda 1 tbsp,Sugar 1 bowls,Butter 1 bowls,
Pinepapple Essence 4-5 drop,Milk 1 cups,
Pineapple Sliced Tin 1 nos",,https://drive.google.com/file/d/1dRH-LDpoEZht9vApaaQDcS7Eigqe65UV/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/PineappleHalfKg.jpg
Butterscotch,ProductType,6,"Inventory,Food,Bakery,Cakes,Vegeterian,",280,"Thick Curd – 1/2 cup,Baking Soda – 1/2 tsp,
Vinegar – 1 tbsp,Maida – 1 and 1/2 cups,Sugar – 1 cup,
Baking Powder – 1 tsp,Melted Butter – 1/8 cup,
Butterscotch Essense – 1 tsp,Butterscotch Chips – 1/2 cup,
Water – 1/2 cup",, ,
Butterscotch Half Kg,ProductUnit,7,"Inventory,Food,Bakery,Cakes,Vegeterian,Butterscotch,",280,"Thick Curd – 1/2 cup,Baking Soda – 1/2 tsp,
Vinegar – 1 tbsp,Maida – 1 and 1/2 cups,sugar – 1 cup,
Baking Powder – 1 tsp,Melted Butter – 1/8 cup,
Butterscotch Essense – 1 tsp,Butterscotch Chips – 1/2 cup,
Water – 1/2 cup",,https://drive.google.com/file/d/1z3nIFjaD0H8Nl60jMES-xAoFGc--3i_C/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/ButterscotchHalfKg.jpg
Red Velvet,ProductType,8,"Inventory,Food,Bakery,Cakes,Vegeterian,",280,"All purpose flour 1 cup,Powdered sugar 1/2 cup,
Cocoa powder 1 teaspoon,Red food color 1 teaspoon,
Baking powder 1 teaspoon,Baking soda 1/4 teaspoon,
Butter 1/2 cup,Milk 1 cup,Lemon juice 2 teaspoons,
Whipped cream 200 grams",,https://drive.google.com/file/d/1ak-uVi5q0QyXDKjWvj0v7pHqyleDiZ5o/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Red-Velvet.gif
Red Velvet Half Kg,ProductUnit,9,"Inventory,Food,Bakery,Cakes,Vegeterian,Red Velvet,",280,"All purpose flour 1 cup,Powdered sugar 1/2 cup,
Cocoa powder 1 teaspoon,Red food color 1 teaspoon,
Baking powder 1 teaspoon,Baking soda 1/4 teaspoon,
Butter 1/2 cup,Milk 1 cup,Lemon juice 2 teaspoons,
Whipped cream 200 grams",,https://drive.google.com/file/d/1NtRLQi00pV6r1aIVoPspCoeX6gJjyAqi/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food123021/RedVelvetHalfKg.jpg
Black Currant,ProductType,10,"Inventory,Food,Bakery,Cakes,Vegeterian,",280,"1 3/4 cup flour/maida,3/4 cup butter,
3/4 cup sugar powdered,1 1/2 tsp baking powder,
3/4 tsp baking soda,3/4 cup milk,
6 tblsp Black Currant Crush,Beetroot Cream Cheese Frosting,
1/2 packet cream cheese",,https://drive.google.com/file/d/1xNKOtUhh2LZ17ybEGVfyhSxvN_-VrYhQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food-20220310/blackcurrant.jpg
