label,nodeType,order,path,price,description,Ingredients,link,imageLink
Entree,ProductClass,1,"Inventory,Food,Restaurant,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/Entree.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Entree,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Entree,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg
Chana Boti,ProductType,4,"Inventory,Food,Restaurant,Entree,Vegeterian,",200,,,https://drive.google.com/file/d/12HV9c74lM7RP3HD7sW6vhUyPPN1UODB-/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/ChanaBoti.jpg
Keema Fry,ProductType,4,"Inventory,Food,Restaurant,Entree,NonVegeterian,",180,,"minced mutton,   onion,  ginger paste,  red chilli powder,  salt,  water,   tomato, black pepper,  garam masala powder,  powdered turmeric.",https://drive.google.com/file/d/1Ify8sl1nkOX3ziiaVozKntCX-JOUrgv_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/kheemafry.jpg
Mutton Fry,ProductType,5,"Inventory,Food,Restaurant,Entree,NonVegeterian,",170,,"""Coriander powder  ,Garam masala powder  ,Salt  ,Oil  ,Curry leaves  ,onion  ,Egg  ,pepper powder  ,Mutton  """,https://drive.google.com/file/d/19UlcaHpNTF7E8S6xFlTvhyUuq3L1fZAq/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MuttonFry.jpg
Chicken Fry,ProductType,6,"Inventory,Food,Restaurant,Entree,NonVegeterian,",120,,"""salt  ,Oil  ,onion  ,ginger  ,Chilly  ,Pepper powder  ,chicken masala  ,Chicken  ",https://drive.google.com/file/d/1mWmrLNgJfrNpnzlbAzFVibM_tkVFr_ge/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenFry.jpg
Anda Kari,ProductType,7,"Inventory,Food,Restaurant,Entree,NonVegeterian,",80,,"Hard Boiled Eggs, Salt, Kashmiri Chilli Powder,
 Large  Onion, Tamarind Pulp, Coriander Powder,
 Garam Masala, Turmeric Powder, Coriander""",https://drive.google.com/file/d/15IhIjYGXydo4ulDuYzNFwVy5oavb9Yv5/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AndaCurry.jpg
Mutton Handi,ProductType,8,"Inventory,Food,Restaurant,Entree,NonVegeterian,",1000,,"  lamb, handful mint,  yoghurt (curd),  red chilli powder, black cardamom,  garlic paste,  coriander powder,  onion,  mustard oil,  turmeric, green cardamom,  ginger paste,  garam masala powder,salt as required",https://drive.google.com/file/d/1cDgJjzfBznwA7SQ2sVr2-m7bkYjS25MQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MuttonHandi.jpg
Mutton Handi Full,ProductUnit,9,"Inventory,Food,Restaurant,Entree,NonVegeterian,Mutton Handi,",1000,,"  lamb, handful mint,  yoghurt (curd),  red chilli powder, black cardamom,  garlic paste,  coriander powder,  onion,  mustard oil,  turmeric, green cardamom,  ginger paste,  garam masala powder,salt as required",https://drive.google.com/file/d/1FycDNv3fIZ4FgUmyTHr5bWKHB-S7JPU9/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MuttonHandiFull.jpg
Chicken Handi,ProductType,10,"Inventory,Food,Restaurant,Entree,NonVegeterian,",700,,"Chicken, handful mint,
  yoghurt (curd),  red chilli powder, black cardamom,  garlic paste,  corianderpowder,  onion,  mustard oil,  turmeric, green cardamom,  ginger paste, garam masala powder,salt as required.""",https://drive.google.com/file/d/1RMADFPBuSEsBClMMjRRF3Ywu4mtb54pt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenHandi.jpg
Chicken Handi Full,ProductUnit,11,"Inventory,Food,Restaurant,Entree,NonVegeterian,Chicken Handi,",700,,"Chicken, handful mint,
  yoghurt (curd),  red chilli powder, black cardamom,  garlic paste,  corianderpowder,  onion,  mustard oil,  turmeric, green cardamom,  ginger paste, garam masala powder,salt as required.""",https://drive.google.com/file/d/1LabfJ7U7HGWmo2mIPWym0Wm76D0yr7tH/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenHandiFull.jpg
Dry Fish,ProductType,12,"Inventory,Food,Restaurant,Entree,NonVegeterian,",120,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/DryFish.jpg
Rice,ProductClass,1,"Inventory,Food,Restaurant,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Rice.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Rice,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
Non-Vegeterian,ProductLine,3,"Inventory,Food,Restaurant,Rice,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg
Chicken Biryani,ProductType,4,"Inventory,Food,Restaurant,Rice,Vegeterian,",120,," chicken,boiled basmati rice,  garam masala powder,  ghee,  water,6  beaten yoghurt ,  ginger paste,  garlic paste,salt as required,  coriander leaves,7  red chilli powder,Etc",https://drive.google.com/file/d/1t_vJcJvBj1doCQPhohH0pwo72xfAG-wI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenBiryani.jpg
Mutton Biryani,ProductType,5,"Inventory,Food,Restaurant,Rice,Vegeterian,",180,," Mutton,boiled basmati rice,  garam masala powder,  ghee,  water,6  beaten yoghurt ,  ginger paste,  garlic paste,salt as required,  coriander leaves,7  red chilli powder,Etc",https://drive.google.com/file/d/1LoNGcmv8OAlfx8Ryh7Fqaz3YxRdO0wAS/view?usp=sharing,
