label,nodeType,order,path,price,description,link,imageLink,Swiggy,Zomato
Fries,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/15PKFi42PpHzYRDPF5fKE5IeaSx6QUMYl/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Fries.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Fries,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Fries,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,,
Regular French Fries,ProductType,4,"Inventory,Food,Restaurant,Fries,Vegeterian,",59,,https://drive.google.com/file/d/1zj_nLm1qY3vrlet4iLOLAP4-Tj_a7Ie6/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/RegularFrenchFries.jpg,59,59
Masala French Fries,ProductType,5,"Inventory,Food,Restaurant,Fries,Vegeterian,",69,,https://drive.google.com/file/d/1ZX5dvhtkS9aNmwQrVf0jstl51VjIJcg4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MasalaFrenchFries.jpg,69,69
Peri Peri French Fries,ProductType,6,"Inventory,Food,Restaurant,Fries,Vegeterian,",79,,https://drive.google.com/file/d/1hHlt8RUojNMdSQExiMEX7xnAMQ-NRP9n/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodlinksgapApril25/PeriPeriFrenchFries.jpg,79,79
Burgers,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Burger.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Burgers,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Burgers,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,,
Veg Fiesta,ProductType,4,"Inventory,Food,Restaurant,Burgers,Vegeterian,",69,,,,69,
Veg Fiesta With Cheese,ProductType,5,"Inventory,Food,Restaurant,Burgers,Vegeterian,",79,,,,,
Corn Fiesta,ProductType,6,"Inventory,Food,Restaurant,Burgers,Vegeterian,",69,,,,69,
Corn Fiesta With Cheese,ProductType,7,"Inventory,Food,Restaurant,Burgers,Vegeterian,",79,,https://drive.google.com/file/d/1Yon7_ISm0ecvJmWVMeqvUWJpqfgYIALZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/CornFiestaWithCheese.jpg,,
Paneer Fiesta,ProductType,8,"Inventory,Food,Restaurant,Burgers,Vegeterian,",79,,https://drive.google.com/file/d/1ZsXGrwXNTlKI9BrKg-pmrtqLOsZZyOlI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/PaneerFiesta.jpg,79,
Paneer Fiesta With Cheese,ProductType,9,"Inventory,Food,Restaurant,Burgers,Vegeterian,",89,,https://drive.google.com/file/d/16oxzwNrZPL4H6pnbnCkct6A06wl9ZSKl/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/PaneerFiestaWithCheese.jpg,,
Veggie & Chips,ProductType,10,"Inventory,Food,Restaurant,Burgers,Vegeterian,",89,,https://drive.google.com/file/d/1py3pH0J4hhjltUpDCgpu4WQ7BgKCfssb/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/VeggieChips.jpg,,
Veggie & Chips With Cheese,ProductType,11,"Inventory,Food,Restaurant,Burgers,Vegeterian,",99,,,,,
Peri Peri,ProductType,12,"Inventory,Food,Restaurant,Burgers,Vegeterian,",79,,https://drive.google.com/file/d/131hunlxq0a_mcaufZJFgYytigUrxnYkv/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/PeriPeri.jpg,79,79
Peri Peri With Cheese,ProductType,13,"Inventory,Food,Restaurant,Burgers,Vegeterian,",89,,,,,
Exotic Cheese,ProductType,14,"Inventory,Food,Restaurant,Burgers,Vegeterian,",99,,,,,
Exotic Cheese With Cheese,ProductType,15,"Inventory,Food,Restaurant,Burgers,Vegeterian,",109,,https://drive.google.com/file/d/1XBmqcrP19-e7dUPq_cQi90iNur6Fm6b2/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/ExoticCheeseWithCheese.jpg,,
Pizza,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food1/pizza.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Pizza,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Pizza,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,,
Margherita Pizza,ProductType,4,"Inventory,Food,Restaurant,Pizza,Vegeterian,",149,,https://drive.google.com/file/d/1KXIyjmMNTjfzRPrpG1lV1FB59-ItEwbd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MargheritaPizza.jpg,149,149
