label,nodeType,order,path,price,description,link,imageLink
Bakery,ProductFamily,1,"Inventory,Food,",,,https://drive.google.com/file/d/1nz79eE6FgMlM79FjTDEG2K-5A9yGu_cR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/ChocolateCake.png
Cakes,ProductClass,2,"Inventory,Food,Bakery,",,,https://drive.google.com/file/d/1L4WTranHR83HgUV6QGk3brCIEqmhhjh3/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/ChocolateCake.png
Vegeterian,ProductLine,3,"Inventory,Food,Bakery,Cakes,",,,,
NonVegeterian,ProductLine,4,"Inventory,Food,Bakery,Cakes,",,,,
Photocake Half Kg,ProductType,5,"Inventory,Food,Bakery,Cakes,Vegeterian,",400,,https://drive.google.com/file/d/1hspDvBSP6pFAsYQQ-k-vgQznE5fuxxUg/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food123021/PhotocakeHalfKg.jpg
Photocake 1 Kg,ProductType,6,"Inventory,Food,Bakery,Cakes,Vegeterian,",750,,https://drive.google.com/file/d/1Ec1N4EQziFWvzYmji2LmWNUu_4759YAY/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food123021/PhotocakeHalf1Kg.jpg
Photocake 2 Kg,ProductType,7,"Inventory,Food,Bakery,Cakes,Vegeterian,",999,,https://drive.google.com/file/d/1GS3LyrM5nY-XTCM58N8XRdFIGvmM-J7b/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food123021/PhotocakeHalf2Kg.jpg
Doll Cake 1 Kg (Regular),ProductType,8,"Inventory,Food,Bakery,Cakes,Vegeterian,",800,,https://drive.google.com/file/d/1F8a4hTjyvbPPAfzOVaQZCs_Br6aibfgH/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food123021/DollCake1Kg(Regular).jpg
Doll Cake 1 Kg (Special),ProductType,9,"Inventory,Food,Bakery,Cakes,Vegeterian,",900,,https://drive.google.com/file/d/11z0Kr-ATLdLkAFi7ITce0YZARZIWRW8u/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food123021/DollCake1Kg(Special).jpg
Customised Cake 1 Kg,ProductType,10,"Inventory,Food,Bakery,Cakes,Vegeterian,",900,,https://drive.google.com/file/d/1NoASBY02WnW3r7gtvIzLeCJMNGXkH-Qw/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food123021/CustomisedCake1Kg.jpg
Rasmalai Cake Half Kg,ProductType,11,"Inventory,Food,Bakery,Cakes,Vegeterian,",350,,https://drive.google.com/file/d/13VlRSvSYzyA0DiD2zsXh-jpkEgwjbneX/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/RasmalaiCakeHalfKg.jpg
Red Velvet Half Kg,ProductType,12,"Inventory,Food,Bakery,Cakes,Vegeterian,",350,,https://drive.google.com/file/d/1NtRLQi00pV6r1aIVoPspCoeX6gJjyAqi/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food123021/RedVelvetHalfKg.jpg
Dutch Choco Half Kg,ProductType,13,"Inventory,Food,Bakery,Cakes,Vegeterian,",350,,https://drive.google.com/file/d/1M1Ul8a9kSPnUmKWpKNTFMawovq60m2yI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food123021/DutchChocoHalfKg.jpg
Blue Velvet Half Kg,ProductType,14,"Inventory,Food,Bakery,Cakes,Vegeterian,",350,,https://drive.google.com/file/d/1UoNRgOYfj1MiJDPzuvzK6-u6c_xjdGRO/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food123021/BlueVelvetHalfKg.jpg
Ice Cream Cake Half Kg,ProductType,15,"Inventory,Food,Bakery,Cakes,Vegeterian,",350,,https://drive.google.com/file/d/1AHSERC84GZeHPEsR0WO58k5zDmjad12f/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food123021/IceCreamCakeHalfKg.jpg
Gulkand Cake Half Kg,ProductType,16,"Inventory,Food,Bakery,Cakes,Vegeterian,",350,,https://drive.google.com/file/d/1eQ05hYw9fmFlzrt8c-JYbDzy5PMZv5H8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/GulkandCakeHalfkg.jpg
Rainbow Cake Half Kg,ProductType,17,"Inventory,Food,Bakery,Cakes,Vegeterian,",350,,https://drive.google.com/file/d/17vphRuG0cVXflYnN57mKZd-sENzhsECA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/RainbowCake1Kg.jpg
Badam Pista Cake Half Kg,ProductType,18,"Inventory,Food,Bakery,Cakes,Vegeterian,",350,,https://drive.google.com/file/d/1v0dEYDpjJQA5SVkwycrIHWhvAWigd0er/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food123021/BadamPistaCakeHalfKg.jpg
Almond Chocolate Cake Half Kg,ProductType,19,"Inventory,Food,Bakery,Cakes,Vegeterian,",350,,https://drive.google.com/file/d/1ErgK9g4ko2QIqbqN2VbUBLBgTidKJqDS/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food123021/AlmondChocolateCakeHalfKg.jpg
Dry Fruits Cake Half Kg,ProductType,20,"Inventory,Food,Bakery,Cakes,Vegeterian,",350,,https://drive.google.com/file/d/1PMBkfqOmhY2Qz8d4XJxgTiECFLC4Wa7i/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food123021/DryFruitsCakeHalfKg.jpg
White Forest Cake Half Kg,ProductType,21,"Inventory,Food,Bakery,Cakes,Vegeterian,",300,,https://drive.google.com/file/d/1Avbav7mIBM2qp_DR0L_XXtmhwdFPVFY8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/WhiteForestCakeHalfkg.jpg
German Forest Half Kg,ProductType,22,"Inventory,Food,Bakery,Cakes,Vegeterian,",300,,https://drive.google.com/file/d/1QiSHc5lLWMis0Q6MOk88P9hk1LxXADPM/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food123021/GermanForestHalfKg.jpg
Black Forest Half Kg,ProductType,23,"Inventory,Food,Bakery,Cakes,Vegeterian,",300,,https://drive.google.com/file/d/1XqbftqK9VAUbkm90RP5tdovURA5Jo2iA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food123021/BlackForestHalfKg.jpg
Strawberry Cake Half Kg,ProductType,24,"Inventory,Food,Bakery,Cakes,Vegeterian,",300,,https://drive.google.com/file/d/1Kd2vsr_bUlshZfGEOcmn6BVY0vKXKTdk/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food240522/StrawberryCakeHalfKg.jfif
Butterscotch Cake Half Kg,ProductType,25,"Inventory,Food,Bakery,Cakes,Vegeterian,",300,,https://drive.google.com/file/d/1clhXB6We8rwjF3etmRziWptgHdJZIuP9/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food123021/ButterscotchCakeHalfKg.jpg
Pineapple Cake Half Kg,ProductType,26,"Inventory,Food,Bakery,Cakes,Vegeterian,",300,,https://drive.google.com/file/d/1y853qfyqB6qxb9tgHCW6_uqHl7X4GpAB/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/PineappleCakeHalfkg.png
Green Apple Cake Half Kg,ProductType,27,"Inventory,Food,Bakery,Cakes,Vegeterian,",300,,https://drive.google.com/file/d/1NjbLCsQTVrgEZw01W22mPGHivPmLWXNR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food123021/GreenAppleCakeHalfKg.jpg
Mango Cake Half Kg,ProductType,28,"Inventory,Food,Bakery,Cakes,Vegeterian,",300,,https://drive.google.com/file/d/1hbpEyWMhlmwNTmwgOfMVb4IpRP5MjFEj/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/MangoCakeHalfkg.jpg
Irish Coffee Cake Half Kg,ProductType,29,"Inventory,Food,Bakery,Cakes,Vegeterian,",300,,https://drive.google.com/file/d/19_adSLjsCVbYj55ibyNERWz0PU5L8rFg/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food123021/IrishCoffeeCakeHalfKg.jpg
