label,nodeType,order,path,price,description,link,imageLink
Soup,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/136jeYKefmQ3Gxl80_f15H4IRlem6r9cq/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Soup.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Soup,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Soup,",,,,
Veg Soup,ProductType,4,"Inventory,Food,Restaurant,Soup,Vegeterian,",120,,https://drive.google.com/file/d/1yLlYEIedcl0jUYKgFBGLxxLSHqElVT62/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Soup.jpg
Veg Soup Full,ProductUnit,5,"Inventory,Food,Restaurant,Soup,Vegeterian,Veg Soup,",120,,https://drive.google.com/file/d/1IoQTIiQBxcMgl4IES5nWSRMqRulzE-eW/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food2022022/VegSoupFull.jpg
Veg Soup Half,ProductUnit,6,"Inventory,Food,Restaurant,Soup,Vegeterian,Veg Soup,",70,,https://drive.google.com/file/d/15dY55y0VdWjsZpHfiqmzT4e7E5JiNYv7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food2022022/VegSoupHalf.jpg
Tomato Soup,ProductType,7,"Inventory,Food,Restaurant,Soup,Vegeterian,",120,,https://drive.google.com/file/d/1qhWW38vtbUr23w3F0uYayqtGNJhxmiYf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Tomato-Soup.jpg
Tomato Soup Full,ProductUnit,8,"Inventory,Food,Restaurant,Soup,Vegeterian,Tomato Soup,",120,,https://drive.google.com/file/d/1V562-obNyf7CJMsfhT9DRkG8Z_BfIHPJ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220515/TomatoSoupFull.jpg
Tomato Soup Half,ProductUnit,9,"Inventory,Food,Restaurant,Soup,Vegeterian,Tomato Soup,",70,,https://drive.google.com/file/d/1_W7AbF5psp9lL9hVwS5zUDdyxgJO7lx3/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220515/TomatoSoupHalf.jpg
Veg Manchow Soup,ProductType,10,"Inventory,Food,Restaurant,Soup,Vegeterian,",120,,https://drive.google.com/file/d/1ZHfj80mG4nonkD938YcNcqpsbo76_3Bh/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/vegManchowSoup.jpg
Veg Manchow Soup Full,ProductUnit,11,"Inventory,Food,Restaurant,Soup,Vegeterian,Veg Manchow Soup,",120,,https://drive.google.com/file/d/14mHB8q99Q9eWGpuyi9RWd16OB2RixqcP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220524/VegManchowSoupFull.jpeg
Veg Manchow Soup Half,ProductUnit,12,"Inventory,Food,Restaurant,Soup,Vegeterian,Veg Manchow Soup,",70,,https://drive.google.com/file/d/19M1aaZyWemwfLVEilzAUbNJ5XukK9TsS/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220524/VegManchowSoupHalf.jpeg
Veg Hot & Sour Soup,ProductType,13,"Inventory,Food,Restaurant,Soup,Vegeterian,",120,,https://drive.google.com/file/d/1qflrDTDVAq-39jgZpWoH-2bsNNsmbSOQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/VegHotSourSoup.jpg
Veg Hot & Sour Soup Full,ProductUnit,14,"Inventory,Food,Restaurant,Soup,Vegeterian,Veg Hot & Sour Soup,",120,,https://drive.google.com/file/d/1QuOccSNeqKo99NGsDb5Z4Of3jdptEAiW/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220524/VegHotSourSoupFull.jpg
