label,nodeType,order,path,price,description,link,imageLink,Swiggy ,Zomato
Chinese Veg Rice,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1AO1ucJSOKGh8VWwh7bC29MB8xCJYes10/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220216/ChineseVegRice.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Chinese Veg Rice,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Chinese Veg Rice,",,,,,,
Veg Fried Rice,ProductType,4,"Inventory,Food,Restaurant,Chinese Veg Rice,Vegeterian,",145,,https://drive.google.com/file/d/1bz2y7h_zxW5FIwkPU1ouPFuPXrxVdyrI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Fried-Rice.jpg,195,145
Veg Fried Rice Full,ProductUnit,5,"Inventory,Food,Restaurant,Chinese Veg Rice,Vegeterian,Veg Fried Rice,",145,,https://drive.google.com/file/d/1KY5u59qqYcO2b5YzHONrSAcfOYgrb-9m/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegFriedRiceFull.jpg,195,145
Veg Fried Rice Half,ProductUnit,6,"Inventory,Food,Restaurant,Chinese Veg Rice,Vegeterian,Veg Fried Rice,",115,,https://drive.google.com/file/d/1B4egQaFhBCqXzznAr7Ltk_AwXO-2Qsee/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Fried-Rice-Half.jpg,,115
Veg Schezwan Fried Rice,ProductType,7,"Inventory,Food,Restaurant,Chinese Veg Rice,Vegeterian,",155,,https://drive.google.com/file/d/1i4sLAmwV7ByQqxTBDx1VFC3PWNxqB3a5/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegSchezwanFriedRice.jpg,210,155
Veg Schezwan Fried Rice Full,ProductUnit,8,"Inventory,Food,Restaurant,Chinese Veg Rice,Vegeterian,Veg Schezwan Fried Rice,",155,,https://drive.google.com/file/d/1jZQZ1lLYVuPNTZTLsXVEBhkd0j1filvw/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegSchezwanFriedRiceFull.jpg,210,155
Veg Schezwan Fried Rice Half,ProductUnit,9,"Inventory,Food,Restaurant,Chinese Veg Rice,Vegeterian,Veg Schezwan Fried Rice,",120,,https://drive.google.com/file/d/1TZgbitRf9SIZugr6x6kEGAlaoSOnDTmc/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220216/VegSchezwanFriedRiceHalf.jpg,,120
Veg Singapore Fried Rice,ProductType,10,"Inventory,Food,Restaurant,Chinese Veg Rice,Vegeterian,",155,,https://drive.google.com/file/d/1Y3rt4WJkRqwHeZjufomwHYqKXuRu-y2L/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food03022022/VegSingaporeFriedRice.jpg,,155
