label,nodeType,order,path,price,description,ingredients,link,imageLink
Entree,ProductClass,1,"Inventory,Food,Restaurant,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/Entree.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Entree,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Entree,",,,,,
Mutton Handi,ProductType,4,"Inventory,Food,Restaurant,Entree,NonVegeterian,",300,,"mutton, oil or ghee, onion,whole garam masala,  ginger garlic pate, green chili,  chili powder,  coriander powder, teapn turmeric powder,  garam masala powder, ma,coriander leave for garnihing,alt.",https://drive.google.com/file/d/1cDgJjzfBznwA7SQ2sVr2-m7bkYjS25MQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MuttonHandi.jpg
Mutton Handi Full,ProductUnit,5,"Inventory,Food,Restaurant,Entree,NonVegeterian,Mutton Handi,",300,," mutton, oil or ghee, onion,whole garam masala,  ginger garlic pate, green chili,  chili powder,  coriander powder, teapn turmeric powder,  garam masala powder, ma,coriander leave for garnihing,alt.",https://drive.google.com/file/d/1FycDNv3fIZ4FgUmyTHr5bWKHB-S7JPU9/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MuttonHandiFull.jpg
Mutton Handi Half,ProductUnit,6,"Inventory,Food,Restaurant,Entree,NonVegeterian,Mutton Handi,",180,," mutton, oil or ghee, onion,whole garam masala,  ginger garlic pate, green chili,  chili powder,  coriander powder, teapn turmeric powder,  garam masala powder, ma,coriander leave for garnihing,alt.",https://drive.google.com/file/d/1rSZt2OdDaPDJaxpteehvbb3EICXF11Ge/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MuttonHandiHalf.jpg
Fish Masala,ProductType,7,"Inventory,Food,Restaurant,Entree,NonVegeterian,",210,,,https://drive.google.com/file/d/1klW4glWamalxpjlmRSUwgrr_3UjWtJDD/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/FishMasala.jpg
Fish Fry,ProductType,8,"Inventory,Food,Restaurant,Entree,NonVegeterian,",230,,"  chopped,wahed & dried fih, teapn powdered turmeric, teapn cruhed  pate ginger, teapn alt, tablepn garlic pate.",https://drive.google.com/file/d/1PpL_a6K_-PvE4WO7M0QLOPLORYanqmK0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/NonVegeterian/FishFry.jpg
Spl Fish Plate,ProductType,9,"Inventory,Food,Restaurant,Entree,NonVegeterian,",280,,,,
Fish Salan,ProductType,10,"Inventory,Food,Restaurant,Entree,NonVegeterian,",150,," king fih,  ripe mae,  dei ghee,  ginger garlic pate, large onion, finely chopped,  turmeric powder,  red chilli powder,  black pepper powder,  garam masala,etc.",https://drive.google.com/file/d/1Fcr2yOXToNyMxxyJ5PA0uZakduzW-syo/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodlinksgapApril25/FishSalan.jpg
Mutton Curry,ProductType,11,"Inventory,Food,Restaurant,Entree,NonVegeterian,",180,," mutton,  coriander powder, onion thinly liced,  Garlic pate,alt a required, ghee, cup water, ghee, cup Yoghurt,  Ginger Pate,  red chilli powder,
 mae finely chopped,  Garam masala powder,  turmeric,etc.",https://drive.google.com/file/d/1CP3wcgWMWMVL_sPTGa280Id7ztTSw8-C/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/NonVegeterian/MuttonCurry.jpg
