label,nodeType,order,path,price,description,link,imageLink
Noodles,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/Noodles.jpg
Non Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Noodles,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg
Vegeterian,ProductLine,3,"Inventory,Food,Restaurant,Noodles,",,,,
Egg Sherpa Noodles,ProductType,4,"Inventory,Food,Restaurant,Noodles,Non Vegeterian,",120,,https://drive.google.com/file/d/1yOqZlwDqdqGhB5wl5fudTWNN01ReGZ5G/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodAugust2022/EggSherpaNoodles.jpg
Egg Sherpa Noodles Full ,ProductUnit,5,"Inventory,Food,Restaurant,Noodles,Non Vegeterian,Egg Sherpa Noodles,",120,,https://drive.google.com/file/d/1-0hnrknTEfjcYyMWIH_MX7gaZJvwb5IZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodAugust2022/EggSherpaNoodlesFull.jpg
Egg Sherpa Noodles Half ,ProductUnit,6,"Inventory,Food,Restaurant,Noodles,Non Vegeterian,Egg Sherpa Noodles,",70,,https://drive.google.com/file/d/1oc9Od2rXY0JHk67LnWqZt1lhfyU00B8Z/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodAugust2022/EggSherpaNoodlesHalf.jpg
Egg Choupa Noodles,ProductType,7,"Inventory,Food,Restaurant,Noodles,Non Vegeterian,",120,,https://drive.google.com/file/d/1oDjF5yF8GSBVomRH-CTDFK7OOhdO6eOP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodAugust2022/EggChoupaNoodles.jpg
Egg Choupa Noodles Full,ProductUnit,8,"Inventory,Food,Restaurant,Noodles,Non Vegeterian,Egg Choupa Noodles,",120,,https://drive.google.com/file/d/1wPbxtAzeiLr2hStHFKvT5PN4ciA2naud/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodAugust2022/EggChoupaNoodlesFull.jpg
Egg Choupa Noodles Half,ProductUnit,9,"Inventory,Food,Restaurant,Noodles,Non Vegeterian,Egg Choupa Noodles,",70,,https://drive.google.com/file/d/1ylOEi6PZ3gkBvq9esOB7zTPjBzcSbaYB/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodAugust2022/EggChoupaNoodlesHalf.jpg
Egg Packing Noodles,ProductType,10,"Inventory,Food,Restaurant,Noodles,Non Vegeterian,",120,,,
