label,nodeType,order,path,price,description,link,imageLink,Swiggy,Zomato
Veg Soups,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/12bf4DzJCrUBgVqvk6kCaQp_Y3jXidoRn/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food2022022/VegSoups.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Veg Soups,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Veg Soups,",,,,,,
Tomato Soup,ProductType,4,"Inventory,Food,Restaurant,Veg Soups,Vegeterian,",120,,https://drive.google.com/file/d/1qhWW38vtbUr23w3F0uYayqtGNJhxmiYf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Tomato-Soup.jpg,150,170
Veg Clear Soup,ProductType,5,"Inventory,Food,Restaurant,Veg Soups,Vegeterian,",120,,https://drive.google.com/file/d/1dmYwUOQ7V67thr9VxwcKFsrCkxZqX81H/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Clear-Soup.jpg,145,162
Veg Manchow Soup,ProductType,6,"Inventory,Food,Restaurant,Veg Soups,Vegeterian,",125,,https://drive.google.com/file/d/1ZHfj80mG4nonkD938YcNcqpsbo76_3Bh/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/vegManchowSoup.jpg,135,140
Veg Sweet Corn Soup,ProductType,7,"Inventory,Food,Restaurant,Veg Soups,Vegeterian,",125,,https://drive.google.com/file/d/1DhM9DUO6aGaH98qUCjU6GjG9Q4SeSyg2/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegSweetCornSoup.jpg,140,155
Hot & Sour Veg Soup,ProductType,8,"Inventory,Food,Restaurant,Veg Soups,Vegeterian,",125,,https://drive.google.com/file/d/1xcCUMTD7IrgmlCi2eL01591vT-ZTw9S1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/HotSourVegSoup.jpg,150,140
Veg Starters,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1rPHaBukwlz0XWULqOVgaU6r0p5LxJaQI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220127/VegStarters.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Veg Starters,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Veg Starters,",,,,,,
Veg Harabhara Kabab,ProductType,4,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",205,,https://drive.google.com/file/d/1y4gbdmZdourRV3iwxOmwx_A96bzupgpI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegHaraBharaKabab.jpg,180,
Alu Chat,ProductType,5,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",120,,,,100,105
Chana Oil Fry,ProductType,6,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",120,,https://drive.google.com/file/d/1XBLGj3OL3MPaNpIaJuSNIIOoQpyLC5Zs/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/ChanaOilFry.jpg,159,175
Finger Chips,ProductType,7,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",120,,https://drive.google.com/file/d/1WqsZvM7FYMNNTf5L-ia1UO8zPhtnxOAt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/FingerChips.jpg,85,120
Veg Sandwich,ProductType,8,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",100,,https://drive.google.com/file/d/1PlGgNGtrT2Yat2aVQ8fMrdt-7q3J88A0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegSandwich.jpg,60,60
Veg Pakoda,ProductType,9,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",100,,https://drive.google.com/file/d/1nZECSaGTjOsbjZFaCg0dQdISLgxim1qT/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Pakoda.jpg,110,110
Veg Toast Sandwich,ProductType,10,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",110,,https://drive.google.com/file/d/1CCUYsdOkb0olsggn0-9wsAldJzKsJpSe/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/VegToastSandwich.jpg,60,60
Paneer Chat,ProductType,11,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",225,,https://drive.google.com/file/d/1u6SUiCPZO4kHWRcGMAeEhjuTrR-KfaYA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/PaneerChat.jpg,210,
