label,nodeType,order,path,price,description,link ,imageLink
Paan,ProductClass,1,"Inventory,Food,Paan Shop,",@,@,@,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/grocery122021/Paan.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Paan Shop,Paan,",@,@,@,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Paan Shop,Paan,",,,,
Ekta Pan Special,ProductType,3,"Inventory,Food,Paan Shop,Paan,Vegeterian,",@,@,https://drive.google.com/file/d/1jqSMUNJUl9_T4h_Y1yRIWM10ThkZOLEe/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Paan/EktaPanSpecial.jpg
Pineapple Pan,ProductType,4,"Inventory,Food,Paan Shop,Paan,Vegeterian,",@,@,https://drive.google.com/file/d/1qh4svJ8T1c3CoZN-NGaRrrmHX0266FEV/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Paan/PineapplePan.jpg
Special Masala Pan,ProductType,5,"Inventory,Food,Paan Shop,Paan,Vegeterian,",@,@,https://drive.google.com/file/d/1gp8D6dc3KMFc6O6Vie5tRmxvqkmFNpXN/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Paan/SpecialMasalaPan.jpg
Magi Shahi Masala Pan,ProductType,6,"Inventory,Food,Paan Shop,Paan,Vegeterian,",@,@,https://drive.google.com/file/d/1DhAZ-FtF7BlDUtZIAQbNF1_V_8lVjRSD/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Paan/MagiShahiMasalaPan.jpg
Karnaji Spl Masala Paan,ProductType,7,"Inventory,Food,Paan Shop,Paan,Vegeterian,",@,@,https://drive.google.com/file/d/1xNQXHzAcQM0IwfRqRvIaKVm-ab36lFuq/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Paan/KarnajiSplMasala.jpg
Masala Pan Pan Flavour,ProductType,8,"Inventory,Food,Paan Shop,Paan,Vegeterian,",@,@,https://drive.google.com/file/d/1ES3zBfTyq5mU1PolSAkTt3Yu0AGxtqqp/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Paan/MasalaPanPanFlavour.jpg
Special King Pan,ProductType,9,"Inventory,Food,Paan Shop,Paan,Vegeterian,",@,@,https://drive.google.com/file/d/1aIuuHA3BOE-fX7wbClPnq6zx1P2SsbPV/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Paan/SpecialKingPan.jpg
Badshahi Masala Pan,ProductType,10,"Inventory,Food,Paan Shop,Paan,Vegeterian,",@,@,https://drive.google.com/file/d/1Bf4tHefFo5HcwCtep5jIIl014tq0hyTz/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Paan/BadshahiMasalaPan.jpg
Dry Fruits Pan,ProductType,11,"Inventory,Food,Paan Shop,Paan,Vegeterian,",@,@,https://drive.google.com/file/d/1yyoRP2YrD98T_y0CgFa76lP6nj8qkd5p/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Paan/DryFruitsPan.jpg
