label,nodeType,order,path,price,description,link,imageLink
Juices,ProductClass,1,"Inventory,Ice Cream,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/OrengeJuice.jpg
Vegetarian ,ProductLine,2,"Inventory,Ice Cream,Juices,",,,,
NonVegetarian ,ProductLine,3,"Inventory,Ice Cream,Juices,",,,,
Pineapple Juice Full,ProductUnit,4,"Inventory,Ice Cream,Juices, Vegetarian,Pineapple Juice,",30,,https://drive.google.com/file/d/1IrKrRByP3T0it7NBARI0rbG8L7bM3qgF/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream/PineappleJuiceFull.png
Pineapple Juice Half,ProductUnit,5,"Inventory,Ice Cream,Juices, Vegetarian,Pineapple Juice,",20,,https://drive.google.com/file/d/1IrKrRByP3T0it7NBARI0rbG8L7bM3qgF/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream/PineappleJuiceFull.png
Mix Juice Full,ProductUnit,6,"Inventory,Ice Cream,Juices, Vegetarian,Mix Juice,",40,,https://drive.google.com/file/d/1z05Pum-CF6ah-OLxXeUOm-zbRDU0cu9j/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MixJuice.jpg
Mix Juice Half,ProductUnit,7,"Inventory,Ice Cream,Juices, Vegetarian,Mix Juice,",25,,https://drive.google.com/file/d/1z05Pum-CF6ah-OLxXeUOm-zbRDU0cu9j/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MixJuice.jpg
Apple Juice Full,ProductUnit,8,"Inventory,Ice Cream,Juices, Vegetarian,Apple Juice,",60,,https://drive.google.com/file/d/1sisQNrwVh7bd9Hzc5VMCQqxqQPq7DCfa/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream/AppleJuiceFull.jpg
Chiku Juice Full,ProductUnit,9,"Inventory,Ice Cream,Juices, Vegetarian,Chiku Juice,",40,,https://drive.google.com/file/d/1v4flN05eFpLh4aEkTDhqp1EnU-UaQHAg/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream/ChikooJuice.jpg
Black Grapes Juice Full,ProductUnit,10,"Inventory,Ice Cream,Juices, Vegetarian,Black Grapes Juice,",60,,https://drive.google.com/file/d/1Q_ffM_Q_V57eyjJV8iVpzSrL0E7b1I4K/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream/AngoorJuice.jpg
Spe. Rangeela Juice Full,ProductUnit,11,"Inventory,Ice Cream,Juices, Vegetarian,Spe. Rangeela Juice,",70,, ,
Spe. Rangeela Juice Half,ProductUnit,12,"Inventory,Ice Cream,Juices, Vegetarian,Spe. Rangeela Juice,",40,, ,
Mango Juice Full,ProductUnit,13,"Inventory,Ice Cream,Juices, Vegetarian,Mango Juice,",50,,https://drive.google.com/file/d/1OzucmTFHUKFpp2VhafqOICOKaRuxkcTc/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Mangojuice.png
Mango Juice Half,ProductUnit,14,"Inventory,Ice Cream,Juices, Vegetarian,Mango Juice,",30,,https://drive.google.com/file/d/1OzucmTFHUKFpp2VhafqOICOKaRuxkcTc/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Mangojuice.png
Mango Mastani Full,ProductUnit,15,"Inventory,Ice Cream,Juices, Vegetarian,Mango Mastani,",90,,https://drive.google.com/file/d/1Tdx5mPxc7ubwhFDKflnPw1vyy9Ma8n3n/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream/MangoMastaniFull.jpg
Mango Mastani Half,ProductUnit,16,"Inventory,Ice Cream,Juices, Vegetarian,Mango Mastani,",50,,https://drive.google.com/file/d/1A2B5J5tkIjnOM5p_DJNc6ssmefCW3QnP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream/MangoMastaniHalf.jpg
Anjeer Mastani Full,ProductUnit,17,"Inventory,Ice Cream,Juices, Vegetarian,Anjeer Mastani,",90,,https://drive.google.com/file/d/13GosoXQH4AMuhJXR44Yl0cTpZKnC-bll/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream/Spe.LassiFull.jpg
Special Lassi Full,ProductUnit,18,"Inventory,Ice Cream,Juices, Vegetarian,Special Lassi,",40,,https://drive.google.com/file/d/1VnzC8xzKBOvp7vZB5DtSIuKHqsOU2ZuB/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodimagelinks/SpecialLassiFull.jpg
Special Lassi Half,ProductUnit,19,"Inventory,Ice Cream,Juices, Vegetarian,Special Lassi,",25,,https://drive.google.com/file/d/1WlOdTo8h97SRDKJSY20fkZemIS8tOjJr/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodimagelinks/SpecialLassiHalf.jpg
Ice Cream Lassi Full,ProductUnit,20,"Inventory,Ice Cream,Juices, Vegetarian,Ice Cream Lassi,",30,,https://drive.google.com/file/d/1tb23bwtOimnc-46rGPWb6IyXblOXmGK1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream/IceCreamLassiFull.jpg
Ice Cream Lassi Half,ProductUnit,21,"Inventory,Ice Cream,Juices, Vegetarian,Ice Cream Lassi,",20,,https://drive.google.com/file/d/1O1-WGUQSte_8ha1aORcqurAS0SKw-3sy/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream/IceCreamLassiHalf.png.crdownload.png
Badam Pocket,ProductType,22,"Inventory,Ice Cream,Juices, Vegetarian,",15,, ,
Khava Pocket,ProductType,23,"Inventory,Ice Cream,Juices, Vegetarian,",10,, ,
Dry Fruits Kulfi,ProductType,24,"Inventory,Ice Cream,Juices, Vegetarian,",20,,https://drive.google.com/file/d/1h4IEaUmS0NkWmShLqaAuzUbjQQXyH297/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream/DryFruitsKulfi.jpg
Mawa Kulfi,ProductType,25,"Inventory,Ice Cream,Juices, Vegetarian,",15,,https://drive.google.com/file/d/1XE29cerUjjRMZe3iU-wSYec0UXAFwPcK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream/MawaKulfi.jpg
Badam Kulfi,ProductType,26,"Inventory,Ice Cream,Juices, Vegetarian,",25,,https://drive.google.com/file/d/1J9_WkiI9QbWB6XT5l44eZXAgiWiCdo7p/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream/BadamKulfi.jpg
Strwberry Juice Full,ProductUnit,27,"Inventory,Ice Cream,Juices, Vegetarian,Strwberry Juice,",50,,https://drive.google.com/file/d/1r2vDF45SmT0eRPstfnvBEbq1k_bw0Pzc/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream/StrwberryJuiceFull.png
Badam Mastani Full,ProductUnit,28,"Inventory,Ice Cream,Juices, Vegetarian,Badam Mastani,",180,,https://drive.google.com/file/d/14yjB1CrBXY_W3ObscSxc-kaz_86SOinQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream/BadamMastaniFull.jpg
Badam Mastani Half,ProductUnit,29,"Inventory,Ice Cream,Juices, Vegetarian,Badam Mastani,",100,,https://drive.google.com/file/d/1DYFnFiGJ4KRCkcK4bVoRrFtDsgS2k3cv/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/IceCream/BadamMastaniHalf.jpg
Kaju Mastani Full,ProductUnit,30,"Inventory,Ice Cream,Juices, Vegetarian,Kaju Mastani,",180,, ,
Kaju Mastani Half,ProductUnit,31,"Inventory,Ice Cream,Juices, Vegetarian,Kaju Mastani,",100,, ,
