label,nodeType,order,path,price,link,imageLink,desciption
Soups,ProductClass,1,"Inventory,Food,Restaurant,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Soup.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Soups,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Soups,",,,,
Tomato Soup,ProductType,3,"Inventory,Food,Restaurant,Soups,Vegeterian,",90,https://drive.google.com/file/d/1qhWW38vtbUr23w3F0uYayqtGNJhxmiYf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Tomato-Soup.jpg,
Veg Manchow Soup,ProductType,4,"Inventory,Food,Restaurant,Soups,Vegeterian,",100,https://drive.google.com/file/d/1ZHfj80mG4nonkD938YcNcqpsbo76_3Bh/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/vegManchowSoup.jpg,
Hot and Sour Soup,ProductType,5,"Inventory,Food,Restaurant,Soups,Vegeterian,",100,https://drive.google.com/file/d/1lKGpyKmEvcYbRns_2VEx1uBV01301bpF/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/HotSourSoup.jpg,
Mushroom Soup,ProductType,6,"Inventory,Food,Restaurant,Soups,Vegeterian,",100,https://drive.google.com/file/d/1IJRfO1JqfR7_7ZNQPd9ykGx1I3G6__4i/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MushroomSoup.jpg,
Veg Clear Soup,ProductType,7,"Inventory,Food,Restaurant,Soups,Vegeterian,",80,https://drive.google.com/file/d/1dmYwUOQ7V67thr9VxwcKFsrCkxZqX81H/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Clear-Soup.jpg,
Sweet Corn Soup,ProductType,8,"Inventory,Food,Restaurant,Soups,Vegeterian,",90,https://drive.google.com/file/d/1_1FoZQ6LO1CAso_34uhApiZBAirl2JuB/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Sweet-Corn-Soup.jpg,
Snacks,ProductClass,1,"Inventory,Food,Restaurant,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/Smiley.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Snacks,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Snacks,",,,,
Veg Spring Roll,ProductType,3,"Inventory,Food,Restaurant,Snacks,Vegeterian,",150,https://drive.google.com/file/d/1B6jABivt6vPzdMLxzUamh_sH58-CN1Nl/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Spring-Roll.jpg,
Paneer Spring Roll,ProductType,4,"Inventory,Food,Restaurant,Snacks,Vegeterian,",180,https://drive.google.com/file/d/10K2Qe-gT69C-zYNeJdChEvqZBkdbvu7e/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerSpringRoll.jpg,
Paneer Sizzler,ProductType,5,"Inventory,Food,Restaurant,Snacks,Vegeterian,",220,https://drive.google.com/file/d/1H-xUq8GxAKqBUGqvi1qfxYiaPiKKntFZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerSizzler.jpg,
Mexican Sizzler,ProductType,6,"Inventory,Food,Restaurant,Snacks,Vegeterian,",210,https://drive.google.com/file/d/1OHYwddtkAWDMthIOlEyMCEaiMB85xV8A/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MexicanSizzler.jpg,
Thai Sticks Sizzler,ProductType,7,"Inventory,Food,Restaurant,Snacks,Vegeterian,",190,https://drive.google.com/file/d/1eX8fmO8D9gYz33KdOhByZbs6dvQbCAfC/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Thai-Sticks-Sizzler.jpg,
Hara Bhara Kabab,ProductType,8,"Inventory,Food,Restaurant,Snacks,Vegeterian,",120,https://drive.google.com/file/d/1-SKLAYksJKTVuep7TVzhlh5LDLgDgn_g/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/HaraBharaKabab.jpg,
Paneer Tikka,ProductType,9,"Inventory,Food,Restaurant,Snacks,Vegeterian,",250,https://drive.google.com/file/d/1PJwE1sbtvBu26CpKRTyXSOwWl4B0uAHa/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerTikka.jpg,
Mushroom Tikka,ProductType,10,"Inventory,Food,Restaurant,Snacks,Vegeterian,",230,https://drive.google.com/file/d/10ystM9eQcVvMWLn3iEbeYilnnZGd5aF0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MushroomTikka.jpg,
Paneer Pahadi Tikka,ProductType,11,"Inventory,Food,Restaurant,Snacks,Vegeterian,",250,https://drive.google.com/file/d/1VsPNgivXO5ELTpiMT6GUbxHyaWHVORy1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerPahadiTikka.jpg,
Aloo Tikki,ProductType,12,"Inventory,Food,Restaurant,Snacks,Vegeterian,",180,https://drive.google.com/file/d/1KZrAO6tUtS82Llulc3_bVTApuAQR3P9E/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AlooTikki.jpg,
Tandoor Special Plater,ProductType,13,"Inventory,Food,Restaurant,Snacks,Vegeterian,",350,https://drive.google.com/file/d/11Yen8q2UDmBp597K5-jBIAuDXfbzGnyH/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Tandoor-Special-Plater.jpg,
Veg Manchurian,ProductType,14,"Inventory,Food,Restaurant,Snacks,Vegeterian,",140,https://drive.google.com/file/d/1JcRpKUkGtHAU_F6awJQH4SDEVFXNNJY_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegManchurian.jpg,
Veg Manchurian With Gravy,ProductType,15,"Inventory,Food,Restaurant,Snacks,Vegeterian,",140,https://drive.google.com/file/d/16fJgz4-K2tEjzZ9W7FjcvZ570cZa9_Ep/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Manchurian-With-Gravy.jpg,
Veg 65,ProductType,16,"Inventory,Food,Restaurant,Snacks,Vegeterian,",140,https://drive.google.com/file/d/1vNWQi-EBkMH-6PuGayKQApq8nSpw6IHV/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg65.jpg,
Veg Kothe,ProductType,17,"Inventory,Food,Restaurant,Snacks,Vegeterian,",160,https://drive.google.com/file/d/1AcCOW6ehDhepkHaAlFGg5FCufrauGMT9/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Kothe.jpg,
Veg Crispy,ProductType,18,"Inventory,Food,Restaurant,Snacks,Vegeterian,",160,https://drive.google.com/file/d/1eRoWy7sVeONn6q-umwbzYIj5GCmDsI26/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/VegCrispy.jpg,
Gabi Manchurian,ProductType,19,"Inventory,Food,Restaurant,Snacks,Vegeterian,",140,https://drive.google.com/file/d/1Sn5h1pAFVu1b0L9RBFXLkHS0KW38-502/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/GabiManchurian.jpg,
Gobi 65,ProductType,20,"Inventory,Food,Restaurant,Snacks,Vegeterian,",140,https://drive.google.com/file/d/1bDOLjyg_CzjwrGOijGJZJ1w-Aqy2eLKh/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Gobi65.jpg,
Paneer Manchurian,ProductType,21,"Inventory,Food,Restaurant,Snacks,Vegeterian,",200,https://drive.google.com/file/d/1EqHE3hvCkPqEYjP6uu4p5S3htSY97pAP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerManchurian.jpg,
Paneer 65,ProductType,22,"Inventory,Food,Restaurant,Snacks,Vegeterian,",200,https://drive.google.com/file/d/18eQOtotfInWqsh70Rc6NLKcegEIaW-3Y/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Paneer65.jpg,
Paneer Chilli,ProductType,23,"Inventory,Food,Restaurant,Snacks,Vegeterian,",200,https://drive.google.com/file/d/1Kk0U0y2YhiaEMjyJl-zWAzSE1Y1J7mHd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/Paneerchilli.jpg,
Mushroom Manchurian,ProductType,24,"Inventory,Food,Restaurant,Snacks,Vegeterian,",150,https://drive.google.com/file/d/1h9mq-N1nat_cG5ELIeoeIHppq06tVhlv/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MushroomManchurian.jpg,
Mushroom Chilli,ProductType,25,"Inventory,Food,Restaurant,Snacks,Vegeterian,",150,https://drive.google.com/file/d/1U0ZgiXdil7TP99NMF9TVpI2cA0l0qfft/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/MushroomChilli.jpg,
Baby Corn Mushroom Chilli,ProductType,26,"Inventory,Food,Restaurant,Snacks,Vegeterian,",180,https://drive.google.com/file/d/1oTGmJ2o89IDIUytM2kE8G3LQvFUPfmWa/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/BabyCornMushroomChilli.jpg,
Finger Chips,ProductType,27,"Inventory,Food,Restaurant,Snacks,Vegeterian,",100,https://drive.google.com/file/d/1WqsZvM7FYMNNTf5L-ia1UO8zPhtnxOAt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/FingerChips.jpg,
Masala Finger Chips,ProductType,28,"Inventory,Food,Restaurant,Snacks,Vegeterian,",100,https://drive.google.com/file/d/18mkEawHW3B9ZpOsii7_yGzYOhw5z_GZ5/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MasalaFingerChips.jpg,
Onion Pakoda,ProductType,29,"Inventory,Food,Restaurant,Snacks,Vegeterian,",90,https://drive.google.com/file/d/1GSiQ3dldo8AURsDTZvnk5venQv5TLYWe/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/OnionPakoda.jpg,
Paneer Pakoda,ProductType,30,"Inventory,Food,Restaurant,Snacks,Vegeterian,",180,https://drive.google.com/file/d/1GXXvajp0oAFz1nuXU7rs31No579wKwgl/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerPakoda.jpg,
Veg Pakoda,ProductType,31,"Inventory,Food,Restaurant,Snacks,Vegeterian,",90,https://drive.google.com/file/d/1nZECSaGTjOsbjZFaCg0dQdISLgxim1qT/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Pakoda.jpg,
Palak Pakoda,ProductType,32,"Inventory,Food,Restaurant,Snacks,Vegeterian,",90,https://drive.google.com/file/d/1BaQRZPAllLOzW3CqCrjKal06lXt_0fuo/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PalakPakoda.jpg,
Dragon Potato Chilli,ProductType,33,"Inventory,Food,Restaurant,Snacks,Vegeterian,",130,https://drive.google.com/file/d/12Wv0aEUZJADbnGRjSIDbZrR_Cu2yXznH/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DragonPotatoChilli.jpg,
Noodles,ProductClass,1,"Inventory,Food,Restaurant,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/Noodles.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Noodles,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Noodles,",,,,
Veg Noodle,ProductType,3,"Inventory,Food,Restaurant,Noodles,Vegeterian,",150,https://drive.google.com/file/d/1uXQfRk8APlCcpW9lZGG-rueAG8nEzv5j/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Noodles.jpg,
Hakka Noodle,ProductType,4,"Inventory,Food,Restaurant,Noodles,Vegeterian,",160,https://drive.google.com/file/d/1lmZY2UioRlG7dKQsa_e8M8N2Kgtq_m3D/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/HakkaNoodle.jpg,
Schezwan Noodle,ProductType,5,"Inventory,Food,Restaurant,Noodles,Vegeterian,",160,https://drive.google.com/file/d/1swyIzbsHPrkPGTS2snL0sk5J2vJKbVm5/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Schezwan-Noodle.jpg,
Triple Schezwan Noodle,ProductType,6,"Inventory,Food,Restaurant,Noodles,Vegeterian,",300,https://drive.google.com/file/d/1yDVRZjvhT16ssS1kPDDjLB2Puj8kzwvd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Triple-Schezwan-Noodle.jpg,
Rice,ProductClass,1,"Inventory,Food,Restaurant,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Rice.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Rice,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Rice,",,,,
