label,nodeType,order,path,price,ingredients,link,imageLink,description
Starters,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Starters.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Starters,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Starters,",,,,,
Chillicut Pakoda,ProductType,3,"Inventory,Food,Restaurant,Starters,Vegeterian,",70,,https://drive.google.com/file/d/1_YTpfNEd7pqwPzpBa9-6XQ6-GtAhKeLE/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChillicutPakoda.jpg,
Matki Fry,ProductType,4,"Inventory,Food,Restaurant,Starters,Vegeterian,",70,"moth,Onion chopped,Tomato,Green chilli chopped,Turmeric powder,Coriander chilli powder,Coriander",https://drive.google.com/file/d/1wRz1Wq71HsdPwf6VK_T6eNbhILB5XxLr/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/MatkiFry.jpg,
Onion Pakoda,ProductType,5,"Inventory,Food,Restaurant,Starters,Vegeterian,",70,"Onion,gram flour,besan,red chilli powder,turmeric powder,Garam Masala,salt as required,water as required",https://drive.google.com/file/d/1GSiQ3dldo8AURsDTZvnk5venQv5TLYWe/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/OnionPakoda.jpg,
Shevga Dry Lapeta,ProductType,6,"Inventory,Food,Restaurant,Starters,Vegeterian,",100,, ,,
Paneer Pakoda,ProductType,7,"Inventory,Food,Restaurant,Starters,Vegeterian,",110,"Paneer ,besan,turmeric powder,red chili powder,asafoetida,Garam Masala,carom seeds",https://drive.google.com/file/d/1GXXvajp0oAFz1nuXU7rs31No579wKwgl/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerPakoda.jpg,
Veg Hara Bhara Kabab,ProductType,8,"Inventory,Food,Restaurant,Starters,Vegeterian,",110,"coriander seeds,cumin seeds,spinach,peas,garlic,ginger,Green chilli,parsley,coriander leaves,potatoes, boiled,salt,chaat masala,bread crumbs,corn flour,Lemon,tomato, chopped",https://drive.google.com/file/d/10rC5PaR-8jj3mO2Ds8Ub22GCtoDvhEL6/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/HaraBharaKabab.jpg,
Breads,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Bread.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Breads,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Breads,",,,,,
Tava Roti,ProductType,3,"Inventory,Food,Restaurant,Breads,Vegeterian,",12,"wheat flour,salt as required,water",https://drive.google.com/file/d/1j_R9J4LpvtBa733pj7C_LY2lS4zpryIk/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Tava-Roti.jpg,
Tava Paratha,ProductType,4,"Inventory,Food,Restaurant,Breads,Vegeterian,",13,"wheat flour,ghee",https://drive.google.com/file/d/1qhOC-b4z-jlxWg6C_6uJHHFO0oOYqre2/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Tava-Paratha.jpg,
Butter Chapati,ProductType,5,"Inventory,Food,Restaurant,Breads,Vegeterian,",15,"wheat flour,ghee",https://drive.google.com/file/d/1caizJDjMx1SJWxFLCQo3mIbbJRJ5ynbR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ButterChapati.jpg.crdownload.jpg,
Butter Paratha,ProductType,6,"Inventory,Food,Restaurant,Breads,Vegeterian,",20,"wheat flour,ghee",https://drive.google.com/file/d/1ZNQWvoY4RDYiK-1VB7agePGOh6Lb0xHz/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/ButterParatha.jpg,
Tandoori Roti Plain,ProductType,7,"Inventory,Food,Restaurant,Breads,Vegeterian,",13,"wheat flour,softened butter,salt ,add as required",https://drive.google.com/file/d/17zTnELdW6UqH_CiuidgCV5dEwXTzYEOF/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Tandoori-Roti-Plain.jpeg,
Butter Tandoori Roti,ProductType,8,"Inventory,Food,Restaurant,Breads,Vegeterian,",20,"wheat flour,softened butter,salt ,add as required",https://drive.google.com/file/d/1EreQaxbXLPmGXK7Oxl90rBCqX0AjjKHc/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ButterTandooriRoti1.jpg,
Jawar Roti,ProductType,9,"Inventory,Food,Restaurant,Breads,Vegeterian,",15,"jowar flour,rice flour,hot water",https://drive.google.com/file/d/1DXFwHsQJG5Y7m22dCx3D4Xk2AFLUnICm/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/JawarRoti.jpg,
Butter Naan,ProductType,10,"Inventory,Food,Restaurant,Breads,Vegeterian,",35,"1 cup maida/ all purpose flour,1/2 cup sour curd,1 tablespoon salt,1 tablespoon oil,1 pack of butter at room temp
",https://drive.google.com/file/d/1MtQMs3CTx3V8aidYwZMPC4fkYQr9cYrr/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ButterNaan.jpg,
Butter Kulcha,ProductType,11,"Inventory,Food,Restaurant,Breads,Vegeterian,",45,"Milk,All Purpose Flour,Maida,Baking Soda,Cooking Soda,Butter",https://drive.google.com/file/d/11DOuIe86RXOgEGTqVwSJtZUPheewt2Ih/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/ButterKulcha.jpg,
Butter Garlic Naan,ProductType,12,"Inventory,Food,Restaurant,Breads,Vegeterian,",45,,https://drive.google.com/file/d/1fYXPvQ68vTePbGlJuHKrW-cEOqmlma44/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ButterGarlicNaan.jpg,
Tandoori Paratha,ProductType,13,"Inventory,Food,Restaurant,Breads,Vegeterian,",40,"wheat flour,Salt,Baking powder,Baking soda,Powdered Sugar,Curd,Ghee,White sesame seeds,Water",https://drive.google.com/file/d/1hlZt0hcVfWHIWPxyK3gM9Go3SnBNb5jr/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/TandooriParatha.jpg,
Rice,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Rice.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Rice,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Rice,",,,,,
Steam Rice,ProductType,3,"Inventory,Food,Restaurant,Rice,Vegeterian,",80,"Rice,Water,Oil,Salt",https://drive.google.com/file/d/1JwfmCVcMa9KTZbWP9pCn79TsIEWL0c1s/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/SteamRice.jpg,
Steam Rice Half,ProductUnit ,4,"Inventory,Food,Restaurant,Rice,Vegeterian,Steam Rice,",50,"Rice,Water,Oil,Salt",https://drive.google.com/file/d/1rz5zXPIQGSpQfEGwxkotCPgigfE2dDqK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Steam-Rice-Half.jpg,
Steam Rice Full,ProductUnit ,5,"Inventory,Food,Restaurant,Rice,Vegeterian,Steam Rice,",80,"Rice,Water,Oil,Salt",https://drive.google.com/file/d/1RmdWMYUP-cS6cEoP47C4jrzK-XbS_o86/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/SteamRiceFull.jpg,
